"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prox1",0,2.48509648557557,0.778,0.146,0,"0","Prox1"
"C1ql3",0,3.23919014061284,0.762,0.147,0,"0","C1ql3"
"Sema5a",0,1.54587565464624,0.879,0.311,0,"0","Sema5a"
"Synpr",0,2.03561917488511,0.751,0.216,0,"0","Synpr"
"Cdh9",0,1.8276985869711,0.879,0.363,0,"0","Cdh9"
"Zfp536",0,1.3898960905993,0.75,0.244,0,"0","Zfp536"
"Myo5b",0,3.2549056815109,0.594,0.105,0,"0","Myo5b"
"Slc4a4",0,1.54425802356897,0.731,0.25,0,"0","Slc4a4"
"Stxbp6",0,2.16615791229729,0.646,0.175,0,"0","Stxbp6"
"Shisa9",0,1.66174548381112,0.881,0.43,0,"0","Shisa9"
"Col25a1",0,1.6696662372122,0.688,0.243,0,"0","Col25a1"
"Dock10",0,1.64928569113002,0.612,0.187,0,"0","Dock10"
"Zfpm2",0,1.37869904020619,0.991,0.602,0,"0","Zfpm2"
"Cntnap5b",0,1.36128202939823,0.862,0.486,0,"0","Cntnap5b"
"Car12",0,3.05694294927351,0.442,0.07,0,"0","Car12"
"Sphkap",0,1.6729333748344,0.774,0.403,0,"0","Sphkap"
"Tspan18",0,2.05078321726518,0.49,0.121,0,"0","Tspan18"
"St18",0,0.965664044815705,0.453,0.103,0,"0","St18"
"Nr3c2",0,1.4289726807174,0.964,0.632,0,"0","Nr3c2"
"Tmem108",0,1.32471665185966,0.86,0.543,0,"0","Tmem108"
"Tafa2",0,1.24322579039904,0.986,0.682,0,"0","Tafa2"
"Calb1",0,2.39825666254624,0.356,0.083,0,"0","Calb1"
"Zbtb20",0,1.10523965334092,0.999,0.728,0,"0","Zbtb20"
"Rfx3",0,2.3728619067129,0.998,0.745,0,"0","Rfx3"
"Mctp1",0,1.10646213022544,0.969,0.721,0,"0","Mctp1"
"Slit3",0,1.05469948639579,0.978,0.736,0,"0","Slit3"
"Lrrtm4",0,1.13896788440388,0.998,0.782,0,"0","Lrrtm4"
"Ccdc85a",0,1.26403827189358,0.901,0.689,0,"0","Ccdc85a"
"Plxna4",0,1.18096833026439,0.972,0.791,0,"0","Plxna4"
"Ncam2",0,1.10565116068307,0.997,0.826,0,"0","Ncam2"
"Ryr2",0,1.27712000272709,0.99,0.866,0,"0","Ryr2"
"Cacna1c",0,1.28195774890338,0.994,0.873,0,"0","Cacna1c"
"Lrp1b",0,1.48382564264867,1,0.891,0,"0","Lrp1b"
"Ntrk3",0,1.17637547943849,0.996,0.887,0,"0","Ntrk3"
"Negr1",0,1.20404968457093,1,0.894,0,"0","Negr1"
"Prkce",0,1.03338581858697,0.972,0.873,0,"0","Prkce"
"Dab1",0,1.1060410847829,1,0.961,0,"0","Dab1"
"Ppfia2",0,1.13645874364052,0.999,0.962,0,"0","Ppfia2"
"Nkain2",0,0.870606586644139,1,0.974,0,"0","Nkain2"
"Dlgap1",0,0.782160891275693,1,0.981,0,"0","Dlgap1"
"Ptpro",8.58256278287848e-306,1.29307020909775,0.75,0.385,2.02359665294709e-301,"0","Ptpro"
"Epha4",1.22127473917128e-303,1.24625182235269,0.859,0.556,2.87952158001804e-299,"0","Epha4"
"Sorcs2",1.38774455868108e-302,1.68931797905865,0.61,0.254,3.27202412045826e-298,"0","Sorcs2"
"Dscam",3.4877225195322e-288,0.814023825139287,0.96,0.757,8.22335215655303e-284,"0","Dscam"
"Ppp3ca",1.80077952636577e-280,0.775283581104858,0.998,0.969,4.24587796726521e-276,"0","Ppp3ca"
"Camk2b",3.36949736001184e-277,1.33129811712451,0.782,0.498,7.94460087543591e-273,"0","Camk2b"
"Tiam1",2.10637341732021e-276,1.47594727959454,0.723,0.409,4.96640724335758e-272,"0","Tiam1"
"Dgkh",5.86397146677775e-274,1.47727311125174,0.734,0.445,1.38260719243686e-269,"0","Dgkh"
"Gria1",1.63728023150207e-268,0.73071746304741,0.998,0.906,3.86037932983558e-264,"0","Gria1"
"Cntnap5a",5.31621792134012e-260,0.82919934064522,0.915,0.601,1.25345786149357e-255,"0","Cntnap5a"
"Lingo2",2.42742531451883e-257,0.714479753763151,0.999,0.86,5.72338340657249e-253,"0","Lingo2"
"Camk2a",2.78240775422683e-254,1.28198314519197,0.756,0.457,6.56036100291603e-250,"0","Camk2a"
"Cacna1e",2.91600635614521e-254,0.829015388407388,0.974,0.841,6.87535978651918e-250,"0","Cacna1e"
"Clstn2",4.22405277580699e-253,0.759566067190344,0.969,0.758,9.95947163479772e-249,"0","Clstn2"
"Kirrel3",1.00995144378842e-250,0.846965591979022,0.934,0.631,2.38126351416433e-246,"0","Kirrel3"
"Hecw1",1.0349202545444e-250,0.980732317691551,0.901,0.745,2.44013497616478e-246,"0","Hecw1"
"Gm20754",2.97535006103072e-250,0.807919353431557,0.983,0.811,7.01528037389822e-246,"0","Gm20754"
