"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Crym",0,3.32320701417986,0.836,0.142,0,"0","Crym"
"Gm2164",0,2.89661185373039,0.796,0.131,0,"0","Gm2164"
"Sema3e",0,2.15261321853898,0.848,0.266,0,"0","Sema3e"
"Gm10754",0,2.90071766124083,0.703,0.121,0,"0","Gm10754"
"Gm49678",0,1.9332433709352,0.908,0.34,0,"0","Gm49678"
"Pex5l",0,1.67675900047184,0.881,0.327,0,"0","Pex5l"
"Nell1",0,1.64545849928191,0.931,0.398,0,"0","Nell1"
"Zfp462",0,1.87972895088035,0.824,0.291,0,"0","Zfp462"
"Gpc5",0,1.26398499117834,0.962,0.44,0,"0","Gpc5"
"Runx1t1",0,1.66163284665825,0.93,0.411,0,"0","Runx1t1"
"Shisa6",0,1.79079917826057,0.962,0.447,0,"0","Shisa6"
"Iqgap2",0,1.84846612513845,0.713,0.22,0,"0","Iqgap2"
"Fam189a1",0,1.62827720418385,0.919,0.433,0,"0","Fam189a1"
"Cck",0,2.71743579238229,0.616,0.143,0,"0","Cck"
"Trpc5",0,1.97354318960662,0.718,0.246,0,"0","Trpc5"
"Hs6st2",0,1.70968997682021,0.702,0.235,0,"0","Hs6st2"
"Pde1a",0,1.10738051128432,0.936,0.474,0,"0","Pde1a"
"Sorcs3",0,1.22645427834017,0.768,0.306,0,"0","Sorcs3"
"Nckap5",0,1.49577562897606,0.897,0.437,0,"0","Nckap5"
"Rasgrp1",0,2.25989857222926,0.599,0.145,0,"0","Rasgrp1"
"Tafa1",0,0.696790281948415,0.918,0.467,0,"0","Tafa1"
"Sh3rf1",0,1.59258704216696,0.729,0.278,0,"0","Sh3rf1"
"Samd5",0,1.77627271718795,0.709,0.266,0,"0","Samd5"
"Prkd1",0,1.49308687930642,0.813,0.37,0,"0","Prkd1"
"Trpc4",0,1.40486309357442,0.755,0.321,0,"0","Trpc4"
"Elmod1",0,1.39584741527555,0.846,0.412,0,"0","Elmod1"
"Bcl6",0,3.09299058744341,0.5,0.069,0,"0","Bcl6"
"Actr3b",0,1.85501599872643,0.689,0.259,0,"0","Actr3b"
"Bcl11b",0,1.64959210724503,0.668,0.241,0,"0","Bcl11b"
"Bcl11a",0,1.33410150555626,0.872,0.446,0,"0","Bcl11a"
"St6galnac5",0,1.55151429001906,0.96,0.534,0,"0","St6galnac5"
"Ndst4",0,2.24665724488081,0.548,0.126,0,"0","Ndst4"
"Itpr1",0,1.28106297042519,0.756,0.338,0,"0","Itpr1"
"Itm2b",0,1.48961124497521,0.828,0.412,0,"0","Itm2b"
"Cadps2",0,1.01136981210699,0.723,0.308,0,"0","Cadps2"
"Gm11906",0,2.85747605213798,0.498,0.085,0,"0","Gm11906"
"Pigk",0,1.44799718548741,0.769,0.362,0,"0","Pigk"
"Tspan13",0,1.65278068250789,0.672,0.265,0,"0","Tspan13"
"Lpl",0,2.53208366265476,0.507,0.101,0,"0","Lpl"
"Nectin3",0,1.32475467133676,0.656,0.25,0,"0","Nectin3"
"Il1rapl2",0,0.764068014007769,0.614,0.213,0,"0","Il1rapl2"
"9530059O14Rik",0,1.24818408743201,0.717,0.321,0,"0","9530059O14Rik"
"Snca",0,1.27392752216739,0.813,0.418,0,"0","Snca"
