"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Crym",0,3.20579093363663,0.849,0.153,0,"0","Crym"
"Gm2164",0,2.8670045418008,0.828,0.14,0,"0","Gm2164"
"Sema3e",0,2.2230511179012,0.88,0.273,0,"0","Sema3e"
"Gm49678",0,2.03169599717718,0.927,0.348,0,"0","Gm49678"
"Gm10754",0,2.76782052164658,0.706,0.131,0,"0","Gm10754"
"Nell1",0,1.71787352454069,0.958,0.405,0,"0","Nell1"
"Cck",0,2.90617942783999,0.684,0.145,0,"0","Cck"
"Pex5l",0,1.45916266283606,0.876,0.337,0,"0","Pex5l"
"Zfp462",0,1.86226860533318,0.83,0.299,0,"0","Zfp462"
"Gpc5",0,1.35397934630781,0.977,0.448,0,"0","Gpc5"
"Trpc5",0,2.08109147746219,0.768,0.249,0,"0","Trpc5"
"Runx1t1",0,1.67755543081058,0.938,0.42,0,"0","Runx1t1"
"Iqgap2",0,1.88435120943304,0.744,0.226,0,"0","Iqgap2"
"Shisa6",0,1.81316982451069,0.97,0.455,0,"0","Shisa6"
"Samd5",0,1.90769331983424,0.777,0.268,0,"0","Samd5"
"Sorcs3",0,1.27698955652965,0.815,0.31,0,"0","Sorcs3"
"Bcl6",0,3.22239015123741,0.562,0.071,0,"0","Bcl6"
"Hs6st2",0,1.77572018163735,0.731,0.241,0,"0","Hs6st2"
"Fam189a1",0,1.59254583886343,0.923,0.441,0,"0","Fam189a1"
"Rasgrp1",0,2.263285256048,0.628,0.15,0,"0","Rasgrp1"
"Nckap5",0,1.56258056518709,0.916,0.443,0,"0","Nckap5"
"Ndst4",0,2.21565820963651,0.601,0.129,0,"0","Ndst4"
"Actr3b",0,1.9370457485944,0.732,0.262,0,"0","Actr3b"
"Il1rapl2",0,0.960064625196701,0.682,0.215,0,"0","Il1rapl2"
"Bcl11b",0,1.73277780228308,0.709,0.245,0,"0","Bcl11b"
"Sh3rf1",0,1.61927104283268,0.745,0.285,0,"0","Sh3rf1"
"Pde1a",0,1.03299962617888,0.939,0.482,0,"0","Pde1a"
"Trpc4",0,1.44692107566049,0.778,0.326,0,"0","Trpc4"
"Nectin3",0,1.46967723712473,0.705,0.253,0,"0","Nectin3"
"Prkd1",0,1.49745214690262,0.827,0.376,0,"0","Prkd1"
"Gm11906",0,2.92621322994201,0.538,0.088,0,"0","Gm11906"
"Lpl",0,2.60898599875048,0.548,0.105,0,"0","Lpl"
"Itm2b",0,1.57456067154898,0.857,0.417,0,"0","Itm2b"
"Elmod1",0,1.3644010618915,0.85,0.419,0,"0","Elmod1"
"Bcl11a",0,1.35076327044193,0.883,0.452,0,"0","Bcl11a"
"Chrm3",0,1.91782912257174,0.876,0.448,0,"0","Chrm3"
"St6galnac5",0,1.5279007655201,0.966,0.541,0,"0","St6galnac5"
"Matn2",0,2.86942067565421,0.497,0.081,0,"0","Matn2"
"Pigk",0,1.41884309189517,0.775,0.368,0,"0","Pigk"
"Itpr1",0,1.24327869258026,0.752,0.346,0,"0","Itpr1"
"Ano4",0,1.30204797835837,0.768,0.364,0,"0","Ano4"
"Sez6",0,1.63191426934002,0.641,0.237,0,"0","Sez6"
"Cds1",0,2.50094898276271,0.507,0.106,0,"0","Cds1"
"Foxp1",0,1.4324783769936,0.968,0.567,0,"0","Foxp1"
"9530059O14Rik",0,1.2097519242783,0.725,0.327,0,"0","9530059O14Rik"
"Tspan13",0,1.5874636966832,0.668,0.273,0,"0","Tspan13"
"4930509J09Rik",0,1.77780328650902,0.6,0.207,0,"0","4930509J09Rik"
"Lmo3",0,1.61867456331368,0.592,0.205,0,"0","Lmo3"
"Prkcg",0,1.6586942539362,0.637,0.251,0,"0","Prkcg"
"Raver2",0,1.51364392250681,0.566,0.18,0,"0","Raver2"
"Hcn1",0,1.62768969654495,0.99,0.608,0,"0","Hcn1"
"Pcsk2",0,1.14787083976769,0.923,0.542,0,"0","Pcsk2"
"Sptbn2",0,1.62078024005027,0.629,0.248,0,"0","Sptbn2"
"Cdk17",0,1.28469411633597,0.78,0.401,0,"0","Cdk17"
"Sertm1",0,2.76133713089987,0.453,0.076,0,"0","Sertm1"
"Kcnn2",0,1.10420089578853,0.886,0.512,0,"0","Kcnn2"
"Serpini1",0,1.3704428790961,0.615,0.244,0,"0","Serpini1"
"Grin3a",0,1.42419488142282,0.602,0.234,0,"0","Grin3a"
"Cdh11",0,1.11588470606816,0.906,0.539,0,"0","Cdh11"
