"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1ql3",0,3.18522932145555,0.744,0.149,0,"0","C1ql3"
"Prox1",0,2.31880354999011,0.742,0.149,0,"0","Prox1"
"Sema5a",0,1.43782129760819,0.849,0.314,0,"0","Sema5a"
"Synpr",0,1.9189463135932,0.713,0.219,0,"0","Synpr"
"Cdh9",0,1.76009756089143,0.849,0.366,0,"0","Cdh9"
"Zfp536",0,1.30966253913173,0.724,0.247,0,"0","Zfp536"
"Slc4a4",0,1.51566094223605,0.717,0.251,0,"0","Slc4a4"
"Myo5b",0,3.13998156014577,0.572,0.108,0,"0","Myo5b"
"Stxbp6",0,2.15600093779325,0.635,0.176,0,"0","Stxbp6"
"Col25a1",0,1.62861959576846,0.662,0.246,0,"0","Col25a1"
"Shisa9",0,1.57151094492964,0.848,0.433,0,"0","Shisa9"
"Dock10",0,1.63851661497162,0.601,0.188,0,"0","Dock10"
"Zfpm2",0,1.2724901546773,0.979,0.603,0,"0","Zfpm2"
"Car12",0,3.01675043670864,0.425,0.071,0,"0","Car12"
"Tspan18",0,1.92289049905816,0.469,0.123,0,"0","Tspan18"
"Sphkap",0,1.62789799031613,0.749,0.405,0,"0","Sphkap"
"St18",0,0.931664658287142,0.436,0.104,0,"0","St18"
"Nr3c2",0,1.39863615083612,0.96,0.632,0,"0","Nr3c2"
"Tmem108",0,1.27790309860162,0.838,0.545,0,"0","Tmem108"
"Tafa2",0,1.19109582407064,0.975,0.683,0,"0","Tafa2"
"Zbtb20",0,1.02564838257133,0.999,0.728,0,"0","Zbtb20"
"Rfx3",0,2.30805027180317,0.993,0.745,0,"0","Rfx3"
"Mctp1",0,1.04500845311204,0.957,0.722,0,"0","Mctp1"
"Ccdc85a",0,1.23329956061052,0.899,0.689,0,"0","Ccdc85a"
"Lrrtm4",0,1.08877816687745,0.991,0.783,0,"0","Lrrtm4"
"Plxna4",0,1.11258170275826,0.959,0.793,0,"0","Plxna4"
"Ncam2",0,1.0096982898059,0.988,0.827,0,"0","Ncam2"
"Cacna1c",0,1.20379076730331,0.989,0.874,0,"0","Cacna1c"
"Ryr2",0,1.23700024113196,0.976,0.867,0,"0","Ryr2"
"Lrp1b",0,1.40332996376008,0.998,0.891,0,"0","Lrp1b"
"Ntrk3",0,1.13607606490614,0.992,0.887,0,"0","Ntrk3"
"Negr1",0,1.14495237752101,0.995,0.895,0,"0","Negr1"
"Dab1",0,1.01297914841308,0.996,0.961,0,"0","Dab1"
"Ppfia2",0,1.08547562978577,0.99,0.963,0,"0","Ppfia2"
"Dlgap1",0,0.725840677575876,0.996,0.981,0,"0","Dlgap1"
"Calb1",6.67122369590128e-306,2.36074139192717,0.348,0.084,1.5729411230196e-301,"0","Calb1"
