"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0160.1",6,41,30,8.2,3.65853658536585,0.00343650573745998,"NR4A2",0.364269608170758,"down"
"MA0146.2",5,39,25,7.8,3.20512820512821,0.014461206595865,"Zfx",0.473172074428525,"down"
"MA0898.1",6,55,30,11,2.72727272727273,0.0154309867460417,"Hmx3",0.473172074428525,"down"
"MA0643.1",5,41,25,8.2,3.04878048780488,0.0178555499784349,"Esrrg",0.473172074428525,"down"
"MA0897.1",6,67,30,13.4,2.23880597014925,0.0387913631554383,"Hmx2",0.822376898895291,"down"
"MA0483.1",7,93,35,18.6,1.88172043010753,0.0586418415982847,"Gfi1b",0.886495516932163,"down"
"MA0851.1",8,116,40,23.2,1.72413793103448,0.0664563069577044,"Foxj3",0.886495516932163,"down"
"MA1627.1",8,118,40,23.6,1.69491525423729,0.0726592541106403,"Wt1",0.886495516932163,"down"
"MA0869.1",5,60,25,12,2.08333333333333,0.0785641249636513,"Sox11",0.886495516932163,"down"
"MA0152.1",9,143,45,28.6,1.57342657342657,0.0836316525407701,"NFATC2",0.886495516932163,"down"
"MA1619.1",5,67,25,13.4,1.86567164179104,0.115196989319991,"Ptf1a(var.2)",1,"down"
"MA0705.1",3,32,15,6.4,2.34375,0.128976166351082,"Lhx8",1,"down"
"MA0859.1",4,52,20,10.4,1.92307692307692,0.143681464441965,"Rarg",1,"down"
"MA0006.1",5,78,25,15.6,1.6025641025641,0.18740555884655,"Ahr::Arnt",1,"down"
"MA0467.1",4,58,20,11.6,1.72413793103448,0.192106958718025,"Crx",1,"down"
"MA0728.1",4,58,20,11.6,1.72413793103448,0.192106958718025,"Nr2f6(var.2)",1,"down"
"MA0720.1",3,40,15,8,1.875,0.209394037591241,"Shox2",1,"down"
"MA1620.1",4,62,20,12.4,1.61290322580645,0.227239743896725,"Ptf1a(var.3)",1,"down"
"MA0029.1",4,63,20,12.6,1.58730158730159,0.236319141024602,"Mecom",1,"down"
"MA1630.1",5,85,25,17,1.47058823529412,0.241162551649911,"Znf281",1,"down"
"MA0885.1",2,24,10,4.8,2.08333333333333,0.248355029487121,"Dlx2",1,"down"
"MA0519.1",5,86,25,17.2,1.45348837209302,0.249241838284412,"Stat5a::Stat5b",1,"down"
"MA0858.1",3,44,15,8.8,1.70454545454545,0.253557411501025,"Rarb(var.2)",1,"down"
"MA0896.1",3,44,15,8.8,1.70454545454545,0.253557411501025,"Hmx1",1,"down"
"MA0854.1",3,46,15,9.2,1.6304347826087,0.276265891425091,"Alx1",1,"down"
"MA0631.1",2,27,10,5.4,1.85185185185185,0.294538878107343,"Six3",1,"down"
"MA0480.1",5,92,25,18.4,1.35869565217391,0.299389901852134,"Foxo1",1,"down"
"MA0676.1",4,72,20,14.4,1.38888888888889,0.321932893620636,"Nr2e1",1,"down"
"MA0111.1",3,50,15,10,1.5,0.322453910320113,"Spz1",1,"down"
"MA0007.3",2,29,10,5.8,1.72413793103448,0.325289741915184,"Ar",1,"down"
"MA1607.1",5,95,25,19,1.31578947368421,0.325334312586726,"Foxl2",1,"down"
"MA0853.1",3,51,15,10.2,1.47058823529412,0.334095509768886,"Alx4",1,"down"
"MA0816.1",5,97,25,19.4,1.28865979381443,0.342868468249105,"Ascl2",1,"down"
"MA0857.1",3,52,15,10.4,1.44230769230769,0.345753512544003,"Rarb",1,"down"
"MA1153.1",4,76,20,15.2,1.31578947368421,0.361413687187772,"Smad4",1,"down"
"MA0494.1",3,54,15,10.8,1.38888888888889,0.369078427211421,"Nr1h3::Rxra",1,"down"
"MA0879.1",2,38,10,7.6,1.31578947368421,0.458811862008447,"Dlx1",1,"down"
"MA1628.1",5,110,25,22,1.13636363636364,0.458825937734433,"Zic1::Zic2",1,"down"
"MA1615.1",3,64,15,12.8,1.171875,0.483569516862433,"Plagl1",1,"down"
"MA0135.1",3,65,15,13,1.15384615384615,0.494639694176914,"Lhx3",1,"down"
"MA0503.1",3,65,15,13,1.15384615384615,0.494639694176914,"Nkx2-5(var.2)",1,"down"
"MA0626.1",1,17,5,3.4,1.47058823529412,0.506172183305026,"Npas2",1,"down"
