"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0160.1",5,49,27.7777777777778,9.8,2.83446712018141,0.0236509197676802,"NR4A2",0.661854083659976,"down"
"MA0859.1",5,52,27.7777777777778,10.4,2.67094017094017,0.0300731838340761,"Rarg",0.661854083659976,"down"
"MA0720.1",4,35,22.2222222222222,7,3.17460317460317,0.0304680194043585,"Shox2",0.661854083659976,"down"
"MA0897.1",5,55,27.7777777777778,11,2.52525252525253,0.0375478237405617,"Hmx2",0.661854083659976,"down"
"MA0483.1",7,96,38.8888888888889,19.2,2.02546296296296,0.0391560164028129,"Gfi1b",0.661854083659976,"down"
"MA0728.1",5,57,27.7777777777778,11.4,2.43664717348928,0.0431406477929139,"Nr2f6(var.2)",0.661854083659976,"down"
"MA0898.1",5,61,27.7777777777778,12.2,2.27686703096539,0.0558414655679359,"Hmx3",0.661854083659976,"down"
"MA0152.1",9,151,50,30.2,1.65562913907285,0.0584922713581561,"NFATC2",0.661854083659976,"down"
"MA0858.1",4,43,22.2222222222222,8.6,2.58397932816537,0.0596059373873305,"Rarb(var.2)",0.661854083659976,"down"
"MA0643.1",4,45,22.2222222222222,9,2.46913580246914,0.0686829709458465,"Esrrg",0.661854083659976,"down"
"MA0860.1",4,45,22.2222222222222,9,2.46913580246914,0.0686829709458465,"Rarg(var.2)",0.661854083659976,"down"
"MA0006.1",5,67,27.7777777777778,13.4,2.07296849087894,0.0787841083165601,"Ahr::Arnt",0.695926290129614,"down"
"MA0705.1",3,30,16.6666666666667,6,2.77777777777778,0.086271767438089,"Lhx8",0.703446719110572,"down"
"MA0853.1",3,35,16.6666666666667,7,2.38095238095238,0.124106748149045,"Alx4",0.872237452302007,"down"
"MA0854.1",3,35,16.6666666666667,7,2.38095238095238,0.124106748149045,"Alx1",0.872237452302007,"down"
"MA0869.1",5,80,27.7777777777778,16,1.73611111111111,0.144418691162978,"Sox11",0.872237452302007,"down"
"MA0676.1",4,59,22.2222222222222,11.8,1.88323917137476,0.151252202531387,"Nr2e1",0.872237452302007,"down"
"MA0832.1",4,59,22.2222222222222,11.8,1.88323917137476,0.151252202531387,"Tcf21",0.872237452302007,"down"
"MA0816.1",5,82,27.7777777777778,16.4,1.69376693766938,0.15634444899753,"Ascl2",0.872237452302007,"down"
"MA0896.1",3,40,16.6666666666667,8,2.08333333333333,0.167228704053746,"Hmx1",0.886312131484853,"down"
