"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA1622.1",20,64,42.5531914893617,12.8,3.32446808510638,5.73930155500625e-08,"Smad2::Smad3",6.08365964830662e-06,"down"
"MA1627.1",30,195,63.8297872340426,39,1.6366612111293,0.000266999286700718,"Wt1",0.0141509621951381,"down"
"MA0633.1",12,46,25.531914893617,9.2,2.77520814061055,0.000418931403129737,"Twist2",0.014802242910584,"down"
"MA0505.1",16,93,34.0425531914894,18.6,1.83024479524136,0.00594997236312435,"Nr5a2",0.156304013996031,"down"
"MA0480.1",13,70,27.6595744680851,14,1.97568389057751,0.00737283084886937,"Foxo1",0.156304013996031,"down"
"MA1630.1",18,119,38.2978723404255,23.8,1.60915430001788,0.0141886497059574,"Znf281",0.250666144805248,"down"
"MA0858.1",9,45,19.1489361702128,9,2.12765957446809,0.0171516637042312,"Rarb(var.2)",0.259725193235501,"down"
"MA0739.1",11,64,23.4042553191489,12.8,1.82845744680851,0.0256779634974258,"Hic1",0.340233016340892,"down"
"MA1620.1",12,77,25.531914893617,15.4,1.65791655153357,0.0408230446393213,"Ptf1a(var.3)",0.480804747974229,"down"
"MA0150.2",11,71,23.4042553191489,14.2,1.64818699430626,0.0524565467451658,"Nfe2l2",0.556039395498757,"down"
"MA0883.1",3,12,6.38297872340426,2.4,2.65957446808511,0.0936360799420091,"Dmbx1",0.897795693287004,"down"
"MA0604.1",2,6,4.25531914893617,1.2,3.54609929078014,0.101637248296642,"Atf1",0.897795693287004,"down"
"MA0515.1",11,81,23.4042553191489,16.2,1.44470711846598,0.117325924201478,"Sox6",0.956657535796667,"down"
"MA0860.1",8,56,17.0212765957447,11.2,1.51975683890577,0.139463121694093,"Rarg(var.2)",0.970311701974461,"down"
"MA0879.1",4,23,8.51063829787234,4.6,1.85013876040703,0.16045590169979,"Dlx1",0.970311701974461,"down"
"MA0851.1",10,77,21.2765957446809,15.4,1.38159712627798,0.167173560778479,"Foxj3",0.970311701974461,"down"
"MA1153.1",9,68,19.1489361702128,13.6,1.40801001251564,0.171185978327017,"Smad4",0.970311701974461,"down"
"MA1603.1",6,41,12.7659574468085,8.2,1.55682407887909,0.175380255702849,"Dmrt1",0.970311701974461,"down"
"MA1621.1",10,78,21.2765957446809,15.6,1.36388434260775,0.177889163814626,"Rbpjl",0.970311701974461,"down"
"MA0067.1",3,16,6.38297872340426,3.2,1.99468085106383,0.183077679617823,"Pax2",0.970311701974461,"down"
"MA0591.1",10,80,21.2765957446809,16,1.32978723404255,0.200316362356927,"Bach1::Mafk",1,"down"
"MA0709.1",3,17,6.38297872340426,3.4,1.87734668335419,0.208281211783791,"Msx3",1,"down"
