"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0870.1",4,34,23.5294117647059,6.8,3.46020761245675,0.0225648075596775,"Sox1",0.912184500779291,"up"
"MA0493.1",8,115,47.0588235294118,23,2.0460358056266,0.0230207294816294,"Klf1",0.912184500779291,"up"
"MA0742.1",5,57,29.4117647058824,11.4,2.57997936016512,0.034088825184269,"Klf12",0.912184500779291,"up"
"MA0259.1",2,11,11.7647058823529,2.2,5.3475935828877,0.0499960492647668,"ARNT::HIF1A",0.912184500779291,"up"
"MA1618.1",6,85,35.2941176470588,17,2.07612456747405,0.0516649824806735,"Ptf1a",0.912184500779291,"up"
"MA0603.1",3,26,17.6470588235294,5.2,3.39366515837104,0.0522263685952115,"Arntl",0.912184500779291,"up"
"MA1604.1",6,89,35.2941176470588,17.8,1.98281559814937,0.0630167409211293,"Ebf2",0.912184500779291,"up"
"MA0853.1",3,29,17.6470588235294,5.8,3.04259634888438,0.0688441132663616,"Alx4",0.912184500779291,"up"
"MA1615.1",5,71,29.4117647058824,14.2,2.07125103562552,0.0782634313615361,"Plagl1",0.921769302702537,"up"
"MA0704.1",3,32,17.6470588235294,6.4,2.75735294117647,0.0876556796919299,"Lhx4",0.929150204734457,"up"
"MA1628.1",8,149,47.0588235294118,29.8,1.57915515199368,0.0974355163453536,"Zic1::Zic2",0.93892406660068,"up"
"MA0885.1",2,17,11.7647058823529,3.4,3.46020761245675,0.109645701590781,"Dlx2",0.968537030718566,"up"
"MA1625.1",5,86,29.4117647058824,17.2,1.70998632010944,0.150686405155761,"Stat5b",1,"up"
"MA0065.2",5,87,29.4117647058824,17.4,1.69033130493577,0.156389343819028,"Pparg::Rxra",1,"up"
"MA1630.1",6,116,35.2941176470588,23.2,1.52129817444219,0.17880129400161,"Znf281",1,"up"
"MA0840.1",2,23,11.7647058823529,4.6,2.55754475703325,0.181095111851004,"Creb5",1,"up"
"MA0608.1",2,24,11.7647058823529,4.8,2.45098039215686,0.193700964599157,"Creb3l2",1,"up"
"MA0087.1",4,70,23.5294117647059,14,1.68067226890756,0.203655762876712,"Sox5",1,"up"
"MA0483.1",5,99,29.4117647058824,19.8,1.48544266191325,0.232125311315803,"Gfi1b",1,"up"
"MA0854.1",2,28,11.7647058823529,5.6,2.10084033613445,0.245247642987776,"Alx1",1,"up"
"MA0728.1",4,77,23.5294117647059,15.4,1.52788388082506,0.257875544519398,"Nr2f6(var.2)",1,"up"
"MA0135.1",3,53,17.6470588235294,10.6,1.66481687014428,0.265031611196167,"Lhx3",1,"up"
"MA0004.1",4,80,23.5294117647059,16,1.47058823529412,0.282222038111914,"Arnt",1,"up"
"MA0874.1",2,32,11.7647058823529,6.4,1.83823529411765,0.297664546679479,"Arx",1,"up"
"MA1627.1",7,170,41.1764705882353,34,1.21107266435986,0.345961985027488,"Wt1",1,"up"
"MA0897.1",2,37,11.7647058823529,7.4,1.58982511923688,0.362867459688904,"Hmx2",1,"up"
"MA0859.1",3,63,17.6470588235294,12.6,1.40056022408964,0.364040259242661,"Rarg",1,"up"
"MA0150.2",3,64,17.6470588235294,12.8,1.37867647058824,0.374029632212089,"Nfe2l2",1,"up"
"MA1603.1",2,39,11.7647058823529,7.8,1.50829562594268,0.388527837038732,"Dmrt1",1,"up"
"MA1629.1",6,150,35.2941176470588,30,1.17647058823529,0.402441168303318,"Zic2",1,"up"
"MA0898.1",2,41,11.7647058823529,8.2,1.43472022955524,0.413826736285761,"Hmx3",1,"up"
"MA0514.1",5,125,29.4117647058824,25,1.17647058823529,0.426103045211987,"Sox3",1,"up"
"MA0078.1",2,42,11.7647058823529,8.4,1.40056022408964,0.426319577773628,"Sox17",1,"up"
"MA0857.1",3,70,17.6470588235294,14,1.26050420168067,0.433586264162536,"Rarb",1,"up"
"MA0111.1",2,43,11.7647058823529,8.6,1.36798905608755,0.438697989144554,"Spz1",1,"up"
"MA0739.1",3,71,17.6470588235294,14.2,1.24275062137531,0.443399987336432,"Hic1",1,"up"
"MA0117.2",2,44,11.7647058823529,8.8,1.33689839572193,0.450955157348984,"Mafb",1,"up"
"MA0503.1",3,72,17.6470588235294,14.4,1.22549019607843,0.453168621954143,"Nkx2-5(var.2)",1,"up"
"MA0614.1",2,45,11.7647058823529,9,1.30718954248366,0.463084802995595,"Foxj2",1,"up"
"MA0125.1",1,20,5.88235294117647,4,1.47058823529412,0.506172183305026,"Nobox",1,"up"
"MA0709.1",1,20,5.88235294117647,4,1.47058823529412,0.506172183305026,"Msx3",1,"up"
"MA0643.1",2,50,11.7647058823529,10,1.17647058823529,0.521634754956617,"Esrrg",1,"up"
"MA0705.1",1,21,5.88235294117647,4.2,1.40056022408964,0.52366191847964,"Lhx8",1,"up"
"MA0160.1",2,52,11.7647058823529,10.4,1.13122171945701,0.543995366380811,"NR4A2",1,"up"
"MA0611.1",1,23,5.88235294117647,4.6,1.27877237851662,0.556907096905297,"Dux",1,"up"
"MA0631.1",1,23,5.88235294117647,4.6,1.27877237851662,0.556907096905297,"Six3",1,"up"
"MA0720.1",1,23,5.88235294117647,4.6,1.27877237851662,0.556907096905297,"Shox2",1,"up"
"MA0519.1",3,84,17.6470588235294,16.8,1.05042016806723,0.565419783307526,"Stat5a::Stat5b",1,"up"
"MA1624.1",3,86,17.6470588235294,17.2,1.02599179206566,0.583002831333101,"Stat5a",1,"up"
"MA0677.1",2,56,11.7647058823529,11.2,1.05042016806723,0.58676337039578,"Nr2f6",1,"up"
"MA0860.1",2,56,11.7647058823529,11.2,1.05042016806723,0.58676337039578,"Rarg(var.2)",1,"up"
"MA0896.1",1,25,5.88235294117647,5,1.17647058823529,0.587959429736732,"Hmx1",1,"up"
"MA0146.2",3,87,17.6470588235294,17.4,1.01419878296146,0.591653616844894,"Zfx",1,"up"
"MA0601.1",2,57,11.7647058823529,11.4,1.03199174406605,0.597036285172728,"Arid3b",1,"up"
"MA0461.2",1,27,5.88235294117647,5.4,1.08932461873638,0.616955080615041,"Atoh1",1,"up"
"MA0515.1",3,91,17.6470588235294,18.2,0.96961861667744,0.625272430839676,"Sox6",1,"up"
"MA0494.1",2,60,11.7647058823529,12,0.980392156862745,0.626827582844397,"Nr1h3::Rxra",1,"up"
"MA1606.1",2,61,11.7647058823529,12.2,0.964320154291225,0.636412973564586,"Foxf1",1,"up"
"MA1621.1",2,63,11.7647058823529,12.6,0.933706816059757,0.655063991752008,"Rbpjl",1,"up"
"MA0518.1",3,97,17.6470588235294,19.4,0.909642207398423,0.672578715782245,"Stat4",1,"up"
"MA0164.1",2,67,11.7647058823529,13.4,0.877963125548727,0.690290818108556,"Nr2e3",1,"up"
"MA1620.1",2,67,11.7647058823529,13.4,0.877963125548727,0.690290818108556,"Ptf1a(var.3)",1,"up"
"MA1623.1",5,163,29.4117647058824,32.6,0.902201371346084,0.700354723840107,"Stat2",1,"up"
"MA0633.1",1,34,5.88235294117647,6.8,0.865051903114187,0.704028420488297,"Twist2",1,"up"
"MA0122.3",1,40,5.88235294117647,8,0.735294117647059,0.76347394622057,"Nkx3-2",1,"up"
"MA0851.1",2,77,11.7647058823529,15.4,0.763941940412529,0.766554599387916,"Foxj3",1,"up"
"MA0467.1",1,41,5.88235294117647,8.2,0.717360114777618,0.77221512646894,"Crx",1,"up"
