"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0160.1",6,41,35.2941176470588,8.2,4.30416068866571,0.00132499699933082,"NR4A2",0.140449681929067,"down"
"MA0643.1",5,45,29.4117647058824,9,3.26797385620915,0.012861737016817,"Esrrg",0.681672061891303,"down"
"MA0859.1",4,34,23.5294117647059,6.8,3.46020761245675,0.0225648075596775,"Rarg",0.797289867108603,"down"
"MA0860.1",4,40,23.5294117647059,8,2.94117647058824,0.0390490849726652,"Rarg(var.2)",1,"down"
"MA0142.1",6,85,35.2941176470588,17,2.07612456747405,0.0516649824806735,"Pou5f1::Sox2",1,"down"
"MA0006.1",5,71,29.4117647058824,14.2,2.07125103562552,0.0782634313615361,"Ahr::Arnt",1,"down"
"MA0631.1",3,32,17.6470588235294,6.4,2.75735294117647,0.0876556796919299,"Six3",1,"down"
"MA0521.1",7,123,41.1764705882353,24.6,1.67384026781444,0.0959954669328479,"Tcf12",1,"down"
"MA0816.1",6,101,35.2941176470588,20.2,1.7472335468841,0.106068530966863,"Ascl2",1,"down"
"MA0146.2",4,57,23.5294117647059,11.4,2.06398348813209,0.116579963297014,"Zfx",1,"down"
"MA0858.1",3,37,17.6470588235294,7.4,2.38473767885533,0.123435216546237,"Rarb(var.2)",1,"down"
"MA0857.1",3,38,17.6470588235294,7.6,2.32198142414861,0.13119220066533,"Rarb",1,"down"
"MA0832.1",4,61,23.5294117647059,12.2,1.92864030858245,0.141130196587277,"Tcf21",1,"down"
"MA0705.1",3,41,17.6470588235294,8.2,2.15208034433285,0.155528797415001,"Lhx8",1,"down"
"MA0720.1",3,42,17.6470588235294,8.4,2.10084033613445,0.163969906528424,"Shox2",1,"down"
"MA0728.1",3,42,17.6470588235294,8.4,2.10084033613445,0.163969906528424,"Nr2f6(var.2)",1,"down"
"MA1630.1",5,89,29.4117647058824,17.8,1.65234633179114,0.168096809015554,"Znf281",1,"down"
"MA0604.1",1,6,5.88235294117647,1.2,4.90196078431372,0.188290299932526,"Atf1",1,"down"
"MA0002.2",5,93,29.4117647058824,18.6,1.58127767235927,0.192662963160293,"RUNX1",1,"down"
"MA0480.1",5,96,29.4117647058824,19.2,1.53186274509804,0.212026931965228,"Foxo1",1,"down"
"MA1607.1",5,99,29.4117647058824,19.8,1.48544266191325,0.232125311315803,"Foxl2",1,"down"
"MA1628.1",6,130,35.2941176470588,26,1.35746606334842,0.263325615734847,"Zic1::Zic2",1,"down"
"MA0602.1",3,53,17.6470588235294,10.6,1.66481687014428,0.265031611196167,"Arid5a",1,"down"
"MA1627.1",6,132,35.2941176470588,26.4,1.33689839572193,0.276461394689644,"Wt1",1,"down"
"MA0519.1",4,82,23.5294117647059,16.4,1.43472022955524,0.298738240017661,"Stat5a::Stat5b",1,"down"
"MA1619.1",3,57,17.6470588235294,11.4,1.54798761609907,0.304258214029715,"Ptf1a(var.2)",1,"down"
"MA0007.3",2,33,11.7647058823529,6.6,1.7825311942959,0.310779244328412,"Ar",1,"down"
"MA0885.1",2,33,11.7647058823529,6.6,1.7825311942959,0.310779244328412,"Dlx2",1,"down"
"MA0869.1",4,86,23.5294117647059,17.2,1.36798905608755,0.332303067201339,"Sox11",1,"down"
"MA1615.1",4,86,23.5294117647059,17.2,1.36798905608755,0.332303067201339,"Plagl1",1,"down"
"MA0704.1",2,37,11.7647058823529,7.4,1.58982511923688,0.362867459688904,"Lhx4",1,"down"
"MA0853.1",2,37,11.7647058823529,7.4,1.58982511923688,0.362867459688904,"Alx4",1,"down"
"MA0854.1",2,37,11.7647058823529,7.4,1.58982511923688,0.362867459688904,"Alx1",1,"down"
"MA0898.1",3,63,17.6470588235294,12.6,1.40056022408964,0.364040259242661,"Hmx3",1,"down"
"MA0067.1",1,13,5.88235294117647,2.6,2.26244343891403,0.365726099410976,"Pax2",1,"down"
"MA0897.1",3,65,17.6470588235294,13,1.35746606334842,0.384010136250204,"Hmx2",1,"down"
"MA0879.1",2,39,11.7647058823529,7.8,1.50829562594268,0.388527837038732,"Dlx1",1,"down"
"MA0483.1",4,93,23.5294117647059,18.6,1.26502213788741,0.392061502780531,"Gfi1b",1,"down"
"MA0676.1",3,67,17.6470588235294,13.4,1.31694468832309,0.403921916871087,"Nr2e1",1,"down"
