"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0897.1",8,56,25.8064516129032,11.2,2.30414746543779,0.015032564154671,"Hmx2",0.679025647248358,"down"
"MA0150.2",7,49,22.5806451612903,9.8,2.30414746543779,0.0235210569346017,"Nfe2l2",0.679025647248358,"down"
"MA0146.2",7,54,22.5806451612903,10.8,2.09080047789725,0.0386666062683673,"Zfx",0.679025647248358,"down"
"MA0483.1",9,80,29.0322580645161,16,1.81451612903226,0.0435107821369668,"Gfi1b",0.679025647248358,"down"
"MA0720.1",5,34,16.1290322580645,6.8,2.3719165085389,0.0503704109405942,"Shox2",0.679025647248358,"down"
"MA0898.1",7,59,22.5806451612903,11.8,1.91361399671952,0.0593520182748809,"Hmx3",0.679025647248358,"down"
"MA0816.1",10,98,32.258064516129,19.6,1.64581961816985,0.0603646278034323,"Ascl2",0.679025647248358,"down"
"MA1629.1",10,100,32.258064516129,20,1.61290322580645,0.0681744964136521,"Zic2",0.679025647248358,"down"
"MA1624.1",8,75,25.8064516129032,15,1.72043010752688,0.075605992601657,"Stat5a",0.679025647248358,"down"
"MA0705.1",4,27,12.9032258064516,5.4,2.389486260454,0.0774796435456679,"Lhx8",0.679025647248358,"down"
"MA0259.1",2,8,6.45161290322581,1.6,4.03225806451613,0.0824816871339279,"ARNT::HIF1A",0.679025647248358,"down"
"MA0514.1",13,146,41.9354838709677,29.2,1.43614670790985,0.0825888215810899,"Sox3",0.679025647248358,"down"
"MA0858.1",5,39,16.1290322580645,7.8,2.06782464846981,0.0832767303229119,"Rarb(var.2)",0.679025647248358,"down"
"MA1627.1",11,121,35.4838709677419,24.2,1.46627565982405,0.100014685008193,"Wt1",0.757254043633462,"down"
"MA0676.1",6,56,19.3548387096774,11.2,1.72811059907834,0.119644449738824,"Nr2e1",0.845487444821026,"down"
"MA0519.1",8,87,25.8064516129032,17.4,1.48312940304042,0.151268978253352,"Stat5a::Stat5b",0.953689360481757,"down"
"MA1622.1",6,60,19.3548387096774,12,1.61290322580645,0.153894217800158,"Smad2::Smad3",0.953689360481757,"down"
"MA1628.1",10,117,32.258064516129,23.4,1.37854976564654,0.161947249893129,"Zic1::Zic2",0.953689360481757,"down"
"MA0467.1",4,37,12.9032258064516,7.4,1.743679163034,0.188406539153066,"Crx",0.955039117193265,"down"
"MA0602.1",5,51,16.1290322580645,10.2,1.58127767235927,0.198732229306578,"Arid5a",0.955039117193265,"down"
"MA1615.1",6,65,19.3548387096774,13,1.48883374689826,0.202464574886361,"Plagl1",0.955039117193265,"down"
"MA0006.1",7,80,22.5806451612903,16,1.41129032258065,0.211969527468305,"Ahr::Arnt",0.955039117193265,"down"
"MA0709.1",3,26,9.67741935483871,5.2,1.86104218362283,0.213081439654031,"Msx3",0.955039117193265,"down"
"MA1619.1",6,67,19.3548387096774,13.4,1.44439094848339,0.223461056724975,"Ptf1a(var.2)",0.955039117193265,"down"
"MA0896.1",4,40,12.9032258064516,8,1.61290322580645,0.228962285602567,"Hmx1",0.955039117193265,"down"
"MA0029.1",6,68,19.3548387096774,13.6,1.42314990512334,0.234254877802122,"Mecom",0.955039117193265,"down"
"MA1607.1",8,100,25.8064516129032,20,1.29032258064516,0.264952829431064,"Foxl2",0.963913368328747,"down"
