"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0879.1",5,28,29.4117647058824,5.6,5.25210084033613,0.00148133096297586,"Dlx1",0.157021082075441,"down"
"MA0614.1",4,39,23.5294117647059,7.8,3.01659125188537,0.0359144967378867,"Foxj2",1,"down"
"MA0742.1",5,58,29.4117647058824,11.6,2.53549695740365,0.0365095583568777,"Klf12",1,"down"
"MA0851.1",6,105,35.2941176470588,21,1.68067226890756,0.12345587038931,"Foxj3",1,"down"
"MA0615.1",1,4,5.88235294117647,0.8,7.35294117647059,0.12958933988799,"Gmeb1",1,"down"
"MA0146.2",4,65,23.5294117647059,13,1.80995475113122,0.167765882091047,"Zfx",1,"down"
"MA0087.1",4,70,23.5294117647059,14,1.68067226890756,0.203655762876712,"Sox5",1,"down"
"MA0869.1",3,50,17.6470588235294,10,1.76470588235294,0.23626343034521,"Sox11",1,"down"
"MA0259.1",1,9,5.88235294117647,1.8,3.26797385620915,0.269398253077005,"ARNT::HIF1A",1,"down"
"MA1618.1",4,86,23.5294117647059,17.2,1.36798905608755,0.332303067201339,"Ptf1a",1,"down"
"MA0505.1",4,97,23.5294117647059,19.4,1.21285627653123,0.426357655952393,"Nr5a2",1,"down"
"MA0611.1",1,17,5.88235294117647,3.4,1.73010380622837,0.450006008786898,"Dux",1,"down"
"MA0881.1",1,17,5.88235294117647,3.4,1.73010380622837,0.450006008786898,"Dlx4",1,"down"
"MA0709.1",1,18,5.88235294117647,3.6,1.63398692810458,0.469363975351334,"Msx3",1,"down"
"MA0152.1",5,131,29.4117647058824,26.2,1.12258643915581,0.472701355310543,"NFATC2",1,"down"
"MA0065.2",4,104,23.5294117647059,20.8,1.13122171945701,0.485796507725698,"Pparg::Rxra",1,"down"
"MA0880.1",1,19,5.88235294117647,3.8,1.54798761609907,0.488079353814047,"Dlx3",1,"down"
"MA1615.1",3,77,17.6470588235294,15.4,1.14591291061879,0.501185041427171,"Plagl1",1,"down"
"MA0911.1",1,20,5.88235294117647,4,1.47058823529412,0.506172183305026,"Hoxa11",1,"down"
"MA0006.1",3,82,17.6470588235294,16.4,1.07604017216643,0.547476761040171,"Ahr::Arnt",1,"down"
"MA1619.1",2,53,11.7647058823529,10.6,1.10987791342952,0.554935121486091,"Ptf1a(var.2)",1,"down"
"MA1607.1",3,87,17.6470588235294,17.4,1.01419878296146,0.591653616844894,"Foxl2",1,"down"
"MA0142.1",3,89,17.6470588235294,17.8,0.991407799074686,0.608663488283804,"Pou5f1::Sox2",1,"down"
"MA0608.1",1,27,5.88235294117647,5.4,1.08932461873638,0.616955080615041,"Creb3l2",1,"down"
"MA0124.2",1,28,5.88235294117647,5.6,1.05042016806723,0.630722022749384,"Nkx3-1",1,"down"
"MA0739.1",2,63,11.7647058823529,12.6,0.933706816059757,0.655063991752008,"Hic1",1,"down"
"MA0705.1",1,32,5.88235294117647,6.4,0.919117647058823,0.681269452910768,"Lhx8",1,"down"
"MA0483.1",3,100,17.6470588235294,20,0.882352941176471,0.69476262898639,"Gfi1b",1,"down"
"MA1629.1",4,133,23.5294117647059,26.6,0.884564352056612,0.70513848306928,"Zic2",1,"down"
"MA1606.1",2,69,11.7647058823529,13.8,0.852514919011083,0.706875088547973,"Foxf1",1,"down"
"MA0122.3",1,35,5.88235294117647,7,0.840336134453781,0.71482566695117,"Nkx3-2",1,"down"
"MA0493.1",3,106,17.6470588235294,21.2,0.832408435072142,0.736114790655919,"Klf1",1,"down"
"MA0503.1",2,74,11.7647058823529,14.8,0.794912559618442,0.745398391829507,"Nkx2-5(var.2)",1,"down"
"MA0078.1",1,39,5.88235294117647,7.8,0.754147812971342,0.754417768485772,"Sox17",1,"down"
"MA1604.1",2,76,11.7647058823529,15.2,0.773993808049536,0.759661883596728,"Ebf2",1,"down"
"MA0720.1",1,40,5.88235294117647,8,0.735294117647059,0.76347394622057,"Shox2",1,"down"
"MA0728.1",1,43,5.88235294117647,8.6,0.683994528043776,0.788793355983574,"Nr2f6(var.2)",1,"down"
"MA0160.1",1,44,5.88235294117647,8.8,0.668449197860963,0.796650058277401,"NR4A2",1,"down"
"MA0704.1",1,44,5.88235294117647,8.8,0.668449197860963,0.796650058277401,"Lhx4",1,"down"
"MA1153.1",1,44,5.88235294117647,8.8,0.668449197860963,0.796650058277401,"Smad4",1,"down"
"MA0602.1",1,45,5.88235294117647,9,0.65359477124183,0.804231086806533,"Arid5a",1,"down"
"MA0858.1",1,47,5.88235294117647,9.4,0.625782227784731,0.818602194903865,"Rarb(var.2)",1,"down"
"MA0859.1",1,48,5.88235294117647,9.6,0.612745098039216,0.825409618053168,"Rarg",1,"down"
