"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0739.1",5,54,45.4545454545455,10.8,4.20875420875421,0.00341928016298096,"Hic1",0.362443697275982,"up"
"MA1607.1",5,92,45.4545454545455,18.4,2.4703557312253,0.0347288991636461,"Foxl2",1,"up"
"MA0029.1",4,72,36.3636363636364,14.4,2.52525252525253,0.0590858304108282,"Mecom",1,"up"
"MA1623.1",7,208,63.6363636363636,41.6,1.52972027972028,0.117709085834123,"Stat2",1,"up"
"MA0152.1",5,127,45.4545454545455,25.4,1.78954903364352,0.118702617883398,"NFATC2",1,"up"
"MA0607.1",3,57,27.2727272727273,11.4,2.39234449760766,0.119483975681562,"Bhlha15",1,"up"
"MA0150.2",3,60,27.2727272727273,12,2.27272727272727,0.134556714778521,"Nfe2l2",1,"up"
"MA0870.1",2,38,18.1818181818182,7.6,2.39234449760766,0.200561714407882,"Sox1",1,"up"
"MA0591.1",3,72,27.2727272727273,14.4,1.89393939393939,0.201510123758567,"Bach1::Mafk",1,"up"
"MA0461.2",2,41,18.1818181818182,8.2,2.21729490022173,0.225654181098143,"Atoh1",1,"up"
"MA1627.1",4,115,36.3636363636364,23,1.58102766798419,0.2314573836295,"Wt1",1,"up"
"MA0135.1",3,77,27.2727272727273,15.4,1.77095631641086,0.231971424974994,"Lhx3",1,"up"
"MA1606.1",3,77,27.2727272727273,15.4,1.77095631641086,0.231971424974994,"Foxf1",1,"up"
"MA0860.1",2,42,18.1818181818182,8.4,2.16450216450216,0.234108065492351,"Rarg(var.2)",1,"up"
"MA1624.1",3,78,27.2727272727273,15.6,1.74825174825175,0.238206783654194,"Stat5a",1,"up"
"MA0087.1",3,83,27.2727272727273,16.6,1.64293537787514,0.269983245808517,"Sox5",1,"up"
"MA0160.1",2,49,18.1818181818182,9.8,1.85528756957328,0.29402203693633,"NR4A2",1,"up"
"MA0643.1",2,50,18.1818181818182,10,1.81818181818182,0.302631524290765,"Esrrg",1,"up"
"MA0065.2",3,90,27.2727272727273,18,1.51515151515151,0.315773344898346,"Pparg::Rxra",1,"up"
"MA1604.1",2,53,18.1818181818182,10.6,1.71526586620926,0.328444783473123,"Ebf2",1,"up"
"MA0603.1",1,18,9.09090909090909,3.6,2.52525252525253,0.33466942083774,"Arntl",1,"up"
"MA1153.1",2,54,18.1818181818182,10.8,1.68350168350168,0.337031805696116,"Smad4",1,"up"
"MA0503.1",2,57,18.1818181818182,11.4,1.59489633173844,0.36269258680388,"Nkx2-5(var.2)",1,"up"
"MA0832.1",2,57,18.1818181818182,11.4,1.59489633173844,0.36269258680388,"Tcf21",1,"up"
"MA0092.1",2,60,18.1818181818182,12,1.51515151515152,0.388137367057144,"Hand1::Tcf3",1,"up"
"MA0122.3",2,60,18.1818181818182,12,1.51515151515152,0.388137367057144,"Nkx3-2",1,"up"
"MA1618.1",3,106,27.2727272727273,21.2,1.28644939965695,0.422799793440384,"Ptf1a",1,"up"
"MA0142.1",3,108,27.2727272727273,21.6,1.26262626262626,0.43614120319084,"Pou5f1::Sox2",1,"up"
"MA1628.1",3,115,27.2727272727273,23,1.18577075098814,0.482356454042101,"Zic1::Zic2",1,"up"
"MA0676.1",2,72,18.1818181818182,14.4,1.26262626262626,0.486358710454046,"Nr2e1",1,"up"
"MA0705.1",1,30,9.09090909090909,6,1.51515151515152,0.4972960380062,"Lhx8",1,"up"
"MA0874.1",1,30,9.09090909090909,6,1.51515151515152,0.4972960380062,"Arx",1,"up"
"MA0883.1",1,31,9.09090909090909,6.2,1.46627565982405,0.509061449882651,"Dmbx1",1,"up"
"MA0869.1",2,76,18.1818181818182,15.2,1.19617224880383,0.517421286587726,"Sox11",1,"up"
"MA0519.1",2,79,18.1818181818182,15.8,1.15074798619102,0.540064372939147,"Stat5a::Stat5b",1,"up"
"MA1622.1",2,79,18.1818181818182,15.8,1.15074798619102,0.540064372939147,"Smad2::Smad3",1,"up"
"MA0879.1",1,34,9.09090909090909,6.8,1.33689839572193,0.54287172995732,"Dlx1",1,"up"
"MA0111.1",1,35,9.09090909090909,7,1.2987012987013,0.553662311439015,"Spz1",1,"up"
"MA0858.1",1,36,9.09090909090909,7.2,1.26262626262626,0.564220837404974,"Rarb(var.2)",1,"up"
"MA0851.1",3,129,27.2727272727273,25.8,1.05708245243129,0.571080940633778,"Foxj3",1,"up"
"MA0124.2",1,37,9.09090909090909,7.4,1.22850122850123,0.574551808932011,"Nkx3-1",1,"up"
"MA0853.1",1,37,9.09090909090909,7.4,1.22850122850123,0.574551808932011,"Alx4",1,"up"
"MA0854.1",1,37,9.09090909090909,7.4,1.22850122850123,0.574551808932011,"Alx1",1,"up"
"MA0720.1",1,38,9.09090909090909,7.6,1.19617224880383,0.584659649324555,"Shox2",1,"up"
"MA1608.1",1,38,9.09090909090909,7.6,1.19617224880383,0.584659649324555,"Isl1",1,"up"
"MA0146.2",1,43,9.09090909090909,8.6,1.05708245243129,0.632001403050137,"Zfx",1,"up"
"MA0505.1",2,93,18.1818181818182,18.6,0.977517106549365,0.637525961560068,"Nr5a2",1,"up"
"MA0494.1",1,44,9.09090909090909,8.8,1.03305785123967,0.640859137331206,"Nr1h3::Rxra",1,"up"
"MA0631.1",1,44,9.09090909090909,8.8,1.03305785123967,0.640859137331206,"Six3",1,"up"
"MA0518.1",2,94,18.1818181818182,18.8,0.967117988394584,0.643942041798917,"Stat4",1,"up"
"MA0004.1",1,45,9.09090909090909,9,1.01010101010101,0.64952262305348,"Arnt",1,"up"
"MA0704.1",1,45,9.09090909090909,9,1.01010101010101,0.64952262305348,"Lhx4",1,"up"
"MA0515.1",2,97,18.1818181818182,19.4,0.937207122774133,0.662740962023659,"Sox6",1,"up"
"MA0467.1",1,47,9.09090909090909,9.4,0.967117988394584,0.666282150233021,"Crx",1,"up"
"MA0480.1",2,99,18.1818181818182,19.8,0.918273645546373,0.674897750427325,"Foxo1",1,"up"
"MA0896.1",1,51,9.09090909090909,10.2,0.89126559714795,0.697634804112243,"Hmx1",1,"up"
"MA1615.1",1,51,9.09090909090909,10.2,0.89126559714795,0.697634804112243,"Plagl1",1,"up"
"MA0633.1",1,53,9.09090909090909,10.6,0.857632933104631,0.712284676840936,"Twist2",1,"up"
"MA0857.1",1,53,9.09090909090909,10.6,0.857632933104631,0.712284676840936,"Rarb",1,"up"
"MA1629.1",2,108,18.1818181818182,21.6,0.841750841750842,0.72588190291027,"Zic2",1,"up"
"MA0897.1",1,55,9.09090909090909,11,0.826446280991736,0.726286412704788,"Hmx2",1,"up"
"MA0614.1",1,56,9.09090909090909,11.2,0.811688311688312,0.73305236654804,"Foxj2",1,"up"
"MA0898.1",1,60,9.09090909090909,12,0.757575757575758,0.758622998013369,"Hmx3",1,"up"
"MA1621.1",1,63,9.09090909090909,12.6,0.721500721500722,0.776316722362509,"Rbpjl",1,"up"
"MA0521.1",2,121,18.1818181818182,24.2,0.751314800901578,0.789001337856623,"Tcf12",1,"up"
"MA0006.1",1,66,9.09090909090909,13.2,0.68870523415978,0.7928233910025,"Ahr::Arnt",1,"up"
"MA1619.1",1,67,9.09090909090909,13.4,0.67842605156038,0.798074411046216,"Ptf1a(var.2)",1,"up"
"MA1620.1",1,67,9.09090909090909,13.4,0.67842605156038,0.798074411046216,"Ptf1a(var.3)",1,"up"
"MA1630.1",1,73,9.09090909090909,14.6,0.62266500622665,0.827120648382642,"Znf281",1,"up"
"MA0601.1",1,84,9.09090909090909,16.8,0.541125541125541,0.870711788221068,"Arid3b",1,"up"
"MA0151.1",5,288,45.4545454545455,57.6,0.789141414141414,0.870851249831889,"Arid3a",1,"up"
"MA1625.1",1,87,9.09090909090909,17.4,0.522466039707419,0.880722481675009,"Stat5b",1,"up"
"MA0520.1",1,90,9.09090909090909,18,0.505050505050505,0.890023492917104,"Stat6",1,"up"
"MA0483.1",1,101,9.09090909090909,20.2,0.45004500450045,0.918764686457319,"Gfi1b",1,"up"
"MA0514.1",1,142,9.09090909090909,28.4,0.320102432778489,0.975746726938822,"Sox3",1,"up"
"MA0067.1",0,18,0,3.6,0,1,"Pax2",1,"up"
"MA0078.1",0,50,0,10,0,1,"Sox17",1,"up"
"MA0125.1",0,30,0,6,0,1,"Nobox",1,"up"
"MA0002.2",0,93,0,18.6,0,1,"RUNX1",1,"up"
"MA0164.1",0,50,0,10,0,1,"Nr2e3",1,"up"
"MA0259.1",0,8,0,1.6,0,1,"ARNT::HIF1A",1,"up"
"MA0493.1",0,57,0,11.4,0,1,"Klf1",1,"up"
"MA0602.1",0,57,0,11.4,0,1,"Arid5a",1,"up"
"MA0604.1",0,8,0,1.6,0,1,"Atf1",1,"up"
"MA0608.1",0,17,0,3.4,0,1,"Creb3l2",1,"up"
"MA0611.1",0,18,0,3.6,0,1,"Dux",1,"up"
"MA0615.1",0,5,0,1,0,1,"Gmeb1",1,"up"
"MA0622.1",0,24,0,4.8,0,1,"Mlxip",1,"up"
"MA0626.1",0,26,0,5.2,0,1,"Npas2",1,"up"
"MA0629.1",0,43,0,8.6,0,1,"Rhox11",1,"up"
"MA0007.3",0,32,0,6.4,0,1,"Ar",1,"up"
"MA0677.1",0,48,0,9.6,0,1,"Nr2f6",1,"up"
"MA0512.2",0,46,0,9.2,0,1,"Rxra",1,"up"
"MA0709.1",0,22,0,4.4,0,1,"Msx3",1,"up"
"MA0728.1",0,53,0,10.6,0,1,"Nr2f6(var.2)",1,"up"
"MA0742.1",0,36,0,7.2,0,1,"Klf12",1,"up"
"MA0816.1",0,93,0,18.6,0,1,"Ascl2",1,"up"
"MA0840.1",0,26,0,5.2,0,1,"Creb5",1,"up"
"MA0117.2",0,54,0,10.8,0,1,"Mafb",1,"up"
"MA0859.1",0,44,0,8.8,0,1,"Rarg",1,"up"
