"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0879.1",4,29,33.3333333333333,5.8,5.74712643678161,0.00328786569095856,"Dlx1",0.348513763241607,"down"
"MA0614.1",3,46,25,9.2,2.71739130434783,0.0888958636110147,"Foxj2",1,"down"
"MA0480.1",4,77,33.3333333333333,15.4,2.16450216450216,0.0971270118205138,"Foxo1",1,"down"
"MA0461.2",2,30,16.6666666666667,6,2.77777777777778,0.158047965495046,"Atoh1",1,"down"
"MA0146.2",3,60,25,12,2.08333333333333,0.164633765560034,"Zfx",1,"down"
"MA0851.1",4,112,33.3333333333333,22.4,1.48809523809524,0.271038018928145,"Foxj3",1,"down"
"MA0259.1",1,13,8.33333333333333,2.6,3.2051282051282,0.273638200095742,"ARNT::HIF1A",1,"down"
"MA1615.1",3,78,25,15.6,1.6025641025641,0.283958249791147,"Plagl1",1,"down"
"MA0483.1",3,79,25,15.8,1.58227848101266,0.291028100944014,"Gfi1b",1,"down"
"MA0505.1",3,79,25,15.8,1.58227848101266,0.291028100944014,"Nr5a2",1,"down"
"MA0611.1",1,14,8.33333333333333,2.8,2.97619047619048,0.291536232126237,"Dux",1,"down"
"MA0742.1",2,45,16.6666666666667,9,1.85185185185185,0.294744910193505,"Klf12",1,"down"
"MA0087.1",3,81,25,16.2,1.54320987654321,0.305250944595324,"Sox5",1,"down"
"MA1616.1",3,82,25,16.4,1.52439024390244,0.312398827572887,"Prdm15",1,"down"
"MA1607.1",3,84,25,16.8,1.48809523809524,0.326754953894984,"Foxl2",1,"down"
"MA0151.1",7,246,58.3333333333333,49.2,1.18563685636856,0.364141926176095,"Arid3a",1,"down"
"MA0006.1",3,90,25,18,1.38888888888889,0.37013148351388,"Ahr::Arnt",1,"down"
"MA0603.1",1,21,8.33333333333333,4.2,1.98412698412698,0.405936685226338,"Arntl",1,"down"
"MA0709.1",1,22,8.33333333333333,4.4,1.89393939393939,0.420819273487891,"Msx3",1,"down"
"MA0626.1",1,25,8.33333333333333,5,1.66666666666667,0.463440704500205,"Npas2",1,"down"
"MA0739.1",2,64,16.6666666666667,12.8,1.30208333333333,0.46802249959348,"Hic1",1,"down"
"MA0631.1",1,26,8.33333333333333,5.2,1.6025641025641,0.476995886702305,"Six3",1,"down"
"MA1621.1",2,67,16.6666666666667,13.4,1.24378109452736,0.493740752438979,"Rbpjl",1,"down"
"MA0503.1",2,70,16.6666666666667,14,1.19047619047619,0.518824891286398,"Nkx2-5(var.2)",1,"down"
"MA0869.1",2,70,16.6666666666667,14,1.19047619047619,0.518824891286398,"Sox11",1,"down"
"MA1620.1",2,70,16.6666666666667,14,1.19047619047619,0.518824891286398,"Ptf1a(var.3)",1,"down"
"MA1606.1",2,75,16.6666666666667,15,1.11111111111111,0.559106613488615,"Foxf1",1,"down"
"MA1608.1",1,34,8.33333333333333,6.8,1.22549019607843,0.574655699653539,"Isl1",1,"down"
"MA0896.1",1,37,8.33333333333333,7.4,1.12612612612613,0.606743185352288,"Hmx1",1,"down"
"MA0142.1",2,83,16.6666666666667,16.6,1.00401606425703,0.619277884870279,"Pou5f1::Sox2",1,"down"
"MA0007.3",1,41,8.33333333333333,8.2,1.01626016260163,0.646077686517277,"Ar",1,"down"
"MA1630.1",2,89,16.6666666666667,17.8,0.936329588014981,0.660766331311599,"Znf281",1,"down"
