"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA0897.1",5,59,31.25,11.8,2.64830508474576,0.0302603110662789,"Hmx2",1,"up"
"MA0898.1",5,62,31.25,12.4,2.52016129032258,0.0368495511625914,"Hmx3",1,"up"
"MA1608.1",3,34,18.75,6.8,2.75735294117647,0.087436224195727,"Isl1",1,"up"
"MA0029.1",4,58,25,11.6,2.1551724137931,0.102275446510323,"Mecom",1,"up"
"MA0483.1",5,84,31.25,16.8,1.86011904761905,0.112962286172925,"Gfi1b",1,"up"
"MA0514.1",7,138,43.75,27.6,1.58514492753623,0.120109130529485,"Sox3",1,"up"
"MA1630.1",4,65,25,13,1.92307692307692,0.141601955047536,"Znf281",1,"up"
"MA0739.1",4,67,25,13.4,1.86567164179104,0.153923702046575,"Hic1",1,"up"
"MA1624.1",5,93,31.25,18.6,1.68010752688172,0.158306431463999,"Stat5a",1,"up"
"MA0896.1",3,45,18.75,9,2.08333333333333,0.166687519518079,"Hmx1",1,"up"
"MA0519.1",5,95,31.25,19,1.64473684210526,0.16941283972942,"Stat5a::Stat5b",1,"up"
"MA0604.1",1,7,6.25,1.4,4.46428571428571,0.204721670379236,"Atf1",1,"up"
"MA1153.1",3,50,18.75,10,1.875,0.208542524554571,"Smad4",1,"up"
"MA0150.2",4,77,25,15.4,1.62337662337662,0.221710746987625,"Nfe2l2",1,"up"
"MA0705.1",2,30,12.5,6,2.08333333333333,0.248294937632724,"Lhx8",1,"up"
"MA0816.1",4,81,25,16.2,1.54320987654321,0.251229444267937,"Ascl2",1,"up"
"MA0677.1",3,55,18.75,11,1.70454545454545,0.252886774049887,"Nr2f6",1,"up"
"MA0607.1",3,56,18.75,11.2,1.67410714285714,0.261982299619583,"Bhlha15",1,"up"
"MA1622.1",4,87,25,17.4,1.4367816091954,0.297394603312574,"Smad2::Smad3",1,"up"
"MA0720.1",2,35,12.5,7,1.78571428571429,0.310048893998565,"Shox2",1,"up"
"MA0851.1",5,117,31.25,23.4,1.33547008547009,0.311219370552214,"Foxj3",1,"up"
"MA0853.1",2,36,12.5,7.2,1.73611111111111,0.322389124575404,"Alx4",1,"up"
"MA0870.1",2,36,12.5,7.2,1.73611111111111,0.322389124575404,"Sox1",1,"up"
"MA0146.2",2,37,12.5,7.4,1.68918918918919,0.334698960495648,"Zfx",1,"up"
"MA0461.2",2,37,12.5,7.4,1.68918918918919,0.334698960495648,"Atoh1",1,"up"
"MA0006.1",4,92,25,18.4,1.35869565217391,0.337108166313529,"Ahr::Arnt",1,"up"
"MA1627.1",5,125,31.25,25,1.25,0.368881636592911,"Wt1",1,"up"
"MA1607.1",4,96,25,19.2,1.30208333333333,0.369376929412132,"Foxl2",1,"up"
"MA0854.1",2,40,12.5,8,1.5625,0.371346837322959,"Alx1",1,"up"
"MA0676.1",3,69,18.75,13.8,1.35869565217391,0.383591219067041,"Nr2e1",1,"up"
"MA0614.1",2,43,12.5,8.6,1.45348837209302,0.407387889794564,"Foxj2",1,"up"
"MA0467.1",2,44,12.5,8.8,1.42045454545455,0.419230721996342,"Crx",1,"up"
"MA0518.1",4,105,25,21,1.19047619047619,0.442427014562688,"Stat4",1,"up"
"MA0160.1",2,46,12.5,9.2,1.35869565217391,0.442620436390775,"NR4A2",1,"up"
"MA0880.1",1,18,6.25,3.6,1.73611111111111,0.448867304871343,"Dlx3",1,"up"
"MA0503.1",3,76,18.75,15.2,1.23355263157895,0.449032331473052,"Nkx2-5(var.2)",1,"up"
"MA1623.1",7,203,43.75,40.6,1.07758620689655,0.492952985733129,"Stat2",1,"up"
"MA0591.1",3,82,18.75,16.4,1.14329268292683,0.503581727918551,"Bach1::Mafk",1,"up"
"MA1625.1",3,86,18.75,17.2,1.09011627906977,0.53876169648632,"Stat5b",1,"up"
"MA0065.2",3,87,18.75,17.4,1.07758620689655,0.547381949813953,"Pparg::Rxra",1,"up"
"MA0603.1",1,24,6.25,4.8,1.30208333333333,0.550404685329484,"Arntl",1,"up"
"MA0879.1",1,24,6.25,4.8,1.30208333333333,0.550404685329484,"Dlx1",1,"up"
"MA0709.1",1,25,6.25,5,1.25,0.565517132881434,"Msx3",1,"up"
