"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",1.61538041887982e-29,-0.927219574995325,0.99,0.989,4.04604333516829e-25,"Gm42418","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Ubb",1.00553197797662e-19,-3.45481907410871,0.039,0.277,2.51855594523804e-15,"Ubb","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Wdr17",4.59644318922135e-19,0.760048815030514,0.935,0.802,1.15127112560427e-14,"Wdr17","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"AY036118",1.36219716960929e-18,-1.17774195853982,0.605,0.757,3.4118952507204e-14,"AY036118","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Dlg2",3.78956179707537e-18,-1.36864404216476,0.249,0.362,9.49171543313468e-14,"Dlg2","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",1.74075910201592e-17,-1.56231015409491,0.333,0.52,4.36007932281928e-13,"Tuba1a","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Gm3764",3.82119730296811e-17,0.491740216615707,0.965,0.91,9.57095288474421e-13,"Gm3764","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Gm47283",1.81142880042386e-16,-2.01851603613115,0.221,0.458,4.53708571642164e-12,"Gm47283","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Nrg3",5.82518478464957e-16,-1.16178097807565,0.256,0.384,1.45903403301118e-11,"Nrg3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Mir99ahg",3.23228317146378e-15,0.345432730659859,1,0.983,8.09589965956532e-11,"Mir99ahg","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Hsp90aa1",5.83339366416183e-15,-2.51382829082467,0.084,0.294,1.46109011106261e-10,"Hsp90aa1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Meg3",8.57429708960496e-15,-1.47237929234541,0.17,0.316,2.14760419203335e-10,"Meg3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Tubb2a",2.43888297075821e-14,-1.920657299541,0.172,0.384,6.10867017685809e-10,"Tubb2a","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Tubb2b",3.88864119356707e-14,-2.05926251175038,0.168,0.362,9.73987959752745e-10,"Tubb2b","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Hspa8",1.54086982678726e-13,-1.81128535701217,0.17,0.384,3.85941665515406e-09,"Hspa8","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Npas3",2.3627937082607e-13,0.30652441390888,0.998,0.972,5.91808940108057e-09,"Npas3","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Mir100hg",3.45539703694726e-13,0.528423943395384,0.963,0.859,8.65473295844179e-09,"Mir100hg","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Tenm2",1.67606063512919e-12,-1.2858217180003,0.237,0.322,4.19802907280808e-08,"Tenm2","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Syt1",3.94117881873321e-12,-1.366097279633,0.151,0.299,9.87147058728107e-08,"Syt1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Actb",5.625208184684e-12,-1.72420878398784,0.188,0.356,1.4089458940178e-07,"Actb","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Ptprd",6.03295261295176e-12,-1.15322026383445,0.421,0.469,1.51107364096603e-07,"Ptprd","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Fam155a",1.02395820272269e-11,-1.30471131665066,0.157,0.266,2.56470811035952e-07,"Fam155a","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Rora",1.339028794394e-11,0.499817536592538,0.951,0.87,3.35386542131866e-07,"Rora","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Msi2",2.05993447626856e-11,0.59266233767623,0.928,0.734,5.15951788270987e-07,"Msi2","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Actg1",2.52887335254783e-11,-1.84984096198685,0.155,0.328,6.33406908612656e-07,"Actg1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Nbea",3.71386776718501e-11,-0.685290951157015,0.509,0.52,9.30212459646829e-07,"Nbea","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Ckb",5.58286612659214e-11,-1.50266513292971,0.284,0.508,1.39834047872753e-06,"Ckb","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Mir9-3hg",6.24776351162149e-11,0.838551757908711,0.728,0.463,1.56487732675583e-06,"Mir9-3hg","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Rgs20",7.67323162326607e-11,0.678538348438625,0.771,0.492,1.92191432467945e-06,"Rgs20","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Csmd3",1.89056860079232e-10,-1.16403761104961,0.217,0.316,4.73530717440452e-06,"Csmd3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Nckap5",2.67407891817243e-10,0.502680783170835,0.941,0.797,6.69776546634649e-06,"Nckap5","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Opcml",3.52537723624734e-10,-1.0288649605384,0.389,0.429,8.83001236362871e-06,"Opcml","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Stox2",5.51997364353063e-10,0.636545820236774,0.861,0.638,1.38258779849512e-05,"Stox2","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Ank3",6.71496650873794e-10,-0.672467511548533,0.194,0.316,1.68189766144359e-05,"Ank3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Nav3",1.24861615400615e-09,-1.05471615990418,0.294,0.345,3.12740888093921e-05,"Nav3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Ppia",1.64032193061106e-09,-1.82374767205172,0.147,0.288,4.10851433960153e-05,"Ppia","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Pitpnc1",3.13468032239888e-09,0.903701005174526,0.703,0.452,7.85143380351248e-05,"Pitpnc1","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Grm3",5.01990894756377e-09,0.510122778324543,0.881,0.74,0.00012573365940963,"Grm3","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Gabrb3",5.52659608072014e-09,-0.881864876217226,0.17,0.282,0.000138424652033797,"Gabrb3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Zbtb20",6.96529545827369e-09,0.397624751744128,0.992,0.977,0.000174459755343381,"Zbtb20","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Ccser1",1.0941636864287e-08,-0.776808618174423,0.239,0.322,0.000274055178539797,"Ccser1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Snhg14",1.46495640122238e-08,-0.772090777712337,0.337,0.384,0.000366927629814169,"Snhg14","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Anks1b",2.20025898066412e-08,-0.651801051286473,0.278,0.379,0.000551098866886943,"Anks1b","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Cntnap2",2.49979845094658e-08,-1.28989364016547,0.252,0.305,0.000626124518008591,"Cntnap2","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Maml2",2.77367173743251e-08,0.542405383434341,0.855,0.723,0.00069472156007472,"Maml2","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Kcnip4",3.27584175810687e-08,-1.03712376914311,0.305,0.345,0.000820500085153027,"Kcnip4","Astrocytes","24hrvs1hr_SAL","Down","Sig"
