"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cwc22",1.83990001006475e-113,-1.21523296084871,0.631,0.974,4.60839755520918e-109,"Cwc22","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"Gm42418",1.56527057175336e-45,-0.390293503109707,0.986,0.997,3.92053320107064e-41,"Gm42418","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"Gm47283",2.37727751218135e-29,0.946872331100523,0.672,0.646,5.95436698476063e-25,"Gm47283","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"mt-Co1",4.17540323642333e-23,1.16551095906179,0.604,0.43,1.04581324862695e-18,"mt-Co1","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"mt-Co3",8.32484291557713e-22,1.17247213141192,0.741,0.6,2.0851234050646e-17,"mt-Co3","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"mt-Atp6",3.46045458506515e-21,1.17873444804568,0.654,0.491,8.66740059921268e-17,"mt-Atp6","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"mt-Nd1",9.4907159995052e-21,1.40564569619373,0.562,0.408,2.37713963639607e-16,"mt-Nd1","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"mt-Co2",4.86733151879499e-20,1.08210889249122,0.669,0.503,1.21912052551258e-15,"mt-Co2","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Tubb2a",1.38855881680857e-16,0.982760825006521,0.704,0.648,3.47792326846042e-12,"Tubb2a","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Sema3c",1.92210472759403e-13,-0.517968379501483,0.29,0.509,4.81429571120478e-09,"Sema3c","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"mt-Nd4",5.32690069174058e-13,1.22098258922878,0.397,0.291,1.33422881626026e-08,"mt-Nd4","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Pabpc1",4.95038482851478e-12,-0.428274914930841,0.434,0.641,1.2399228879981e-07,"Pabpc1","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"Srrm2",5.14024029758218e-12,0.453239505780123,0.812,0.812,1.28747598733541e-07,"Srrm2","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Actg1",6.27826687336615e-12,0.862840934234332,0.546,0.493,1.57251750377202e-07,"Actg1","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Itga8",3.19828161784871e-11,-0.640612532894428,0.399,0.622,8.01073596822565e-07,"Itga8","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"mt-Nd2",4.46932998385318e-11,1.07581357346262,0.446,0.346,1.11943308105571e-06,"mt-Nd2","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Malat1",1.0251828106898e-10,0.215276185859283,1,1,2.56777538593473e-06,"Malat1","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Las1l",1.04249113883566e-10,0.680754788558485,0.755,0.745,2.61112755544168e-06,"Las1l","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Tuba1a",5.2731204128846e-10,0.77853620152273,0.855,0.871,1.32075846981521e-05,"Tuba1a","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"AY036118",2.19120503664813e-09,-0.203765336126014,0.81,0.932,5.48831125529258e-05,"AY036118","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"Rnf121",3.79834400435898e-09,-0.557705034833395,0.445,0.627,9.51371222771795e-05,"Rnf121","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"mt-Cytb",5.42751547645846e-09,0.986456140451537,0.42,0.325,0.000135942980138855,"mt-Cytb","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Tubb2b",5.63062456994224e-09,0.906493958950979,0.591,0.544,0.000141030253603343,"Tubb2b","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Gapdh",9.20786548799513e-09,1.08669695030951,0.291,0.228,0.000230629406877814,"Gapdh","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Ddx5",1.69783501384684e-08,0.487747492417195,0.962,0.959,0.000425256735918218,"Ddx5","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Snhg14",2.54975521501397e-08,0.174877390395766,0.995,0.999,0.00063863718870455,"Snhg14","ExN_CA1","PTZvsSAL_24hr","Up","pValue"
"Ubb",3.26793759070399e-08,1.14707990731973,0.261,0.191,0.000818520328343628,"Ubb","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Hsp90ab1",3.66788132139649e-08,0.677072437366288,0.587,0.574,0.000918694234570178,"Hsp90ab1","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
"Camk1d",4.45957892835144e-08,-0.269356707478368,0.89,0.97,0.00111699073418419,"Camk1d","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"Klhl26",6.340915595824e-08,-0.834274953702311,0.118,0.261,0.00158820912928604,"Klhl26","ExN_CA1","PTZvsSAL_24hr","Down","Sig"
"Kif1a",6.43333823929425e-08,0.34293209577152,0.521,0.578,0.00161135822879603,"Kif1a","ExN_CA1","PTZvsSAL_24hr","Up","Sig"
