"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cwc22",4.92048468446629e-14,1.5383477526861,0.811,0.482,1.23243379891827e-09,"Cwc22","ExN_iDG","PTZvsSAL_1hr","Up","Sig"
"Lrp1b",1.70785773424282e-05,-0.376539001398033,0.746,0.864,0.4277671266958,"Lrp1b","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Cdh11",5.94936482862449e-05,-1.41889529508195,0.15,0.282,1,"Cdh11","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Grin2a",7.81988891852276e-05,-0.723212450832255,0.213,0.364,1,"Grin2a","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Nnat",9.9772780865967e-05,0.751487120531565,0.772,0.664,1,"Nnat","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Ncam2",0.000137519003452163,-0.34506388358248,0.608,0.736,1,"Ncam2","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Csmd1",0.00014963711685383,-0.356428807290903,0.638,0.718,1,"Csmd1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Prkg1",0.000156814553009985,-0.511308580370599,0.698,0.809,1,"Prkg1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ank2",0.000273517259050016,-0.439293802812285,0.85,0.9,1,"Ank2","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ddx5",0.000359722169527431,-0.559493554048112,0.692,0.809,1,"Ddx5","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Igfbpl1",0.000516507603998822,0.710241451474842,0.65,0.427,1,"Igfbpl1","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Dpp6",0.0007161431311861,-0.532632568228818,0.56,0.664,1,"Dpp6","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Gabrb1",0.000722018748298154,-0.39419565655442,0.353,0.445,1,"Gabrb1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Dlg2",0.000917199251556436,-0.240608039160079,0.68,0.773,1,"Dlg2","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Tenm2",0.000928091668200881,-0.373855035003491,0.856,0.9,1,"Tenm2","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ewsr1",0.00127656562658638,1.21570833042642,0.404,0.2,1,"Ewsr1","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Fgf14",0.00130116882553513,-0.37672602141263,0.74,0.791,1,"Fgf14","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Abl2",0.0016059359123771,1.25866282442286,0.263,0.091,1,"Abl2","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Shisa9",0.00196353550984803,-0.8900207442255,0.254,0.364,1,"Shisa9","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ptprk",0.00225515623646929,-0.447018668906492,0.509,0.609,1,"Ptprk","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ppp3ca",0.00231077264046271,-0.317884017790236,0.707,0.791,1,"Ppp3ca","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Rian",0.00233091129504567,-0.927818471236844,0.204,0.3,1,"Rian","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Tbc1d5",0.00290951960327419,0.591646099630367,0.431,0.236,1,"Tbc1d5","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Cntnap5b",0.00293239535473534,-0.35448212643621,0.653,0.664,1,"Cntnap5b","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Epha7",0.0030706031139678,-0.48634678124716,0.578,0.609,1,"Epha7","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Rbm39",0.0032465728351317,0.765114559811062,0.593,0.436,1,"Rbm39","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Epha6",0.00383068091242599,-0.509786930203845,0.407,0.491,1,"Epha6","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Dok6",0.00419771362778372,0.651551931018071,0.68,0.545,1,"Dok6","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Ephb1",0.00425548136546051,0.863322172888815,0.374,0.209,1,"Ephb1","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Lingo2",0.00426771600132961,-0.446517483062067,0.464,0.545,1,"Lingo2","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Rfx3",0.0044147974332915,-0.330819303807564,0.841,0.845,1,"Rfx3","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Nkain2",0.00472112316666366,-0.0791006270794745,0.497,0.573,1,"Nkain2","ExN_iDG","PTZvsSAL_1hr","Down","NoChange"
"Tmem131l",0.00554731551494944,-0.848405931582072,0.29,0.418,1,"Tmem131l","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Slc35f3",0.00593012601306111,-0.91969374831012,0.243,0.327,1,"Slc35f3","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Cntn1",0.00600778402795103,-0.702643252297206,0.278,0.336,1,"Cntn1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Pabpn1",0.00613607395521944,-0.367326898194614,0.353,0.455,1,"Pabpn1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ptprd",0.00664234797644374,-0.140255553758339,0.853,0.882,1,"Ptprd","ExN_iDG","PTZvsSAL_1hr","Down","NoChange"
"Mmp16",0.00674241901527364,-0.345927628825245,0.53,0.6,1,"Mmp16","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Tubb5",0.00691992068783367,-0.307699747946794,0.422,0.355,1,"Tubb5","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Pcdh9",0.00721015356559738,-0.482965699028905,0.488,0.573,1,"Pcdh9","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Sema3c",0.0072933209545954,0.415618555004276,0.784,0.664,1,"Sema3c","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Sncaip",0.00795271244673192,0.883147591011656,0.305,0.136,1,"Sncaip","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Cntnap2",0.00801871283213375,-0.499420062435048,0.497,0.573,1,"Cntnap2","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Robo1",0.00953598302300835,-0.302547488178982,0.659,0.745,1,"Robo1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Kcnn2",0.00964166607264456,0.711984133034459,0.44,0.255,1,"Kcnn2","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Tjp1",0.00974943652735353,-0.907686704741622,0.195,0.318,1,"Tjp1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Nell1",0.00985448724560666,0.574371338084949,0.539,0.364,1,"Nell1","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Ppp6r3",0.0108214956608951,-0.443557487404345,0.183,0.264,1,"Ppp6r3","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Kmt2e",0.0108341540489076,0.343287721754581,0.5,0.318,1,"Kmt2e","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Nlgn1",0.0112643665832222,-0.228083845536853,0.916,0.891,1,"Nlgn1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Rgs6",0.012119947793179,-0.435402760075874,0.65,0.736,1,"Rgs6","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Plppr1",0.0121602602947427,-0.530219765781516,0.476,0.5,1,"Plppr1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Nrcam",0.0122933478659151,-0.659881119881784,0.341,0.382,1,"Nrcam","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Gab2",0.0125949433708321,1.147567286274,0.287,0.127,1,"Gab2","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Mir99ahg",0.0127380274515826,0.339984034419031,0.928,0.891,1,"Mir99ahg","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Nfib",0.0129821169881503,0.327690324956409,0.976,0.936,1,"Nfib","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Phf21a",0.0133969565937904,-0.819373260895945,0.234,0.336,1,"Phf21a","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Lrfn5",0.0138023957802054,0.0286024900951891,0.404,0.464,1,"Lrfn5","ExN_iDG","PTZvsSAL_1hr","Up","NoChange"
"Cadm1",0.0139370277610912,-0.105725386840961,0.611,0.7,1,"Cadm1","ExN_iDG","PTZvsSAL_1hr","Down","NoChange"
"Galntl6",0.0144006579768074,-0.434246453914843,0.425,0.464,1,"Galntl6","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Hnrnph1",0.0146596986031845,0.598855748409884,0.608,0.427,1,"Hnrnph1","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Negr1",0.0147403562242262,-0.255816778137916,0.683,0.755,1,"Negr1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Dlgap1",0.0148415806018168,-0.226140687144058,0.749,0.755,1,"Dlgap1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Stag1",0.0158825095241109,0.226350197767909,0.617,0.618,1,"Stag1","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Tnik",0.0164007013256971,-0.472238674581726,0.533,0.564,1,"Tnik","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Adgrb3",0.0164971811374046,-0.278736038709116,0.757,0.727,1,"Adgrb3","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ralyl",0.0167145815667579,-0.510116596894429,0.398,0.455,1,"Ralyl","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Hdac9",0.0169656487128427,0.539534252501767,0.425,0.264,1,"Hdac9","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"App",0.0174191897949629,1.03376962333341,0.383,0.2,1,"App","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Canx",0.0174334196236033,-0.731633134763804,0.243,0.336,1,"Canx","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Fmn2",0.0187779575007658,-0.656926507753687,0.302,0.391,1,"Fmn2","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Adgrl3",0.0189500327134305,-0.154045814320711,0.59,0.664,1,"Adgrl3","ExN_iDG","PTZvsSAL_1hr","Down","NoChange"
"Itm2b",0.0189934174590164,1.01082234510827,0.338,0.182,1,"Itm2b","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
"Tubb3",0.0205333646795352,-0.851449646983484,0.216,0.318,1,"Tubb3","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ptprn2",0.020884941005175,-0.158822383330486,0.407,0.318,1,"Ptprn2","ExN_iDG","PTZvsSAL_1hr","Down","NoChange"
"Cdh2",0.0209252935097364,0.0565962218338898,0.701,0.736,1,"Cdh2","ExN_iDG","PTZvsSAL_1hr","Up","NoChange"
"Stxbp5",0.0209921281386572,0.0571486339271983,0.249,0.264,1,"Stxbp5","ExN_iDG","PTZvsSAL_1hr","Up","NoChange"
"Atp2b1",0.0210089234133456,-0.282489223016369,0.65,0.682,1,"Atp2b1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Plppr5",0.02238903495091,-0.945472381226058,0.18,0.273,1,"Plppr5","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Acvr1",0.0229725521393432,-0.796175143021904,0.225,0.309,1,"Acvr1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Prkd1",0.0237146770918617,-0.692133386976349,0.213,0.291,1,"Prkd1","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Lrrtm4",0.0238669029375744,-0.0270927478529686,0.919,0.864,1,"Lrrtm4","ExN_iDG","PTZvsSAL_1hr","Down","NoChange"
"Grm5",0.0240128268031642,-0.379782325379321,0.674,0.7,1,"Grm5","ExN_iDG","PTZvsSAL_1hr","Down","log2FC"
"Ttc28",0.0247385620754186,0.230313366487879,0.787,0.736,1,"Ttc28","ExN_iDG","PTZvsSAL_1hr","Up","log2FC"
