"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",3.97107730650487e-80,-1.00500736762536,0.997,0.997,9.94635732960274e-76,"Gm42418","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"AY036118",3.14970717777721e-49,-1.38055197440165,0.725,0.859,7.88907156817858e-45,"AY036118","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Ctnna2",8.45063284502464e-29,0.562416498593225,0.998,0.924,2.11663000869332e-24,"Ctnna2","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Gm47283",3.06747334856871e-27,-1.75795017934929,0.426,0.555,7.68310049616006e-23,"Gm47283","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Rbfox1",6.69139321950535e-26,0.47994792742904,0.995,0.987,1.6759932596895e-21,"Rbfox1","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Sparcl1",4.75773086146768e-24,-1.70984440189826,0.256,0.404,1.19166884887181e-19,"Sparcl1","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Grin2a",3.27669518736502e-23,-0.576830057497172,0.87,0.849,8.20713843579317e-19,"Grin2a","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Actb",3.76118409004124e-23,-1.37796692718219,0.469,0.607,9.42063779032629e-19,"Actb","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Sema6d",1.30775652563214e-22,0.804445674544814,0.952,0.664,3.27553776975082e-18,"Sema6d","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Zbtb20",4.99557859502779e-22,0.264656023476146,1,1,1.25124257069661e-17,"Zbtb20","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Trpm3",2.31843475382493e-21,-0.598642610093673,0.752,0.841,5.80698352790529e-17,"Trpm3","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Tcf4",2.48585075663818e-21,0.33941753775451,0.995,0.964,6.22631039015164e-17,"Tcf4","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Aldoa",6.21422294397597e-20,-2.10301465098169,0.167,0.346,1.55647642077766e-15,"Aldoa","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Adarb2",1.62952960530538e-19,-2.67330937850092,0.152,0.326,4.08148280240837e-15,"Adarb2","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Pcdh15",1.52701144889922e-18,0.703751490276323,0.885,0.576,3.82470557605788e-14,"Pcdh15","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Actg1",6.66105941835237e-18,-1.52423186944539,0.341,0.492,1.66839555251472e-13,"Actg1","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Dab1",9.4596378622584e-18,0.308234901968996,1,1,2.36935549535986e-13,"Dab1","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Atp1b1",1.76690237821839e-17,-0.808627222163755,0.708,0.677,4.4255603867236e-13,"Atp1b1","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Ahcyl2",4.84420712800074e-17,-0.503513932615997,0.752,0.656,1.21332855935035e-12,"Ahcyl2","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Hsp90ab1",6.54385228227738e-17,-1.19831646204263,0.474,0.576,1.63903868114201e-12,"Hsp90ab1","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Mbd5",1.0156162737625e-16,-0.486296176349424,0.857,0.794,2.54381408089293e-12,"Mbd5","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Cnksr2",1.29829026430967e-16,-0.451602795147784,0.859,0.773,3.25182762501643e-12,"Cnksr2","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Plppr1",2.51819989716199e-16,0.683247711268982,0.846,0.549,6.30733528242165e-12,"Plppr1","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Tubb2a",2.74633083869276e-16,-1.39294034152238,0.403,0.516,6.87873485167375e-12,"Tubb2a","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Csmd3",3.28221590961272e-16,-0.358736115088734,0.933,0.927,8.22096618880698e-12,"Csmd3","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Ptpro",6.97995791011366e-16,0.589656822048629,0.852,0.552,1.74827005774617e-11,"Ptpro","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Tafa1",7.24948482255224e-16,-0.209543504976944,0.615,0.628,1.81577846350466e-11,"Tafa1","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Rapgef5",7.53226237991604e-16,-0.976317292231049,0.272,0.286,1.88660575829757e-11,"Rapgef5","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Rgs6",1.01551672220531e-15,0.80641144270605,0.518,0.26,2.54356473410765e-11,"Rgs6","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Zfp536",2.20958726043387e-15,0.685349048041404,0.836,0.521,5.53435321120872e-11,"Zfp536","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Unc5d",5.57507982269796e-15,-0.90559427329822,0.318,0.404,1.39639024319116e-10,"Unc5d","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Zfp385b",7.14128062027079e-15,1.11688805469197,0.615,0.263,1.78867655695922e-10,"Zfp385b","ExN_mDG","24hrvs1hr_SAL","Up","Sig"
"Tuba1a",1.63703986194751e-14,-1.32722444601585,0.644,0.74,4.10029374221994e-10,"Tuba1a","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
"Ubb",2.94539192112e-14,-1.91726320852546,0.161,0.339,7.37732314482925e-10,"Ubb","ExN_mDG","24hrvs1hr_SAL","Down","Sig"
