"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cwc22",2.14191516991515e-60,-1.36106117318707,0.63,0.969,5.36485492608647e-56,"Cwc22","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Gm42418",2.9572362697233e-23,-0.30417743082737,0.993,1,7.40698968477595e-19,"Gm42418","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"mt-Co3",4.09390628269671e-16,1.35030447488269,0.76,0.588,1.02540070662705e-11,"mt-Co3","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Gm47283",3.72963165441013e-15,0.915200036283828,0.707,0.668,9.34160840480106e-11,"Gm47283","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"mt-Nd1",2.15881046459624e-13,1.46187726120869,0.575,0.381,5.40717257067421e-09,"mt-Nd1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"mt-Co1",2.02144267086179e-11,1.45417841285662,0.59,0.424,5.06310745770753e-07,"mt-Co1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"mt-Atp6",2.11574516145037e-09,1.15585655462523,0.606,0.459,5.29930690588475e-05,"mt-Atp6","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"mt-Co2",4.9217142722579e-09,1.23191893132266,0.641,0.499,0.000123274177377244,"mt-Co2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Slc8a1",2.1127465072157e-08,-0.281288924866874,0.982,1,0.000529179617662318,"Slc8a1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Tubb2a",3.53177059525213e-08,0.833602950022448,0.692,0.616,0.000884602580992801,"Tubb2a","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Fam189b",4.36691462147463e-08,1.13139849113407,0.432,0.301,0.00109378110524075,"Fam189b","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Camk2b",5.99606144490987e-08,0.403172001711522,0.839,0.859,0.00150183351010658,"Camk2b","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Tuba1a",6.32567581039905e-08,0.864187758430118,0.857,0.807,0.00158439202023065,"Tuba1a","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Cacna1a",8.42618647169699e-08,0.217849553967431,0.903,0.896,0.00211050692556594,"Cacna1a","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Tubb2b",1.27742467740381e-07,1.07377278660131,0.564,0.456,0.00319956558949333,"Tubb2b","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
