"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",3.21625942122806e-21,-0.925889843846742,0.968,0.982,8.05576497234993e-17,"Gm42418","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Tubb2b",1.17168203514486e-13,-1.96039493556056,0.236,0.473,2.93471199342734e-09,"Tubb2b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",3.36004239443386e-12,-1.31762190668364,0.529,0.764,8.4158981853385e-08,"Tuba1a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Gm47283",5.01173441941485e-11,-1.5892021355772,0.313,0.509,1.25528912003084e-06,"Gm47283","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Rfx3",2.09106482606285e-09,-0.5680413524105,0.83,0.845,5.23749006983962e-05,"Rfx3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Prkg1",3.55354250518709e-08,-0.382414167029852,0.711,0.809,0.00089005579127421,"Prkg1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Lrp1b",4.42275323053611e-08,-0.338064067845778,0.809,0.864,0.00110776700165238,"Lrp1b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Ncam2",7.24156057219478e-08,-0.331271236556962,0.663,0.736,0.00181379367651763,"Ncam2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"AY036118",9.2909299498452e-08,-1.0153190709671,0.466,0.582,0.00232709922453773,"AY036118","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Chl1",1.42462749136401e-07,1.60904765593112,0.458,0.127,0.00356826447761944,"Chl1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up","Sig"
"Actg1",4.43719015234476e-07,-1.69124158755059,0.181,0.355,0.0111138301745779,"Actg1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Lrrtm4",7.56787457417679e-07,-0.26431742773845,0.837,0.864,0.0189552554459406,"Lrrtm4","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Nlgn1",7.92457205555532e-07,-0.234906237542198,0.914,0.891,0.0198486756275494,"Nlgn1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Dab1",1.22094822648391e-06,-0.132423469242261,0.806,0.9,0.0305810902287424,"Dab1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","pValue"
"Tubb3",1.22298248047189e-06,-1.63908649644501,0.179,0.318,0.0306320421883795,"Tubb3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Actb",1.7543388098654e-06,-1.28242178955502,0.266,0.373,0.0439409241706987,"Actb","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","Sig"
"Gm26871",2.74903904143671e-06,0.034067373011935,0.699,0.745,0.0688551808708653,"Gm26871","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up","NoChange"
"Rian",4.79928866521573e-06,-1.06399707525396,0.229,0.3,0.120207783197658,"Rian","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Cntnap5b",5.22743186012238e-06,-0.438513483522575,0.624,0.664,0.130931485800485,"Cntnap5b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Dlg2",6.66988778736864e-06,-0.16552854819019,0.735,0.773,0.167060679410222,"Dlg2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Lingo2",7.445801255597e-06,-0.288784758480458,0.511,0.545,0.186494984048938,"Lingo2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Tubb5",7.56309987825629e-06,-1.07245259196669,0.307,0.355,0.189432962650685,"Tubb5","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Cwc22",9.50317877202565e-06,0.922628055962946,0.779,0.482,0.238026118702927,"Cwc22","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up","log2FC"
"Mctp1",1.10091210157025e-05,-0.482600024508912,0.733,0.809,0.2757454540803,"Mctp1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Lsamp",1.84424746338103e-05,-0.145889627859736,0.932,0.964,0.461928662153046,"Lsamp","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Tubb2a",1.90880702474475e-05,-1.42641522449933,0.148,0.291,0.478098895487818,"Tubb2a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Fgf14",2.50404786608568e-05,-0.261802676930054,0.75,0.791,0.627188869018479,"Fgf14","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Hsp90ab1",3.20158314733714e-05,-1.27346965439265,0.216,0.336,0.801900530913533,"Hsp90ab1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Cadm1",3.34137408039667e-05,-0.24960029757392,0.652,0.7,0.836913965916954,"Cadm1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Scaper",3.86788796291303e-05,-0.752275564694117,0.441,0.5,0.968789898070826,"Scaper","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Cntnap5a",4.03447150735934e-05,-0.216071363551538,0.707,0.773,1,"Cntnap5a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Lrfn5",4.49990560666643e-05,-0.167522130606968,0.451,0.464,1,"Lrfn5","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Epha6",5.2862847025839e-05,-0.267867377268695,0.457,0.491,1,"Epha6","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"H3f3b",5.32461114383102e-05,-1.55643288193387,0.149,0.3,1,"H3f3b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Cdh11",5.75660229157333e-05,-0.605778947250585,0.27,0.282,1,"Cdh11","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Sema5a",5.77387632491494e-05,-0.262119960536369,0.798,0.873,1,"Sema5a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Nkain2",5.9123013997189e-05,-0.193420770409813,0.525,0.573,1,"Nkain2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Clstn2",7.83423448419684e-05,-0.243187276608726,0.707,0.773,1,"Clstn2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Cadm2",8.19179695855845e-05,-0.192174903155378,0.937,0.973,1,"Cadm2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Fus",9.37663856327691e-05,0.849698183316972,0.446,0.191,1,"Fus","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up","log2FC"
"Tenm2",9.40710952337094e-05,-0.243589185153732,0.862,0.9,1,"Tenm2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Nkain3",9.73946563688248e-05,-0.448517182531404,0.635,0.673,1,"Nkain3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Gria1",9.90852456636829e-05,-0.0214577611947386,0.752,0.827,1,"Gria1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Dpp6",0.000106419743294387,-0.162716981124311,0.65,0.664,1,"Dpp6","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Robo1",0.000119855821308509,-0.16364595089068,0.693,0.745,1,"Robo1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","NoChange"
"Gm20754",0.000124833936160291,-0.252547810453326,0.457,0.482,1,"Gm20754","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Rgs6",0.000132441254215769,-0.297861372392035,0.677,0.736,1,"Rgs6","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Dcc",0.000225356859136718,0.106789512648402,0.907,0.973,1,"Dcc","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up","NoChange"
"mt-Co2",0.00026781756736879,-0.600987423072346,0.42,0.6,1,"mt-Co2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Dner",0.000280049575434998,-0.864146679666448,0.33,0.382,1,"Dner","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
"Grin2a",0.000295442703700307,-0.456020478777414,0.328,0.364,1,"Grin2a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down","log2FC"
