"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",3.26126058430715e-60,-0.952316965257658,1,0.998,8.16847938551413e-56,"Gm42418","MGE","24hrvs1hr_SAL","Down","Sig"
"AY036118",6.97846931340186e-37,-1.12404205650556,0.895,0.912,1.74789720892776e-32,"AY036118","MGE","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",5.5795832878541e-33,-1.93412204651994,0.801,0.888,1.39751822610882e-28,"Tuba1a","MGE","24hrvs1hr_SAL","Down","Sig"
"Gm47283",1.35215034347105e-25,-2.27305457478263,0.564,0.748,3.38673096529193e-21,"Gm47283","MGE","24hrvs1hr_SAL","Down","Sig"
"Actb",9.57757360996618e-22,-1.57764905627541,0.523,0.626,2.39889486208823e-17,"Actb","MGE","24hrvs1hr_SAL","Down","Sig"
"Ppia",4.20140134977778e-21,-1.73121437670667,0.401,0.559,1.05232499607884e-16,"Ppia","MGE","24hrvs1hr_SAL","Down","Sig"
"mt-Co3",7.01973837893244e-21,-1.57296457026793,0.641,0.867,1.75823387177121e-16,"mt-Co3","MGE","24hrvs1hr_SAL","Down","Sig"
"Tubb5",5.33972977325998e-20,-1.77701022225804,0.512,0.604,1.33744211630843e-15,"Tubb5","MGE","24hrvs1hr_SAL","Down","Sig"
"Gapdh",1.35254985532477e-19,-2.13103330132735,0.199,0.411,3.38773162263195e-15,"Gapdh","MGE","24hrvs1hr_SAL","Down","Sig"
"Tubb2b",3.16021098263318e-19,-1.92415452008634,0.467,0.673,7.91538044820133e-15,"Tubb2b","MGE","24hrvs1hr_SAL","Down","Sig"
"Ubb",3.22910675770626e-18,-2.7415984825786,0.171,0.396,8.08794369602688e-14,"Ubb","MGE","24hrvs1hr_SAL","Down","Sig"
"mt-Co1",5.27020414216066e-18,-1.74118060989385,0.516,0.712,1.32002803148698e-13,"mt-Co1","MGE","24hrvs1hr_SAL","Down","Sig"
"Hspa8",8.08842762776156e-18,-1.65386568143801,0.523,0.634,2.02590846792544e-13,"Hspa8","MGE","24hrvs1hr_SAL","Down","Sig"
"Tuba1b",1.01084194855142e-17,-2.38391696772808,0.223,0.402,2.53185582853673e-13,"Tuba1b","MGE","24hrvs1hr_SAL","Down","Sig"
"Actg1",2.21031053567303e-17,-1.60214885521499,0.394,0.533,5.53616479870025e-13,"Actg1","MGE","24hrvs1hr_SAL","Down","Sig"
"Hsp90aa1",2.432717952424e-17,-1.81445505959582,0.432,0.57,6.09322865543639e-13,"Hsp90aa1","MGE","24hrvs1hr_SAL","Down","Sig"
"Tubb2a",1.35447839806319e-16,-1.62227492327833,0.627,0.72,3.39256204362887e-12,"Tubb2a","MGE","24hrvs1hr_SAL","Down","Sig"
"Hsp90ab1",1.12416978253898e-14,-1.24253875207473,0.502,0.544,2.81570805432539e-10,"Hsp90ab1","MGE","24hrvs1hr_SAL","Down","Sig"
"Cfl1",4.84948741177641e-13,-1.84300314118257,0.199,0.333,1.21465111202764e-08,"Cfl1","MGE","24hrvs1hr_SAL","Down","Sig"
"Uchl1",1.05103906518023e-12,-1.42597420298302,0.3,0.37,2.63253754655691e-08,"Uchl1","MGE","24hrvs1hr_SAL","Down","Sig"
"Akt3",1.59000509388639e-10,-0.314464475775768,0.878,0.776,3.98248575865724e-06,"Akt3","MGE","24hrvs1hr_SAL","Down","Sig"
"Ckb",3.52085447733102e-10,-1.41671784081674,0.383,0.475,8.81868420937101e-06,"Ckb","MGE","24hrvs1hr_SAL","Down","Sig"
"Aldoa",3.6592637929823e-10,-1.7794157940397,0.206,0.31,9.16535802228277e-06,"Aldoa","MGE","24hrvs1hr_SAL","Down","Sig"
"Cwc22",5.92140611714008e-09,0.826812951928756,0.955,0.682,0.000148313459016008,"Cwc22","MGE","24hrvs1hr_SAL","Up","Sig"
"mt-Cytb",6.58621338865022e-09,-1.55961238150274,0.359,0.527,0.000164964886745522,"mt-Cytb","MGE","24hrvs1hr_SAL","Down","Sig"
"Mdh1",7.74193358594342e-09,-1.11759423984187,0.38,0.361,0.000193912210527125,"Mdh1","MGE","24hrvs1hr_SAL","Down","Sig"
"Egfem1",1.22911746089525e-08,-0.461488177095255,0.443,0.406,0.000307857050430434,"Egfem1","MGE","24hrvs1hr_SAL","Down","Sig"
