"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"mt-Co2",3.98522686286892e-05,1.66267685812642,0.618,0.356,0.998179772342778,"mt-Co2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Cwc22",4.80378015631932e-05,-1.19598968499432,0.422,0.805,1,"Cwc22","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Ppp2r5c",0.000191871767448884,-1.15527442388602,0.167,0.517,1,"Ppp2r5c","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"mt-Nd1",0.000382926207529326,1.83373348338146,0.559,0.333,1,"mt-Nd1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Nnat",0.000495298798450924,1.82895290800936,0.373,0.218,1,"Nnat","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Hsp90ab1",0.000873634474763605,1.99552451206278,0.343,0.184,1,"Hsp90ab1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Car10",0.00130896528920833,-0.31980851404734,0.863,0.977,1,"Car10","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"mt-Co3",0.00134703573520726,1.37784850030562,0.725,0.586,1,"mt-Co3","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Numb",0.0013912710545369,-1.70024121157838,0.176,0.471,1,"Numb","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Sun1",0.00207556970909918,1.90826085021151,0.265,0.172,1,"Sun1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Peak1",0.00250149359841364,-1.98973939388135,0.059,0.299,1,"Peak1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"mt-Cytb",0.00258062977768183,1.96556569275856,0.422,0.264,1,"mt-Cytb","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Akt3",0.00260833301124946,0.118964269176276,0.941,0.885,1,"Akt3","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","pValue"
"Prune2",0.00279500981528504,-1.29443148980089,0.147,0.402,1,"Prune2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Adcy8",0.00422906422742621,-0.260941658012285,0.441,0.747,1,"Adcy8","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Gria2",0.00581333726699816,0.417446136880852,0.912,0.943,1,"Gria2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Far1",0.00649097452863214,1.29621146363867,0.412,0.333,1,"Far1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Smurf1",0.0068164788986716,-0.750853423812935,0.147,0.391,1,"Smurf1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Gucy1a2",0.00687627933080452,-0.00748428083598718,0.696,0.92,1,"Gucy1a2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","pValue"
"Ube2e3",0.00708887049381957,1.11146080664654,0.284,0.195,1,"Ube2e3","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Chn1",0.00873671999711759,0.460522916510879,0.353,0.322,1,"Chn1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Fam117b",0.0088179142702313,-1.65494538119902,0.108,0.379,1,"Fam117b","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Csmd2",0.00919343759682207,-0.827546709554852,0.324,0.678,1,"Csmd2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Huwe1",0.0102188921716201,0.728525740012538,0.745,0.724,1,"Huwe1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Tanc2",0.0114103668244861,-0.221355106203329,0.735,0.954,1,"Tanc2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Ablim3",0.0115863691932116,-1.37652726191968,0.069,0.264,1,"Ablim3","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Pou2f1",0.0117766706122456,-0.864969938870198,0.186,0.471,1,"Pou2f1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"mt-Co1",0.0122461280326026,1.31852685523509,0.539,0.379,1,"mt-Co1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Alms1",0.0125926348307784,-1.26310119716863,0.069,0.276,1,"Alms1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"B3gat1",0.0149816799971634,-1.68553881863443,0.049,0.264,1,"B3gat1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Ube3c",0.0167085748769801,-0.891377260107385,0.206,0.517,1,"Ube3c","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Snx6",0.0181679148041974,-1.35194920744264,0.078,0.287,1,"Snx6","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Phf14",0.0183822728717018,-0.570010887191243,0.569,0.874,1,"Phf14","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"mt-Atp6",0.0190952374323637,1.25164465138379,0.608,0.46,1,"mt-Atp6","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Tram2",0.0192516469429145,-0.920827164274147,0.098,0.264,1,"Tram2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"St3gal3",0.0202375131313065,-0.446463810855916,0.137,0.368,1,"St3gal3","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Tcf20",0.0203037363991066,-0.659341063980206,0.392,0.69,1,"Tcf20","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
"Hs3st5",0.0208256793926723,-0.167564465087251,0.735,0.908,1,"Hs3st5","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","pValue"
"Mycbp2",0.0209538590134739,-0.0517795632851343,0.775,0.954,1,"Mycbp2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","pValue"
"Rev1",0.0218283073393994,0.96538605280593,0.353,0.299,1,"Rev1","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Up","Sig"
"Acyp2",0.0222518863398465,-0.746616291107252,0.118,0.299,1,"Acyp2","NdnfRelnInhibitoryInterneurons","PTZvsSAL_24hr","Down","Sig"
