"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",4.08726364246812e-79,-1.33028102826082,0.967,0.998,1.02373692452899e-74,"Gm42418","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Cwc22",3.29911346910172e-36,-1.8612136243674,0.382,0.696,8.26328950605909e-32,"Cwc22","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"AY036118",1.25813081014296e-24,-1.18948839978505,0.501,0.696,3.15124024016507e-20,"AY036118","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Cst3",6.49812600777343e-23,-1.06437537439059,0.895,0.957,1.62758562116701e-18,"Cst3","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Azin1",2.2234651415078e-19,-2.01778778428751,0.238,0.466,5.5691131399346e-15,"Azin1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Sparcl1",6.91467806595551e-18,-1.00872678657241,0.812,0.924,1.73191941517988e-13,"Sparcl1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Slc1a3",8.2513997814278e-18,-0.786086962880986,0.928,0.981,2.06672810325422e-13,"Slc1a3","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Kcnn2",6.71113622695671e-15,-1.01382007853378,0.604,0.698,1.68093829076585e-10,"Kcnn2","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Gm3764",8.7505098290877e-13,0.306569381935661,0.958,0.945,2.1917401968916e-08,"Gm3764","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Gpm6a",1.94451546518456e-12,-0.580253233091028,0.878,0.919,4.87042788564776e-08,"Gpm6a","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Scd2",5.75279781150773e-12,-0.993526412668376,0.629,0.717,1.44090326784834e-07,"Scd2","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Mt1",9.133414108038e-12,-2.17987563075059,0.083,0.261,2.28764623164028e-07,"Mt1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Cpe",1.76753912125265e-11,-0.703642077874308,0.82,0.907,4.42715523700151e-07,"Cpe","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Htra1",2.75852492862311e-11,-1.35591427538555,0.388,0.511,6.90927738872231e-07,"Htra1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ppia",3.80538636456313e-11,-1.56244218963423,0.163,0.311,9.53135122732126e-07,"Ppia","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Serinc1",3.95280564191464e-11,-1.31394686186409,0.216,0.368,9.9005922913036e-07,"Serinc1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Atp1b1",1.58643349475767e-10,-0.872186762171081,0.324,0.423,3.97353997431953e-06,"Atp1b1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Snrnp70",2.81428327405701e-10,0.719066548418716,0.773,0.537,7.0489353165306e-06,"Snrnp70","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Grm3",7.60916629109363e-10,0.577241458060647,0.856,0.77,1.90586788093022e-05,"Grm3","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Tnfaip8",1.04860313599136e-09,1.13281086209924,0.421,0.202,2.62643627471757e-05,"Tnfaip8","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Gja1",2.42146202961782e-09,-1.19888049200326,0.407,0.58,6.06503594558374e-05,"Gja1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Slco1c1",3.10987134393857e-09,-0.823565494867204,0.684,0.812,7.78929475516293e-05,"Slco1c1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Tuba1a",8.8179525792722e-09,-0.739644416505707,0.432,0.52,0.000220863258253031,"Tuba1a","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Zswim6",9.13778381602452e-09,-0.711648264506887,0.471,0.477,0.000228874071239966,"Zswim6","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Clu",1.58946188050774e-08,-0.999346142064005,0.543,0.665,0.000398112517210773,"Clu","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Rgs20",1.86185454861786e-08,0.549723442003229,0.72,0.584,0.000466338708792315,"Rgs20","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Psap",3.19000711227115e-08,-0.773521052894829,0.46,0.57,0.000799001081410555,"Psap","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Dpf3",3.32176985623416e-08,1.08440324263223,0.355,0.152,0.000832003695890971,"Dpf3","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Mlc1",3.61768136484039e-08,-1.13339244357444,0.305,0.48,0.000906120651451572,"Mlc1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ntrk2",5.28327622698723e-08,-0.668699441953833,0.684,0.736,0.00132330219657349,"Ntrk2","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Cd81",1.25932487676506e-07,-0.918336805522275,0.449,0.572,0.00315423101883344,"Cd81","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Pde10a",1.43057644032598e-07,-1.07154862804898,0.213,0.295,0.00358316481008448,"Pde10a","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Pik3r3",1.57927345618889e-07,1.35289023242278,0.296,0.124,0.00395560622571632,"Pik3r3","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Prnp",1.72321798370154e-07,-1.20787999708353,0.235,0.344,0.00431614408377726,"Prnp","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ptbp2",1.98742188188133e-07,-0.603206092648634,0.535,0.577,0.00497789558754816,"Ptbp2","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ttyh3",2.76261313584618e-07,-1.04001736804233,0.302,0.461,0.00691951712135393,"Ttyh3","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Wdr17",2.85758052745487e-07,0.443478886678358,0.853,0.786,0.0071573819471162,"Wdr17","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Tcf7l1",3.02215659150829e-07,1.02049855296791,0.327,0.164,0.0075695956147508,"Tcf7l1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Fam222b",3.61995268689054e-07,0.974718880689965,0.288,0.116,0.00906689549485474,"Fam222b","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Syt11",3.78046997322966e-07,-0.845916048550473,0.454,0.572,0.00946894314194833,"Syt11","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Acsl3",4.30940678543647e-07,-1.22240778917102,0.33,0.425,0.0107937711754827,"Acsl3","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ckb",5.21014453300406e-07,-0.961012869711792,0.368,0.485,0.0130498490118153,"Ckb","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Apoe",7.64424331552461e-07,-0.673408175156071,0.942,0.96,0.0191465362323945,"Apoe","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Pitpnc1",8.18684707422248e-07,0.465992633299177,0.731,0.525,0.020505595866805,"Pitpnc1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Samd4",9.69731684457778e-07,0.839137348143551,0.31,0.14,0.024288869500614,"Samd4","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Sfxn5",1.07662906055379e-06,0.581381075369622,0.562,0.411,0.0269663280796907,"Sfxn5","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Gphn",1.10640603001113e-06,-0.343262642742217,0.781,0.765,0.0277121518336888,"Gphn","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ston2",1.11023220181635e-06,1.05689401018605,0.316,0.162,0.0278079859588942,"Ston2","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Leng9",2.09816514147226e-06,0.995877544400828,0.296,0.138,0.0525527422984556,"Leng9","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Eef1a1",2.53661186038986e-06,-0.903285782393131,0.213,0.316,0.0635345172671848,"Eef1a1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Tubb2a",2.8517190097547e-06,-0.852065801805287,0.271,0.34,0.0714270060373259,"Tubb2a","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Fgfr3",2.9331412472781e-06,-0.954437578642671,0.432,0.556,0.0734663888205745,"Fgfr3","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Mbtd1",2.98465950099022e-06,0.897155254328505,0.352,0.166,0.0747567665213021,"Mbtd1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Tubb2b",3.27074362784186e-06,-0.939395516860148,0.241,0.34,0.081922315646555,"Tubb2b","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Mir9-3hg",3.47531557622469e-06,0.426053077470038,0.715,0.58,0.0870462292376998,"Mir9-3hg","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Tcf7l2",3.94687257342786e-06,0.690014004813952,0.452,0.28,0.0988573173466476,"Tcf7l2","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Rorb",4.92847432095233e-06,0.470544562734946,0.684,0.57,0.123443496316893,"Rorb","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Mertk",6.0465252873909e-06,-0.956644830934151,0.38,0.482,0.15144731887328,"Mertk","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Gpr37l1",6.93893537788213e-06,-1.19290190771473,0.247,0.342,0.173799514409814,"Gpr37l1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Fnbp1",8.16135628926652e-06,0.621276911306555,0.579,0.399,0.204417490977258,"Fnbp1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Ctnnd2",1.22492470955225e-05,0.258046475959625,0.981,0.95,0.306806892001551,"Ctnnd2","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Pou2f1",1.3016680735241e-05,0.643748607701569,0.496,0.287,0.326028802375581,"Pou2f1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Ccdc141",1.35567281119749e-05,0.675365326216072,0.266,0.124,0.339555369020634,"Ccdc141","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Mfge8",1.39433510678867e-05,-0.891106480212473,0.429,0.563,0.349239114197357,"Mfge8","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Mapk4",1.51625944632315e-05,-0.857636086946383,0.332,0.406,0.379777503520558,"Mapk4","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Mycbp2",2.50198975571591e-05,-0.293164946060848,0.565,0.575,0.626673374114165,"Mycbp2","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Gnao1",2.85316850172523e-05,0.368186263750368,0.69,0.646,0.714633114627119,"Gnao1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Spire1",3.43501948404896e-05,-0.781095355138618,0.485,0.542,0.860369330169742,"Spire1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Nedd4",3.44570296786884e-05,0.487044748374835,0.659,0.456,0.863045222362109,"Nedd4","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"S1pr1",3.67633436705096e-05,-1.26808262129741,0.172,0.297,0.920811468915253,"S1pr1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Farp1",3.88496798173187e-05,-0.79523187948769,0.482,0.549,0.973067930384382,"Farp1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Gm11266",4.11218070298098e-05,0.719642558331475,0.319,0.166,1,"Gm11266","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Nav3",4.34816343674454e-05,-0.258518251601858,0.368,0.347,1,"Nav3","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Akt3",4.483330019382e-05,-0.263602243282576,0.817,0.777,1,"Akt3","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Gli2",5.11870955537718e-05,0.436599789896339,0.385,0.223,1,"Gli2","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Klf7",5.19208497017392e-05,0.670957117173163,0.504,0.302,1,"Klf7","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Rora",5.97131749584011e-05,0.2504058862198,0.917,0.872,1,"Rora","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Sept7",6.21356930863055e-05,-0.644412777985714,0.424,0.435,1,"Sept7","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Pabpn1",6.42562512858618e-05,0.460537431819368,0.687,0.485,1,"Pabpn1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Cadm1",7.04266428595219e-05,-0.430334634248996,0.681,0.675,1,"Cadm1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Phkg1",7.2632998378927e-05,0.690027975871269,0.33,0.181,1,"Phkg1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Ahcyl1",8.0745769815065e-05,-0.700439954639089,0.44,0.487,1,"Ahcyl1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ddx5",8.47259219927984e-05,0.491637583239565,0.798,0.627,1,"Ddx5","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Prpf4b",8.60129340804467e-05,0.550772619534145,0.637,0.437,1,"Prpf4b","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Gpatch8",9.63261240127807e-05,0.658873027531659,0.499,0.297,1,"Gpatch8","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Eri3",0.000107172426550806,0.776752513922334,0.288,0.145,1,"Eri3","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Map1b",0.000118033025637408,-0.263499641537441,0.277,0.304,1,"Map1b","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Itm2b",0.00014123995593468,-0.479599745429621,0.524,0.577,1,"Itm2b","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Cblb",0.000152129921141304,0.597264351379682,0.399,0.228,1,"Cblb","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Agrn",0.000160964499204336,-0.596545860805417,0.44,0.499,1,"Agrn","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"A230057D06Rik",0.000161532816228086,-0.402154849788946,0.463,0.451,1,"A230057D06Rik","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Paqr8",0.000173369590678725,-0.830738879606696,0.416,0.518,1,"Paqr8","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Cd9",0.000173930629300895,-0.90507797109287,0.252,0.366,1,"Cd9","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Taf15",0.000175181676251157,0.301966893092277,0.352,0.207,1,"Taf15","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Slc1a4",0.000184637519348578,-0.923905462513985,0.327,0.394,1,"Slc1a4","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"App",0.000186472819957817,-0.264053312639971,0.427,0.411,1,"App","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Zfp608",0.000190905686105095,0.609487287637753,0.582,0.392,1,"Zfp608","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Ints6",0.000195051880239154,0.623017436633449,0.363,0.2,1,"Ints6","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Kif13a",0.00019730772373745,0.958267276601585,0.28,0.14,1,"Kif13a","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Hspa8",0.000253396117310189,-0.702092204572264,0.233,0.314,1,"Hspa8","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ago3",0.000265464006442884,0.674230133746554,0.41,0.226,1,"Ago3","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Aff4",0.000283688568461097,-0.573152831291184,0.316,0.342,1,"Aff4","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Exoc6b",0.000298747139254332,-0.204979084044057,0.471,0.416,1,"Exoc6b","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Clybl",0.000316038546855729,0.391380001710113,0.288,0.159,1,"Clybl","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Zeb2",0.000320283272812828,0.789723569149663,0.604,0.368,1,"Zeb2","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Nwd1",0.00032802950603245,0.31402804404916,0.418,0.271,1,"Nwd1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Tial1",0.000331446939910329,-0.502429353244996,0.382,0.356,1,"Tial1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Gab1",0.00034989383248887,0.560376892738574,0.283,0.152,1,"Gab1","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Lrch3",0.000351211709742175,0.652837073363052,0.296,0.159,1,"Lrch3","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Phf20l1",0.00039449995379535,-0.345799867955039,0.515,0.527,1,"Phf20l1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Ednrb",0.000432550954142516,-0.820504385341246,0.355,0.409,1,"Ednrb","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Canx",0.000445547340540799,-0.725147279441362,0.285,0.354,1,"Canx","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Slc6a1",0.000463840749354386,-0.581990591953478,0.521,0.553,1,"Slc6a1","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Gnas",0.000491951285956114,-0.599575454130236,0.233,0.264,1,"Gnas","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Sema6a",0.000505589925899643,0.511001657397782,0.457,0.304,1,"Sema6a","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
"Actb",0.000580261223078197,-0.68383324189911,0.255,0.295,1,"Actb","Astrocytes","24hrvs1hr_PTZ","Down","Sig"
"Pcx",0.000646581877396957,0.941792299274456,0.277,0.154,1,"Pcx","Astrocytes","24hrvs1hr_PTZ","Up","Sig"
