"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Slc1a3",2.90412425978308e-08,0.415571529379939,0.981,0.96,0.000727396003347868,"Slc1a3","Astrocytes","PTZvsSAL_1hr","Up","Sig"
"Cst3",2.50973916427251e-07,0.453407372411884,0.957,0.915,0.00628614368475335,"Cst3","Astrocytes","PTZvsSAL_1hr","Up","Sig"
"Kcnn2",3.43746432335573e-07,0.926898172510244,0.698,0.542,0.00860981689070911,"Kcnn2","Astrocytes","PTZvsSAL_1hr","Up","Sig"
"Meg3",2.16810028912156e-06,-1.30548349496192,0.202,0.316,0.0543044079416277,"Meg3","Astrocytes","PTZvsSAL_1hr","Down","Sig"
"Celf2",5.38856969270132e-06,-0.431739196506052,0.895,0.932,0.13496750509309,"Celf2","Astrocytes","PTZvsSAL_1hr","Down","Sig"
"Slc1a2",6.05963211075251e-06,0.410563274040102,0.976,0.949,0.151775605478018,"Slc1a2","Astrocytes","PTZvsSAL_1hr","Up","Sig"
"Cwc22",1.09657603895203e-05,0.724349171590027,0.696,0.52,0.274659400476315,"Cwc22","Astrocytes","PTZvsSAL_1hr","Up","Sig"
"Cntnap2",1.17364291887972e-05,-1.32980867516354,0.197,0.305,0.293962341891802,"Cntnap2","Astrocytes","PTZvsSAL_1hr","Down","Sig"
"Tenm2",1.74550970809072e-05,-0.939595449321142,0.266,0.322,0.437197816585482,"Tenm2","Astrocytes","PTZvsSAL_1hr","Down","Sig"
"Prex2",2.10960508844926e-05,1.25783965937044,0.392,0.26,0.528392786503887,"Prex2","Astrocytes","PTZvsSAL_1hr","Up","Sig"
"Pcdh15",2.8130072482253e-05,-1.04320148411166,0.126,0.266,0.70457392546299,"Pcdh15","Astrocytes","PTZvsSAL_1hr","Down","Sig"
"Rasa2",3.31989241593856e-05,0.785035697436107,0.534,0.345,0.83153345342013,"Rasa2","Astrocytes","PTZvsSAL_1hr","Up","Sig"
"Nrg3",4.6208508984905e-05,-0.65767642850478,0.283,0.384,1,"Nrg3","Astrocytes","PTZvsSAL_1hr","Down","Sig"
