"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",1.52127817807953e-40,-0.980174490502942,0.967,1,3.81034545263579e-36,"Gm42418","CGE","24hrvs1hr_PTZ","Down","Sig"
"Cwc22",6.38755132719843e-16,-1.35734525547481,0.565,0.776,1.59988998092339e-11,"Cwc22","CGE","24hrvs1hr_PTZ","Down","Sig"
"Cpt1c",2.97197576069077e-14,1.2648577380424,0.603,0.438,7.44390768780218e-10,"Cpt1c","CGE","24hrvs1hr_PTZ","Up","Sig"
"AY036118",7.77718711410354e-14,-0.790662090213954,0.678,0.844,1.94795205646951e-09,"AY036118","CGE","24hrvs1hr_PTZ","Down","Sig"
"Hsp90aa1",1.41513623966921e-13,-1.12839404626216,0.262,0.605,3.54449173949947e-09,"Hsp90aa1","CGE","24hrvs1hr_PTZ","Down","Sig"
"Pabpn1",3.74851366710481e-12,0.970871896125992,0.808,0.656,9.38890218199741e-08,"Pabpn1","CGE","24hrvs1hr_PTZ","Up","Sig"
"Leng9",9.84308500951015e-12,1.89187116537588,0.355,0.162,2.46539750233201e-07,"Leng9","CGE","24hrvs1hr_PTZ","Up","Sig"
"Las1l",2.04407053488415e-10,1.09478288894587,0.659,0.534,5.11978346872434e-06,"Las1l","CGE","24hrvs1hr_PTZ","Up","Sig"
"Atp6v0c",2.23143789769852e-10,-0.785156131060157,0.421,0.716,5.58908250236549e-06,"Atp6v0c","CGE","24hrvs1hr_PTZ","Down","Sig"
"Nap1l5",5.33424687945031e-10,-2.22947281605259,0.093,0.338,1.33606881589592e-05,"Nap1l5","CGE","24hrvs1hr_PTZ","Down","Sig"
"Peg3",7.38151161286306e-10,-0.974177910753954,0.547,0.781,1.84884721367381e-05,"Peg3","CGE","24hrvs1hr_PTZ","Down","Sig"
"Zeb2",8.37935117896281e-10,0.606231471239137,0.958,0.895,2.09877608979482e-05,"Zeb2","CGE","24hrvs1hr_PTZ","Up","Sig"
"H3f3b",6.78339728463327e-09,-1.59646580464663,0.136,0.381,0.00016990375178821,"H3f3b","CGE","24hrvs1hr_PTZ","Down","Sig"
"Lncpint",9.09331639508036e-09,-1.77843141500579,0.285,0.477,0.000227760295747578,"Lncpint","CGE","24hrvs1hr_PTZ","Down","Sig"
"Dalrd3",1.63967640908134e-08,1.16828193377571,0.547,0.369,0.000410689750182603,"Dalrd3","CGE","24hrvs1hr_PTZ","Up","Sig"
"Atp1b1",2.07196197344548e-08,-0.656516105513044,0.659,0.838,0.000518964315488889,"Atp1b1","CGE","24hrvs1hr_PTZ","Down","Sig"
"Prpf4b",3.62687087372274e-08,0.700068244687093,0.762,0.699,0.000908422347741335,"Prpf4b","CGE","24hrvs1hr_PTZ","Up","Sig"
"Gad1",5.59991678387116e-08,-0.74690994368928,0.626,0.807,0.00140261115685621,"Gad1","CGE","24hrvs1hr_PTZ","Down","Sig"
"Gnai1",5.86740855567244e-08,1.21393422754894,0.495,0.335,0.00146960982093927,"Gnai1","CGE","24hrvs1hr_PTZ","Up","Sig"
"Cck",8.8957612494256e-08,-1.79772967376252,0.145,0.366,0.00222812132014363,"Cck","CGE","24hrvs1hr_PTZ","Down","Sig"
"Snrnp70",1.07834322813236e-07,0.607022469798396,0.771,0.753,0.00270092628350312,"Snrnp70","CGE","24hrvs1hr_PTZ","Up","Sig"
"Oxr1",1.23333258351871e-07,-1.13413433792535,0.533,0.699,0.0030891281219393,"Oxr1","CGE","24hrvs1hr_PTZ","Down","Sig"
"Cacna1d",1.54572018316677e-07,0.489426032315017,0.855,0.827,0.00387156534277781,"Cacna1d","CGE","24hrvs1hr_PTZ","Up","Sig"
"Gm4258",1.86406359459768e-07,0.919499609189379,0.551,0.491,0.00466892008538882,"Gm4258","CGE","24hrvs1hr_PTZ","Up","Sig"
"Grik2",4.17175347698057e-07,-0.61716456804927,0.963,0.98,0.0104489909337932,"Grik2","CGE","24hrvs1hr_PTZ","Down","Sig"
"Jakmip2",4.73992574201331e-07,0.536390817768624,0.729,0.69,0.0118720920060207,"Jakmip2","CGE","24hrvs1hr_PTZ","Up","Sig"
"Gm49179",7.57298092417247e-07,1.50365947296499,0.322,0.196,0.0189680453207748,"Gm49179","CGE","24hrvs1hr_PTZ","Up","Sig"
"Serinc1",9.30439189302704e-07,-0.770272997260639,0.43,0.662,0.0233047103744648,"Serinc1","CGE","24hrvs1hr_PTZ","Down","Sig"
"Ppia",2.24950393623578e-06,-0.862376169511664,0.332,0.557,0.0563433250908975,"Ppia","CGE","24hrvs1hr_PTZ","Down","Sig"
"2900097C17Rik",2.70333906021581e-06,-1.44425448838007,0.136,0.332,0.0677105334412254,"2900097C17Rik","CGE","24hrvs1hr_PTZ","Down","Sig"
"Atm",3.41602311263014e-06,1.46552127023906,0.294,0.159,0.0855611309020472,"Atm","CGE","24hrvs1hr_PTZ","Up","Sig"
"Auts2",3.62946986083673e-06,0.348308213306899,1,0.991,0.0909073316043775,"Auts2","CGE","24hrvs1hr_PTZ","Up","Sig"
"Pcdh15",4.57349276683004e-06,0.718353617131624,0.752,0.588,0.114552273330792,"Pcdh15","CGE","24hrvs1hr_PTZ","Up","Sig"
"Meg3",5.06827476608969e-06,0.251899213360105,0.995,0.997,0.126945078066249,"Meg3","CGE","24hrvs1hr_PTZ","Up","Sig"
"Vip",5.66087645923411e-06,-1.03176505032581,0.294,0.321,0.141787972674437,"Vip","CGE","24hrvs1hr_PTZ","Down","Sig"
"Mtmr2",7.80438661203214e-06,-1.37240405391852,0.093,0.27,0.195476471471569,"Mtmr2","CGE","24hrvs1hr_PTZ","Down","Sig"
"Rufy3",8.57658010682057e-06,0.725656720305848,0.598,0.503,0.214817601935535,"Rufy3","CGE","24hrvs1hr_PTZ","Up","Sig"
"Hsd17b12",9.30318342094208e-06,-0.688452036494783,0.178,0.372,0.233016835144336,"Hsd17b12","CGE","24hrvs1hr_PTZ","Down","Sig"
"Rab6a",1.27275668021235e-05,-1.00531775685267,0.369,0.543,0.318787365692788,"Rab6a","CGE","24hrvs1hr_PTZ","Down","Sig"
"Rasgrf1",1.32995360378752e-05,-1.82347054992919,0.136,0.287,0.33311347914066,"Rasgrf1","CGE","24hrvs1hr_PTZ","Down","Sig"
"Ndn",2.23937817142524e-05,-1.42451832900164,0.093,0.259,0.56089705059688,"Ndn","CGE","24hrvs1hr_PTZ","Down","Sig"
"Tmsb4x",2.53893902668882e-05,-0.568011359215789,0.15,0.324,0.635928058014749,"Tmsb4x","CGE","24hrvs1hr_PTZ","Down","Sig"
"Kras",2.58664263146607e-05,-0.932185873186306,0.238,0.446,0.647876379903306,"Kras","CGE","24hrvs1hr_PTZ","Down","Sig"
"Cox7b",3.12222894420013e-05,0.978739789527051,0.453,0.355,0.782024683653807,"Cox7b","CGE","24hrvs1hr_PTZ","Up","Sig"
"Pde10a",3.42563620644768e-05,-0.870250751048459,0.551,0.693,0.85801910062895,"Pde10a","CGE","24hrvs1hr_PTZ","Down","Sig"
"Aldoa",3.56578827036101e-05,-1.05668912440302,0.173,0.364,0.893122988077323,"Aldoa","CGE","24hrvs1hr_PTZ","Down","Sig"
"Clstn3",4.74992252647305e-05,-0.743109106358839,0.36,0.557,1,"Clstn3","CGE","24hrvs1hr_PTZ","Down","Sig"
