"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Dalrd3",2.75893370645336e-39,1.945207850929,0.856,0.387,6.91030125455373e-35,"Dalrd3","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Meg3",4.12894202197266e-36,0.637544641672879,1,1,1.03417610824349e-31,"Meg3","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Gm42418",1.31102919342222e-35,-0.867011175471603,1,1,3.28373482076463e-31,"Gm42418","ExN_23","24hrvs1hr_PTZ","Down","Sig"
"Cpt1c",1.01445905879535e-31,1.45589987258971,0.856,0.473,2.54091560456472e-27,"Cpt1c","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Pabpn1",1.1831364047088e-27,1.14897710563361,0.957,0.633,2.96340175287413e-23,"Pabpn1","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Asic2",2.04788510818919e-26,1.18021620978513,1,0.918,5.12933783048145e-22,"Asic2","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Lncpint",1.70161585563674e-25,-1.69013984284875,0.799,0.859,4.26203723361335e-21,"Lncpint","ExN_23","24hrvs1hr_PTZ","Down","Sig"
"Xist",5.2347162637381e-25,-6.07861567232914,0.007,0.338,1.31113938257848e-20,"Xist","ExN_23","24hrvs1hr_PTZ","Down","Sig"
"Jph4",7.50200611931831e-25,1.43405963445786,0.878,0.412,1.87902747270566e-20,"Jph4","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Plcb1",1.62784786801579e-23,-1.00238422606323,0.964,0.97,4.07727055501915e-19,"Plcb1","ExN_23","24hrvs1hr_PTZ","Down","Sig"
"Uty",5.15817044618992e-23,1.7510384560436,0.748,0.253,1.29196695165719e-18,"Uty","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Gm4258",7.45199042214334e-23,1.35626288765447,0.921,0.62,1.86650004103424e-18,"Gm4258","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Gpr158",5.08028181346898e-22,-1.66355177733205,0.64,0.878,1.27245818581958e-17,"Gpr158","ExN_23","24hrvs1hr_PTZ","Down","Sig"
"Rims2",6.27856229096363e-21,-1.2087500686235,0.942,0.977,1.57259149701766e-16,"Rims2","ExN_23","24hrvs1hr_PTZ","Down","Sig"
"AC149090.1",5.10268851916082e-20,0.945558873453886,0.957,0.697,1.27807039339421e-15,"AC149090.1","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Efna5",7.38818288779365e-19,-3.06366870389111,0.086,0.413,1.85051816790568e-14,"Efna5","ExN_23","24hrvs1hr_PTZ","Down","Sig"
"Las1l",1.29236291412388e-18,1.31598016093965,0.799,0.465,3.23698139100608e-14,"Las1l","ExN_23","24hrvs1hr_PTZ","Up","Sig"
"Nav3",4.22356892037531e-18,-0.669292831308946,0.978,0.996,1.0578773074864e-13,"Nav3","ExN_23","24hrvs1hr_PTZ","Down","Sig"
