"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",3.21625942122806e-21,-0.925889843846742,0.968,0.982,8.05576497234993e-17,"Gm42418","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Tubb2b",1.17168203514486e-13,-1.96039493556056,0.236,0.473,2.93471199342734e-09,"Tubb2b","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",3.36004239443386e-12,-1.31762190668364,0.529,0.764,8.4158981853385e-08,"Tuba1a","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Gm47283",5.01173441941485e-11,-1.5892021355772,0.313,0.509,1.25528912003084e-06,"Gm47283","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Rfx3",2.09106482606285e-09,-0.5680413524105,0.83,0.845,5.23749006983962e-05,"Rfx3","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Prkg1",3.55354250518709e-08,-0.382414167029852,0.711,0.809,0.00089005579127421,"Prkg1","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Lrp1b",4.42275323053611e-08,-0.338064067845778,0.809,0.864,0.00110776700165238,"Lrp1b","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Ncam2",7.24156057219478e-08,-0.331271236556962,0.663,0.736,0.00181379367651763,"Ncam2","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"AY036118",9.2909299498452e-08,-1.0153190709671,0.466,0.582,0.00232709922453773,"AY036118","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Chl1",1.42462749136401e-07,1.60904765593112,0.458,0.127,0.00356826447761944,"Chl1","ExN_iDG","24hrvs1hr_SAL","Up","Sig"
"Actg1",4.43719015234476e-07,-1.69124158755059,0.181,0.355,0.0111138301745779,"Actg1","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Lrrtm4",7.56787457417679e-07,-0.26431742773845,0.837,0.864,0.0189552554459406,"Lrrtm4","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Nlgn1",7.92457205555532e-07,-0.234906237542198,0.914,0.891,0.0198486756275494,"Nlgn1","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Tubb3",1.22298248047189e-06,-1.63908649644501,0.179,0.318,0.0306320421883795,"Tubb3","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
"Actb",1.7543388098654e-06,-1.28242178955502,0.266,0.373,0.0439409241706987,"Actb","ExN_iDG","24hrvs1hr_SAL","Down","Sig"
