"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",1.55565516232119e-86,-0.869085277151777,1,0.996,3.89644948506588e-82,"Gm42418","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"AY036118",7.3984478087423e-58,-1.16825628017364,0.939,0.952,1.85308922265568e-53,"AY036118","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",2.61109494183367e-44,-1.93323671733995,0.807,0.932,6.54000950081079e-40,"Tuba1a","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Tubb2b",3.70645088251104e-36,-2.23153530357988,0.456,0.689,9.28354752542541e-32,"Tubb2b","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Tubb2a",4.81102707659752e-33,-1.8320966674455,0.616,0.766,1.20501795187538e-28,"Tubb2a","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Actb",1.71190995147331e-31,-1.65218391358731,0.633,0.747,4.2878208554552e-27,"Actb","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Ubb",6.81032848136518e-29,-2.31547077691588,0.219,0.509,1.70578297472754e-24,"Ubb","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Hspa8",2.89480395413041e-27,-1.69498514009865,0.562,0.747,7.25061546391045e-23,"Hspa8","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Hsp90aa1",9.35099407358384e-27,-1.71354247852739,0.466,0.669,2.34214348561055e-22,"Hsp90aa1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Ahi1",1.03127161604611e-24,0.365653195189115,0.991,0.966,2.58302601671068e-20,"Ahi1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Up","Sig"
"Actg1",1.22932111700881e-24,-1.55214171343119,0.551,0.671,3.07908060177196e-20,"Actg1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Hsp90ab1",1.81222397945768e-24,-1.4336423721992,0.621,0.707,4.53907740134766e-20,"Hsp90ab1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Gapdh",1.2056356834288e-21,-1.98945281534313,0.278,0.457,3.01975569628411e-17,"Gapdh","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Ckb",4.47688073096167e-20,-1.6793079149337,0.339,0.501,1.12132431668397e-15,"Ckb","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Tubb5",2.75596622392958e-19,-1.50412973013431,0.614,0.679,6.90286860107641e-15,"Tubb5","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Ppia",3.61587939740982e-19,-1.54120421564668,0.539,0.655,9.05669312669237e-15,"Ppia","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"mt-Co1",1.25033342091805e-18,-1.6891281502536,0.424,0.605,3.13171011937345e-14,"mt-Co1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Aldoa",9.26663829545849e-18,-1.84852579855218,0.301,0.425,2.32101489386349e-13,"Aldoa","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"mt-Co3",4.02886857073688e-17,-1.50675599580514,0.588,0.717,1.00911071091247e-12,"mt-Co3","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Enc1",7.31035316890075e-17,-1.61641577681534,0.301,0.447,1.83102415821457e-12,"Enc1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Tuba1b",7.56387271094322e-17,-1.81863327364239,0.275,0.465,1.89452319790995e-12,"Tuba1b","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Gm47283",1.7929765557124e-16,-1.57179634204626,0.668,0.752,4.49086837909284e-12,"Gm47283","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Negr1",3.84322030185766e-16,0.312554344877746,0.958,0.894,9.62611389006288e-12,"Negr1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Up","Sig"
"Uchl1",4.78549089520726e-16,-1.26981377946365,0.541,0.637,1.19862190452256e-11,"Uchl1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Kirrel3",5.88787173750968e-15,0.724426642193106,0.739,0.527,1.47473523409405e-10,"Kirrel3","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Up","Sig"
"Ttr",6.48474430889263e-15,-3.42754158149644,0.101,0.261,1.62423390704834e-10,"Ttr","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Cfl1",1.14548809349458e-14,-1.51163812060487,0.287,0.443,2.86910402777587e-10,"Cfl1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"2900097C17Rik",1.1509509257718e-14,-1.41427872898666,0.214,0.321,2.88278678378063e-10,"2900097C17Rik","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Atp6v0c",1.65517605101763e-14,-1.43827265565849,0.548,0.697,4.14571945498385e-10,"Atp6v0c","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Trpm3",7.64794466492567e-14,0.322716423152214,0.967,0.906,1.91558070022393e-09,"Trpm3","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Up","Sig"
"Atp6v0b",9.62305394277222e-14,0.329766344326439,0.927,0.792,2.41028632104616e-09,"Atp6v0b","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Up","Sig"
"Ubc",6.01633755416658e-13,-2.11549899425819,0.129,0.267,1.5069120671921e-08,"Ubc","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Kpnb1",9.35550112042143e-13,-1.20176779694345,0.416,0.443,2.34327236563196e-08,"Kpnb1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Usp29",1.11711596020035e-12,0.417909842922761,0.802,0.577,2.79804034551383e-08,"Usp29","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Up","Sig"
"Khdrbs3",1.85985761486047e-12,-0.310401797658822,0.976,0.95,4.65838536794103e-08,"Khdrbs3","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Atp5b",4.54127539916824e-12,-1.07642828576069,0.581,0.639,1.13745324922967e-07,"Atp5b","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Stmn3",8.14410338961146e-12,-1.11430667903117,0.624,0.681,2.03985357599598e-07,"Stmn3","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Lars2",1.41928281400591e-11,-0.802926012194333,0.588,0.547,3.5548776642406e-07,"Lars2","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Oxr1",1.83211859477675e-11,-0.267923873051306,0.901,0.874,4.58890744433732e-07,"Oxr1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Tanc1",2.03155282216184e-11,-0.948992453359467,0.275,0.226,5.08843035366876e-07,"Tanc1","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Ywhag",2.21325554752602e-11,-0.875562170768364,0.52,0.551,5.54354116988842e-07,"Ywhag","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Nefl",4.05652179527309e-11,-1.46716817104118,0.205,0.277,1.01603701406205e-06,"Nefl","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
"Rab3a",6.77092296517414e-11,-1.60876227309602,0.184,0.317,1.69591307508717e-06,"Rab3a","ExcitatoryNeuronsCA3","24hrvs1hr_SAL","Down","Sig"
