"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Adarb2",1.82739387554232e-33,1.71160102777831,0.656,0.326,4.57707344007085e-29,"Adarb2","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Up","Sig"
"Meg3",6.87028758136027e-19,-0.497421417490019,0.952,0.865,1.72080093050331e-14,"Meg3","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Negr1",1.2220774028348e-18,-0.352828116488035,0.974,0.987,3.06093727088032e-14,"Negr1","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"AY036118",3.72852765604101e-18,-0.606988623119408,0.826,0.859,9.33884322008592e-14,"AY036118","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Gm42418",1.04051447537392e-15,-0.328729514003128,0.996,0.997,2.60617660646906e-11,"Gm42418","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Actb",4.15901527417462e-14,-0.749045224028367,0.584,0.607,1.04170855572252e-09,"Actb","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Ddx5",4.41421196806108e-14,-0.60456033342627,0.872,0.852,1.10562767164026e-09,"Ddx5","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Robo1",1.00266836459983e-13,-0.605682077129254,0.588,0.719,2.5113834528132e-09,"Robo1","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Rasal2",1.06093064771361e-13,0.903538444737391,0.854,0.63,2.65731299332829e-09,"Rasal2","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Up","Sig"
"Tanc1",1.11834476087146e-13,0.992262375073186,0.552,0.253,2.80111812255475e-09,"Tanc1","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Up","Sig"
"Galntl6",1.88286064397743e-13,-0.601222134633885,0.485,0.659,4.71600105497028e-09,"Galntl6","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Rian",2.39074018787021e-13,-0.536803464606413,0.652,0.641,5.98808694855851e-09,"Rian","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Gm47283",8.92956472570603e-13,-0.916114146167541,0.521,0.555,2.23658807684759e-08,"Gm47283","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"Nrg1",2.70015757151816e-11,-0.554587935047241,0.644,0.688,6.76308466938154e-07,"Nrg1","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
"March1",3.94635665060328e-11,-0.398031978840133,0.876,0.878,9.88443950276603e-07,"March1","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Down","Sig"
