"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cnksr2",5.02898769848195e-51,1.00386201615792,0.987,0.897,1.25961054883877e-46,"Cnksr2","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Malat1",2.82280816506405e-47,0.723847315016956,1,1,7.07028761103593e-43,"Malat1","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Gm47283",4.8097759885781e-46,-1.41478417199079,0.667,0.751,1.20470459185916e-41,"Gm47283","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Kctd16",4.90086812304534e-41,1.37466473130948,0.881,0.654,1.22752043877917e-36,"Kctd16","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Macrod2",5.02677178226082e-41,-0.568314627127592,0.975,0.988,1.25905552830287e-36,"Macrod2","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Dpp10",1.35141773935768e-40,1.53140136841965,0.948,0.853,3.38489601176919e-36,"Dpp10","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Tuba1a",1.39044629045669e-40,-1.26737314419935,0.722,0.85,3.48265082370687e-36,"Tuba1a","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Lncpint",2.8602129727256e-40,1.47646338349454,0.859,0.548,7.16397543278581e-36,"Lncpint","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Nkain3",4.34256578249888e-40,-1.31289145383096,0.406,0.604,1.0876824515425e-35,"Nkain3","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Brinp1",2.28614762577053e-37,1.40172239040174,0.895,0.645,5.72611395826744e-33,"Brinp1","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Kcnip4",7.28929136250084e-37,0.653620247191305,0.984,0.991,1.82574880756558e-32,"Kcnip4","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
