"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",2.9220672043889e-44,-1.03189111882864,1,0.997,7.31890172683287e-40,"Gm42418","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Gm47283",9.37933382928307e-44,-2.31718425946707,0.638,0.803,2.34924174422053e-39,"Gm47283","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"AY036118",3.55174158931709e-28,-1.23725239069429,0.898,0.918,8.8960471587625e-24,"AY036118","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Tubb2a",1.62294717226944e-25,-2.16163006059434,0.519,0.71,4.06499578238327e-21,"Tubb2a","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",4.42802008977962e-25,-2.01671596859411,0.852,0.899,1.1090861918871e-20,"Tuba1a","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"mt-Co3",5.86872919552114e-25,-1.83043680726235,0.595,0.817,1.46994060160218e-20,"mt-Co3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Ubb",4.38676400310508e-20,-3.10893431620849,0.163,0.459,1.09875277985773e-15,"Ubb","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Actb",2.01492901136318e-18,-1.68649743204922,0.483,0.563,5.04679269476136e-14,"Actb","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Mid1",7.62446057984672e-17,-2.60751271978072,0.136,0.331,1.90969864143421e-12,"Mid1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Tubb2b",2.86040248649054e-16,-2.01072672437421,0.505,0.642,7.16445010791285e-12,"Tubb2b","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Tubb5",3.05293047647868e-16,-1.92534714002839,0.58,0.705,7.64667496443616e-12,"Tubb5","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
