"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",2.52294608765444e-54,-0.871377025788356,0.991,0.998,6.31922306574807e-50,"Gm42418","MGE","24hrvs1hr_PTZ","Down","Sig"
"Meg3",8.76317037288683e-37,0.500499456857996,1,0.998,2.19491128329696e-32,"Meg3","MGE","24hrvs1hr_PTZ","Up","Sig"
"Cwc22",1.05385834844097e-25,-1.38714949195766,0.601,0.84,2.6395990053401e-21,"Cwc22","MGE","24hrvs1hr_PTZ","Down","Sig"
"Cpt1c",7.52416897405269e-22,1.45336865331785,0.709,0.432,1.88457860293098e-17,"Cpt1c","MGE","24hrvs1hr_PTZ","Up","Sig"
"Prpf4b",2.57067811931075e-20,0.912498144507942,0.888,0.767,6.43877748543764e-16,"Prpf4b","MGE","24hrvs1hr_PTZ","Up","Sig"
"Las1l",1.62783230579982e-19,1.00816512920682,0.857,0.757,4.07723157633682e-15,"Las1l","MGE","24hrvs1hr_PTZ","Up","Sig"
"Snrnp70",3.52995015871846e-16,0.783410542460384,0.924,0.867,8.84146616254214e-12,"Snrnp70","MGE","24hrvs1hr_PTZ","Up","Sig"
"Gm49179",7.44453497996216e-16,1.6630459395134,0.511,0.242,1.86463267643112e-11,"Gm49179","MGE","24hrvs1hr_PTZ","Up","Sig"
"Taco1",8.76350257988692e-14,1.6058349280973,0.381,0.177,2.19499449118428e-09,"Taco1","MGE","24hrvs1hr_PTZ","Up","Sig"
"Pabpn1",3.94717215375971e-13,0.78213304267768,0.865,0.758,9.88648209352195e-09,"Pabpn1","MGE","24hrvs1hr_PTZ","Up","Sig"
"Gm16183",1.05170166544875e-12,1.37130552274454,0.493,0.26,2.63419716144949e-08,"Gm16183","MGE","24hrvs1hr_PTZ","Up","Sig"
"Cox7b",1.46723859624724e-12,1.02463971842951,0.587,0.425,3.67499251202047e-08,"Cox7b","MGE","24hrvs1hr_PTZ","Up","Sig"
"B230209E15Rik",2.94053855127804e-12,-1.36499523570778,0.368,0.615,7.36516690938609e-08,"B230209E15Rik","MGE","24hrvs1hr_PTZ","Down","Sig"
"AY036118",3.30952171329753e-12,-0.652508774419633,0.794,0.912,8.28935903529633e-08,"AY036118","MGE","24hrvs1hr_PTZ","Down","Sig"
"Atp1b1",4.9849825228861e-12,-0.678269651869647,0.843,0.937,1.24858857250728e-07,"Atp1b1","MGE","24hrvs1hr_PTZ","Down","Sig"
"Dalrd3",1.26385248915427e-11,1.06593643622891,0.592,0.413,3.16557132958469e-07,"Dalrd3","MGE","24hrvs1hr_PTZ","Up","Sig"
"Tcf4",1.61224923029926e-11,0.327136576297576,1,0.998,4.03820064713056e-07,"Tcf4","MGE","24hrvs1hr_PTZ","Up","Sig"
"AC149090.1",3.10944008973489e-11,0.767069533611325,0.83,0.68,7.78821459275898e-07,"AC149090.1","MGE","24hrvs1hr_PTZ","Up","Sig"
"Rufy3",1.31933209786212e-10,0.646146382702797,0.78,0.682,3.30453110551526e-06,"Rufy3","MGE","24hrvs1hr_PTZ","Up","Sig"
"Gphn",2.81251344811756e-10,-0.465734937677779,0.915,0.968,7.04450243350005e-06,"Gphn","MGE","24hrvs1hr_PTZ","Down","Sig"
"Hsp90aa1",3.56581800371202e-10,-0.87664657735444,0.444,0.675,8.93130435389749e-06,"Hsp90aa1","MGE","24hrvs1hr_PTZ","Down","Sig"
"Nap1l5",3.86441721182913e-10,-1.69186658831041,0.152,0.35,9.67920579046842e-06,"Nap1l5","MGE","24hrvs1hr_PTZ","Down","Sig"
"Lncpint",6.13894914067649e-10,-1.2114121703129,0.516,0.622,1.53762259126524e-05,"Lncpint","MGE","24hrvs1hr_PTZ","Down","Sig"
"Akt3",6.60570180428042e-10,-0.64101559633959,0.821,0.895,1.65453013091812e-05,"Akt3","MGE","24hrvs1hr_PTZ","Down","Sig"
"Oxr1",9.63430525939667e-10,-0.771997733216367,0.901,0.927,2.41310443832108e-05,"Oxr1","MGE","24hrvs1hr_PTZ","Down","Sig"
"Leng9",1.04894705372858e-09,1.26830946459308,0.417,0.243,2.62729768547397e-05,"Leng9","MGE","24hrvs1hr_PTZ","Up","Sig"
"Rian",1.5388399225891e-09,0.311540861814432,1,0.99,3.85433235410892e-05,"Rian","MGE","24hrvs1hr_PTZ","Up","Sig"
"Tra2a",1.5904937050611e-09,0.605521049700099,0.664,0.615,3.98370958306655e-05,"Tra2a","MGE","24hrvs1hr_PTZ","Up","Sig"
"Gad1",2.06065247197981e-09,-0.935865560721975,0.561,0.733,5.16131624656782e-05,"Gad1","MGE","24hrvs1hr_PTZ","Down","Sig"
"Ankrd13d",3.56043979587856e-09,1.03527381054806,0.507,0.343,8.91783355673703e-05,"Ankrd13d","MGE","24hrvs1hr_PTZ","Up","Sig"
"Itm2b",5.49524059028187e-09,-0.967868471194094,0.381,0.595,0.00013763929106479,"Itm2b","MGE","24hrvs1hr_PTZ","Down","Sig"
"Serinc1",9.41846255108718e-09,-0.865148360340396,0.417,0.643,0.000235904231517081,"Serinc1","MGE","24hrvs1hr_PTZ","Down","Sig"
"Snhg11",9.7747311689126e-09,0.273761471689256,1,0.997,0.000244827691587754,"Snhg11","MGE","24hrvs1hr_PTZ","Up","Sig"
"Zeb2",1.28926105003953e-08,0.392757792947344,0.991,0.942,0.000322921215203402,"Zeb2","MGE","24hrvs1hr_PTZ","Up","Sig"
"Homer1",2.39671980432165e-08,-1.16953588748131,0.475,0.643,0.000600306409388442,"Homer1","MGE","24hrvs1hr_PTZ","Down","Sig"
"Gpi1",2.71289197838337e-08,0.738406167425335,0.677,0.543,0.000679498053825681,"Gpi1","MGE","24hrvs1hr_PTZ","Up","Sig"
"Snap25",2.85972874455734e-08,-0.623125917712313,0.834,0.927,0.000716276258649277,"Snap25","MGE","24hrvs1hr_PTZ","Down","Sig"
"Tex10",2.91988644436034e-08,1.14178532718428,0.502,0.335,0.000731343957718933,"Tex10","MGE","24hrvs1hr_PTZ","Up","Sig"
"Atp6v1a",3.52239582896727e-08,-1.0409027865262,0.309,0.512,0.000882254483281431,"Atp6v1a","MGE","24hrvs1hr_PTZ","Down","Sig"
"Col11a1",3.73543544101481e-08,1.05272559669343,0.372,0.195,0.000935614514910978,"Col11a1","MGE","24hrvs1hr_PTZ","Up","Sig"
"Gpm6a",4.58410103418603e-08,-0.422988805797952,0.955,0.962,0.00114817978603258,"Gpm6a","MGE","24hrvs1hr_PTZ","Down","Sig"
"Polb",4.76637268168655e-08,0.679309695939912,0.646,0.57,0.00119383336558203,"Polb","MGE","24hrvs1hr_PTZ","Up","Sig"
"Cdc7",6.45139672592653e-08,1.62593978649909,0.305,0.137,0.00161588133794282,"Cdc7","MGE","24hrvs1hr_PTZ","Up","Sig"
"A830082K12Rik",6.75543808989155e-08,0.953662720371945,0.516,0.36,0.00169203457837514,"A830082K12Rik","MGE","24hrvs1hr_PTZ","Up","Sig"
"Nbea",8.98511349527505e-08,-0.382421819080673,0.973,0.982,0.00225050137716154,"Nbea","MGE","24hrvs1hr_PTZ","Down","Sig"
"Ttc28",1.02686058368874e-07,0.693095070420948,0.7,0.56,0.00257197770396518,"Ttc28","MGE","24hrvs1hr_PTZ","Up","Sig"
"Rims2",1.10273061642079e-07,-0.335885614491965,0.987,0.997,0.00276200937494914,"Rims2","MGE","24hrvs1hr_PTZ","Down","Sig"
"Noc2l",1.50651894795014e-07,0.976371239070611,0.498,0.335,0.00377337800893072,"Noc2l","MGE","24hrvs1hr_PTZ","Up","Sig"
