"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cwc22",4.35329235063088e-28,-1.32220897678989,0.601,0.955,1.09036913506252e-23,"Cwc22","MGE","PTZvsSAL_24hr","Down","Sig"
"mt-Co2",1.28936867067162e-09,1.09539447783715,0.771,0.554,3.2294817094312e-05,"mt-Co2","MGE","PTZvsSAL_24hr","Up","Sig"
"mt-Nd1",1.5504335121887e-09,1.29813445262431,0.65,0.436,3.88337081797904e-05,"mt-Nd1","MGE","PTZvsSAL_24hr","Up","Sig"
"mt-Co3",2.74359038778068e-08,1.01631206718445,0.798,0.641,0.000687187084427428,"mt-Co3","MGE","PTZvsSAL_24hr","Up","Sig"
"mt-Co1",3.59443593050366e-08,1.19854994841616,0.655,0.516,0.000900298367513253,"mt-Co1","MGE","PTZvsSAL_24hr","Up","Sig"
"Kcnip1",3.22710956954514e-07,-0.715521558618599,0.592,0.826,0.00808294133883971,"Kcnip1","MGE","PTZvsSAL_24hr","Down","Sig"
"mt-Atp6",4.46958133212556e-07,0.917790745731982,0.695,0.54,0.0111949603625749,"mt-Atp6","MGE","PTZvsSAL_24hr","Up","Sig"
"Camk1d",4.27002613001959e-06,-0.401637752083634,0.861,0.941,0.106951344478601,"Camk1d","MGE","PTZvsSAL_24hr","Down","Sig"
"mt-Cytb",4.35090112260017e-06,1.03392409097315,0.529,0.359,0.108977020417766,"mt-Cytb","MGE","PTZvsSAL_24hr","Up","Sig"
"Actg1",3.76027525301422e-05,0.854554653802901,0.516,0.394,0.941836142622471,"Actg1","MGE","PTZvsSAL_24hr","Up","Sig"
"Gapdh",4.92793230423864e-05,1.05374751598842,0.332,0.199,1,"Gapdh","MGE","PTZvsSAL_24hr","Up","Sig"
"Tuba1a",6.38649723521172e-05,0.82264026105394,0.825,0.801,1,"Tuba1a","MGE","PTZvsSAL_24hr","Up","Sig"
"Cox6a1",7.17795337259582e-05,1.22586555091187,0.413,0.324,1,"Cox6a1","MGE","PTZvsSAL_24hr","Up","Sig"
"Snhg11",0.000129054207170867,0.209766192782842,1,0.997,1,"Snhg11","MGE","PTZvsSAL_24hr","Up","Sig"
"Hspa8",0.000145123661656622,0.705668088318261,0.511,0.523,1,"Hspa8","MGE","PTZvsSAL_24hr","Up","Sig"
"Gm16105",0.000183862935097946,-1.41457176409409,0.112,0.303,1,"Gm16105","MGE","PTZvsSAL_24hr","Down","Sig"
"Srsf6",0.000239455940529584,0.897274434476007,0.444,0.338,1,"Srsf6","MGE","PTZvsSAL_24hr","Up","Sig"
"Malat1",0.000288901962926429,0.29000451428344,1,1,1,"Malat1","MGE","PTZvsSAL_24hr","Up","Sig"
"Clcn2",0.000408164812876083,1.18107456112927,0.291,0.185,1,"Clcn2","MGE","PTZvsSAL_24hr","Up","Sig"
"B830012L14Rik",0.000489806052999488,0.335401357631492,0.915,0.951,1,"B830012L14Rik","MGE","PTZvsSAL_24hr","Up","Sig"
"Slc25a4",0.000588508484860362,0.759588241630504,0.48,0.387,1,"Slc25a4","MGE","PTZvsSAL_24hr","Up","Sig"
"Ppia",0.000674931835175115,0.696533620162183,0.493,0.401,1,"Ppia","MGE","PTZvsSAL_24hr","Up","Sig"
"Gm47283",0.000729662701188986,0.776423212295711,0.587,0.564,1,"Gm47283","MGE","PTZvsSAL_24hr","Up","Sig"
"Hsp90ab1",0.000752159474662377,0.802516342240033,0.52,0.502,1,"Hsp90ab1","MGE","PTZvsSAL_24hr","Up","Sig"
"Tubb2a",0.000916627419019262,0.695601710594627,0.623,0.627,1,"Tubb2a","MGE","PTZvsSAL_24hr","Up","Sig"
"mt-Nd4",0.000983111252725647,0.73799611404512,0.435,0.341,1,"mt-Nd4","MGE","PTZvsSAL_24hr","Up","Sig"
"Ralgps1",0.00100201477932258,-0.442821682172011,0.605,0.753,1,"Ralgps1","MGE","PTZvsSAL_24hr","Down","Sig"
"E230029C05Rik",0.00111462689870935,-0.321825090924688,0.112,0.254,1,"E230029C05Rik","MGE","PTZvsSAL_24hr","Down","Sig"
"Dmtn",0.00117977872239655,0.631467082124799,0.354,0.275,1,"Dmtn","MGE","PTZvsSAL_24hr","Up","Sig"
"Psmd4",0.00129272994057383,0.846974084546905,0.251,0.181,1,"Psmd4","MGE","PTZvsSAL_24hr","Up","Sig"
"Rock1",0.00132167336563961,-0.521186983232236,0.592,0.742,1,"Rock1","MGE","PTZvsSAL_24hr","Down","Sig"
"Actb",0.00141708669523475,0.549275003301712,0.574,0.523,1,"Actb","MGE","PTZvsSAL_24hr","Up","Sig"
"Gm49179",0.00151597254048484,-0.284149238141671,0.511,0.662,1,"Gm49179","MGE","PTZvsSAL_24hr","Down","Sig"
"Ddx55",0.00156401748240153,-0.312516743973357,0.161,0.307,1,"Ddx55","MGE","PTZvsSAL_24hr","Down","Sig"
"Drg1",0.00166766949111576,-0.758429944455952,0.247,0.443,1,"Drg1","MGE","PTZvsSAL_24hr","Down","Sig"
