"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"AY036118",3.71889012476344e-51,-0.621947156816071,0.946,0.933,9.31470409549499e-47,"AY036118","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Down","Sig"
"Atp2b1",3.86996080763107e-43,0.329102723753764,0.995,0.971,9.69309083487353e-39,"Atp2b1","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Up","Sig"
"Gm42418",2.73552166492287e-36,-0.36464233121747,0.999,0.998,6.8516611141323e-32,"Gm42418","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Down","Sig"
"Snhg11",2.41118853032663e-33,-0.339179550488766,0.994,0.986,6.03930391190911e-29,"Snhg11","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Down","Sig"
"Lrrtm4",7.49213389977149e-30,0.268332793384058,0.417,0.429,1.87655477787576e-25,"Lrrtm4","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Up","Sig"
"Kcnd2",4.24208789136208e-24,0.290870866884399,0.994,0.987,1.06251575414946e-19,"Kcnd2","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Up","Sig"
"Lrrtm3",7.46285112674085e-24,-0.49151646095385,0.28,0.297,1.86922032171478e-19,"Lrrtm3","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Down","Sig"
"Galntl6",1.68082291578086e-23,0.358375473571543,0.974,0.938,4.20995715715631e-19,"Galntl6","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Up","Sig"
"Kirrel3",2.13341853158371e-23,-0.408497061403596,0.459,0.502,5.34357339605771e-19,"Kirrel3","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Down","Sig"
"Gm20754",2.36547046406798e-23,0.263295299305385,0.974,0.931,5.92479387135108e-19,"Gm20754","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Up","Sig"
"Nme7",7.7640818053737e-22,-0.764680902135774,0.493,0.479,1.94466956979195e-17,"Nme7","ExcitatoryNeuronsCA1","PTZvsSAL_1hr","Down","Sig"
