"Cell_Type","Comparison","Total_DEGs","Upregulated","Downregulated","Significant_Genes","Sig_Upregulated","Sig_Downregulated","Top_Up_Genes","Top_Down_Genes","Top_Significant_Genes","Sig_Up_Genes_List","Sig_Down_Genes_List"
"Astrocytes","24hrvs1hr_PTZ",1399,39,50,95,39,56,"Tnfaip8, Dpf3, Snrnp70, Gm3764, Pik3r3, Grm3, Mbtd1, Pitpnc1, Tcf7l1, Zfp608","Gm42418, Cwc22, Cst3, AY036118, Slc1a3, Sparcl1, Azin1, Cpe, Kcnn2, Gpm6a","Gm42418, Cwc22, Cst3, AY036118, Slc1a3, Sparcl1, Azin1, Cpe, Tnfaip8, Kcnn2","Tnfaip8, Dpf3, Snrnp70, Gm3764, Pik3r3, Grm3, Mbtd1, Pitpnc1, Tcf7l1, Zfp608","Gm42418, Cwc22, Cst3, AY036118, Slc1a3, Sparcl1, Azin1, Cpe, Kcnn2, Gpm6a"
"Astrocytes","24hrvs1hr_SAL",1426,52,181,233,52,181,"Wdr17, Gm3764, Mir9-3hg, Nckap5, Mir100hg, Rgs20, Rora, Msi2, Npas3, Pitpnc1","Gm42418, Pak3, Cdh12, Slc24a2, Meg3, Plppr4, Zfp804a, Cacna1b, Gabrb2, Khdrbs2","Gm42418, Pak3, Cdh12, Slc24a2, Meg3, Plppr4, Zfp804a, Cacna1b, Gabrb2, Khdrbs2","Wdr17, Gm3764, Mir9-3hg, Nckap5, Mir100hg, Rgs20, Rora, Msi2, Npas3, Pitpnc1","Gm42418, Pak3, Cdh12, Slc24a2, Meg3, Plppr4, Zfp804a, Cacna1b, Gabrb2, Khdrbs2"
"Astrocytes","PTZvsSAL_1hr",1133,2,4,6,2,4,"Cst3, Slc1a3","Meg3, Pak3, Anks1b, Zfp804a","Cst3, Slc1a3, Meg3, Pak3, Anks1b, Zfp804a","Cst3, Slc1a3","Meg3, Pak3, Anks1b, Zfp804a"
"Astrocytes","PTZvsSAL_24hr",1457,12,5,17,12,5,"mt-Co3, Gm47283, mt-Co2, mt-Atp6, Plppr4, mt-Nd2, mt-Co1, mt-Nd1, Cdh12, Fam189a1","Cwc22, Gm42418, Wdr17, Camk1d, Sema6d","Cwc22, mt-Co3, Gm42418, Gm47283, Wdr17, mt-Co2, mt-Atp6, Camk1d, Plppr4, mt-Nd2","mt-Co3, Gm47283, mt-Co2, mt-Atp6, Plppr4, mt-Nd2, mt-Co1, mt-Nd1, Cdh12, Fam189a1","Cwc22, Gm42418, Wdr17, Camk1d, Sema6d"
"CGE","24hrvs1hr_PTZ",2340,11,19,30,11,19,"Pabpn1, Cpt1c, Zeb2, Dalrd3, Las1l, Leng9, Pcdh15, Cacna1d, Auts2, Snrnp70","Gm42418, Cwc22, AY036118, Peg3, Hsp90aa1, Atp6v0c, H3f3b, Nap1l5, Atp1b1, Gad1","Gm42418, Cwc22, AY036118, Peg3, Hsp90aa1, Pabpn1, Atp6v0c, Cpt1c, Zeb2, H3f3b","Pabpn1, Cpt1c, Zeb2, Dalrd3, Las1l, Leng9, Pcdh15, Cacna1d, Auts2, Snrnp70","Gm42418, Cwc22, AY036118, Peg3, Hsp90aa1, Atp6v0c, H3f3b, Nap1l5, Atp1b1, Gad1"
"CGE","24hrvs1hr_SAL",2313,11,18,29,11,18,"Gm49179, Cwc22, Dlx6os1, Epb41l5, Ctif, Pank1, Cep350, Dlx1as, Lrch3, Dleu2","Gm42418, Tuba1a, Tubb2a, AY036118, Gm47283, mt-Co3, Ubb, mt-Co1, Hspa8, Actg1","Gm42418, Tuba1a, Tubb2a, AY036118, Gm47283, mt-Co3, Ubb, mt-Co1, Hspa8, Actg1","Gm49179, Cwc22, Dlx6os1, Epb41l5, Ctif, Pank1, Cep350, Dlx1as, Lrch3, Dleu2","Gm42418, Tuba1a, Tubb2a, AY036118, Gm47283, mt-Co3, Ubb, mt-Co1, Hspa8, Actg1"
"CGE","PTZvsSAL_1hr",2230,4,2,6,4,2,"Gad1, Cwc22, Adarb2, Nap1l5","AY036118, Snrnp70","AY036118, Gad1, Cwc22, Adarb2, Snrnp70, Nap1l5","Gad1, Cwc22, Adarb2, Nap1l5","AY036118, Snrnp70"
"CGE","PTZvsSAL_24hr",2345,1,1,2,1,1,"mt-Nd1","Cwc22","Cwc22, mt-Nd1","mt-Nd1","Cwc22"
"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ",2849,205,400,631,219,412,"Dalrd3, Meg3, Msra, Ddx5, Las1l, Pabpn1, Cpt1c, Snrnp70, Pcsk2, Prpf4b","Gm42418, Dmd, AY036118, Cwc22, Atp1b1, Khdrbs3, Magi2, Hsp90aa1, Tanc1, Lncpint","Gm42418, Dalrd3, Meg3, Msra, Dmd, AY036118, Ddx5, Cwc22, Atp1b1, Las1l","Dalrd3, Meg3, Msra, Ddx5, Las1l, Pabpn1, Cpt1c, Snrnp70, Pcsk2, Prpf4b","Gm42418, Dmd, AY036118, Cwc22, Atp1b1, Khdrbs3, Magi2, Hsp90aa1, Tanc1, Lncpint"
"ExcitatoryNeuronsCA1","24hrvs1hr_SAL",2988,795,98,913,814,99,"9530059O14Rik, Msra, Frmd4a, Slit3, Gm4258, Trpc5, Arpp21, Mpp6, Syndig1, Apba1","Gm42418, Tuba1a, AY036118, Tubb2a, Ubb, Actb, Tubb2b, Actg1, Tubb5, Gapdh","Gm42418, Tuba1a, AY036118, Tubb2a, Ubb, Actb, Tubb2b, Actg1, Tubb5, 9530059O14Rik","9530059O14Rik, Msra, Frmd4a, Slit3, Gm4258, Trpc5, Arpp21, Mpp6, Syndig1, Apba1","Gm42418, Tuba1a, AY036118, Tubb2a, Ubb, Actb, Tubb2b, Actg1, Tubb5, Gapdh"
