"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",5.93415398236871e-34,-1.58129067484818,0.382,0.757,1.48632754796389e-29,"Cwc22","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Co3",6.20991024735561e-15,1.07265046745093,0.698,0.466,1.55539621965516e-10,"mt-Co3","Astrocytes","PTZvsSAL_24hr","Up"
"Gm42418",4.84989802677599e-12,-0.413704579007668,0.967,0.99,1.21475395876658e-07,"Gm42418","Astrocytes","PTZvsSAL_24hr","Down"
"Gm47283",6.96973520272692e-11,1.30895000326417,0.413,0.221,1.74570957622701e-06,"Gm47283","Astrocytes","PTZvsSAL_24hr","Up"
"mt-Co2",8.92102013934987e-11,1.1291552031756,0.593,0.403,2.23444791430296e-06,"mt-Co2","Astrocytes","PTZvsSAL_24hr","Up"
"Wdr17",2.92529861063611e-10,-0.436544043150667,0.853,0.935,7.32699543006027e-06,"Wdr17","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Atp6",3.53220814416369e-10,0.997604000764849,0.596,0.407,8.8471217386868e-06,"mt-Atp6","Astrocytes","PTZvsSAL_24hr","Up"
"Camk1d",5.96622416340128e-09,-0.669163345750717,0.532,0.691,0.000149436016620712,"Camk1d","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Nd2",1.49282153125922e-08,1.10216616093672,0.418,0.247,0.000373907008934496,"mt-Nd2","Astrocytes","PTZvsSAL_24hr","Up"
"mt-Nd1",5.96150722926989e-08,1.08452906424692,0.482,0.325,0.00149317871571523,"mt-Nd1","Astrocytes","PTZvsSAL_24hr","Up"
"mt-Co1",1.12776463765565e-07,1.0062153762545,0.526,0.382,0.0028247120879361,"mt-Co1","Astrocytes","PTZvsSAL_24hr","Up"
"Sema6d",3.25828159931563e-07,-0.450321986112011,0.875,0.898,0.00816101792180587,"Sema6d","Astrocytes","PTZvsSAL_24hr","Down"
"8030451A03Rik",5.33475825972131e-06,-0.915748490288837,0.263,0.397,0.13361969013124,"8030451A03Rik","Astrocytes","PTZvsSAL_24hr","Down"
"Pabpc1",6.0058278176008e-06,-0.660481073389793,0.241,0.397,0.150427969347447,"Pabpc1","Astrocytes","PTZvsSAL_24hr","Down"
"Nckap5",1.28883239695281e-05,-0.277089376645333,0.875,0.941,0.32281385046477,"Nckap5","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Cytb",1.57138148665287e-05,0.872276871210951,0.413,0.27,0.393583920961944,"mt-Cytb","Astrocytes","PTZvsSAL_24hr","Up"
"Mir99ahg",1.69442249069409e-05,-0.221493323500953,0.997,1,0.424402001244149,"Mir99ahg","Astrocytes","PTZvsSAL_24hr","Down"
"Gm35188",3.41731895068128e-05,-0.571384315543268,0.371,0.511,0.85593587757714,"Gm35188","Astrocytes","PTZvsSAL_24hr","Down"
"Pantr1",0.000103320670858127,-0.746392552054507,0.332,0.446,1,"Pantr1","Astrocytes","PTZvsSAL_24hr","Down"
"Maml2",0.000130346488240112,-0.310973614478056,0.798,0.855,1,"Maml2","Astrocytes","PTZvsSAL_24hr","Down"
"Trpm3",0.000138845230588907,1.80664143987927,0.258,0.162,1,"Trpm3","Astrocytes","PTZvsSAL_24hr","Up"
"Robo1",0.000165194870526841,0.82042647966173,0.349,0.239,1,"Robo1","Astrocytes","PTZvsSAL_24hr","Up"
"Cep112",0.000165422156446644,-0.66543632279364,0.197,0.311,1,"Cep112","Astrocytes","PTZvsSAL_24hr","Down"
"Tubb2a",0.000196657649871837,0.89541339435761,0.271,0.172,1,"Tubb2a","Astrocytes","PTZvsSAL_24hr","Up"
"Creb5",0.000251328130072289,-0.839784214963819,0.177,0.286,1,"Creb5","Astrocytes","PTZvsSAL_24hr","Down"
"Fam171b",0.000283542840596601,0.577360893925171,0.396,0.276,1,"Fam171b","Astrocytes","PTZvsSAL_24hr","Up"
"Gpc6",0.000288641410164981,-0.242979685500228,0.825,0.896,1,"Gpc6","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Nd4",0.000304127487493517,0.761484770126898,0.357,0.252,1,"mt-Nd4","Astrocytes","PTZvsSAL_24hr","Up"
"AY036118",0.000359769302354925,-0.465272770961815,0.501,0.605,1,"AY036118","Astrocytes","PTZvsSAL_24hr","Down"
"Snhg14",0.00035983139385605,0.61889031967909,0.454,0.337,1,"Snhg14","Astrocytes","PTZvsSAL_24hr","Up"
"Vcan",0.000439696816431979,-0.745319735658337,0.258,0.362,1,"Vcan","Astrocytes","PTZvsSAL_24hr","Down"
"Npas3",0.000482917543793203,-0.196007336449868,0.972,0.998,1,"Npas3","Astrocytes","PTZvsSAL_24hr","Down"
"Sema3c",0.000484161529297745,-0.690033766412288,0.152,0.252,1,"Sema3c","Astrocytes","PTZvsSAL_24hr","Down"
"Nova1",0.000563468308900219,-0.396132581148129,0.543,0.628,1,"Nova1","Astrocytes","PTZvsSAL_24hr","Down"
"Pde4b",0.00065154153793425,-0.446569272634576,0.485,0.575,1,"Pde4b","Astrocytes","PTZvsSAL_24hr","Down"
"Fam155a",0.000687183414307464,0.634370261676304,0.255,0.157,1,"Fam155a","Astrocytes","PTZvsSAL_24hr","Up"
"Sgip1",0.000692916099147292,-0.334903417114048,0.587,0.673,1,"Sgip1","Astrocytes","PTZvsSAL_24hr","Down"
"Hnrnpm",0.000709547124366771,-0.740699325798646,0.252,0.346,1,"Hnrnpm","Astrocytes","PTZvsSAL_24hr","Down"
"Fars2",0.000877375008913139,-0.316884293650941,0.806,0.865,1,"Fars2","Astrocytes","PTZvsSAL_24hr","Down"
"Fut9",0.000950036191741341,-0.345246734531146,0.482,0.569,1,"Fut9","Astrocytes","PTZvsSAL_24hr","Down"
"Gm6145",0.00106878443008534,-0.46184765430924,0.391,0.497,1,"Gm6145","Astrocytes","PTZvsSAL_24hr","Down"
"Tuba1a",0.00129409847325999,0.577984179625281,0.432,0.333,1,"Tuba1a","Astrocytes","PTZvsSAL_24hr","Up"
"Pkd2",0.001324418959015,-0.731358316303269,0.172,0.26,1,"Pkd2","Astrocytes","PTZvsSAL_24hr","Down"
"Adgrl1",0.0013279755242715,0.519296345528642,0.388,0.286,1,"Adgrl1","Astrocytes","PTZvsSAL_24hr","Up"
