"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",1.50759186654198e-39,-0.980174490502942,0.967,1,3.77606534812769e-35,"Gm42418","CGE","24hrvs1hr_PTZ","Down"
"Cwc22",1.08890125569308e-15,-1.35734525547481,0.565,0.776,2.72737097513445e-11,"Cwc22","CGE","24hrvs1hr_PTZ","Down"
"AY036118",5.06762785281523e-14,-0.790662090213954,0.678,0.844,1.26928874829463e-09,"AY036118","CGE","24hrvs1hr_PTZ","Down"
"Hsp90aa1",7.79868654412828e-14,-1.12839404626216,0.262,0.605,1.95333701870781e-09,"Hsp90aa1","CGE","24hrvs1hr_PTZ","Down"
"Peg3",1.50990598136216e-11,-0.974177910753954,0.547,0.781,3.78186151151779e-07,"Peg3","CGE","24hrvs1hr_PTZ","Down"
"Nap1l5",3.02521619347081e-11,-2.22947281605259,0.093,0.338,7.57725899978634e-07,"Nap1l5","CGE","24hrvs1hr_PTZ","Down"
"Pabpn1",3.63112641603686e-11,0.970871896125992,0.808,0.656,9.09488233424751e-07,"Pabpn1","CGE","24hrvs1hr_PTZ","Up"
"Atp1b1",1.08022377549326e-10,-0.656516105513044,0.659,0.838,2.70563649047797e-06,"Atp1b1","CGE","24hrvs1hr_PTZ","Down"
"Zeb2",2.352160171225e-10,0.606231471239137,0.958,0.895,5.89145558086727e-06,"Zeb2","CGE","24hrvs1hr_PTZ","Up"
"Atp6v0c",3.43686801905207e-10,-0.785156131060157,0.421,0.716,8.60832332731971e-06,"Atp6v0c","CGE","24hrvs1hr_PTZ","Down"
"H3f3b",6.35129869197837e-10,-1.59646580464663,0.136,0.381,1.59080978337982e-05,"H3f3b","CGE","24hrvs1hr_PTZ","Down"
"Cpt1c",3.50657319416603e-09,1.2648577380424,0.603,0.438,8.78291387942764e-05,"Cpt1c","CGE","24hrvs1hr_PTZ","Up"
"Leng9",9.25575253330833e-09,1.89187116537588,0.355,0.162,0.000231828833701774,"Leng9","CGE","24hrvs1hr_PTZ","Up"
"Cck",1.05097250602249e-08,-1.79772967376252,0.145,0.366,0.000263237083583452,"Cck","CGE","24hrvs1hr_PTZ","Down"
"Oxr1",2.34810725778286e-08,-1.13413433792535,0.533,0.699,0.000588130424856872,"Oxr1","CGE","24hrvs1hr_PTZ","Down"
"Lncpint",3.52344703517357e-08,-1.77843141500579,0.285,0.477,0.000882517778899924,"Lncpint","CGE","24hrvs1hr_PTZ","Down"
"Dalrd3",3.75024372128095e-08,1.16828193377571,0.547,0.369,0.000939323544869239,"Dalrd3","CGE","24hrvs1hr_PTZ","Up"
