"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",3.57194672090454e-18,-1.26300721056158,0.565,0.869,8.94665495184961e-14,"Cwc22","CGE","PTZvsSAL_24hr","Down"
"mt-Nd1",4.91446164610602e-08,1.30267137759328,0.636,0.452,0.00123092520850017,"mt-Nd1","CGE","PTZvsSAL_24hr","Up"
"mt-Co2",1.06504557496096e-06,1.24170273435058,0.678,0.518,0.0266761965160472,"mt-Co2","CGE","PTZvsSAL_24hr","Up"
"mt-Co3",1.62978533463602e-06,1.11229065948023,0.762,0.628,0.0408212332766283,"mt-Co3","CGE","PTZvsSAL_24hr","Up"
"mt-Atp6",2.58043016158645e-05,0.95605706901896,0.687,0.538,0.646320342572559,"mt-Atp6","CGE","PTZvsSAL_24hr","Up"
"mt-Co1",3.3261940797978e-05,1.27332198892948,0.607,0.482,0.833111831166956,"mt-Co1","CGE","PTZvsSAL_24hr","Up"
"mt-Nd2",3.9759609363891e-05,1.3777721128296,0.477,0.307,0.995858935737377,"mt-Nd2","CGE","PTZvsSAL_24hr","Up"
"Lmtk2",3.98881247307422e-05,-1.13140626907316,0.187,0.367,0.9990778601309,"Lmtk2","CGE","PTZvsSAL_24hr","Down"
"Pabpc1",4.12801197102518e-05,-0.794297139472067,0.262,0.457,1,"Pabpc1","CGE","PTZvsSAL_24hr","Down"
"Tubb2a",5.96378941413543e-05,1.09402524559037,0.519,0.387,1,"Tubb2a","CGE","PTZvsSAL_24hr","Up"
"Nol4",6.81113824006948e-05,-0.690606873407508,0.64,0.829,1,"Nol4","CGE","PTZvsSAL_24hr","Down"
"Gm26901",7.04379995044955e-05,-0.858418644887668,0.29,0.472,1,"Gm26901","CGE","PTZvsSAL_24hr","Down"
"Dalrd3",8.48355229428854e-05,0.718935418412265,0.547,0.387,1,"Dalrd3","CGE","PTZvsSAL_24hr","Up"
"Eya3",0.000103507401071119,-1.0280079983553,0.187,0.352,1,"Eya3","CGE","PTZvsSAL_24hr","Down"
"Tuba1a",0.00012013963865761,0.744992442115484,0.771,0.668,1,"Tuba1a","CGE","PTZvsSAL_24hr","Up"
"Dnajc13",0.000125082955504534,-0.660439101353086,0.299,0.487,1,"Dnajc13","CGE","PTZvsSAL_24hr","Down"
"Dync1i1",0.000179256776655012,-0.648396717118981,0.589,0.719,1,"Dync1i1","CGE","PTZvsSAL_24hr","Down"
"Sf3b1",0.00019262870826688,-0.668034422851154,0.416,0.598,1,"Sf3b1","CGE","PTZvsSAL_24hr","Down"
"Rad17",0.000247516720983932,-0.795060149105718,0.107,0.251,1,"Rad17","CGE","PTZvsSAL_24hr","Down"
"Trappc9",0.000300747496164304,-0.775268224284168,0.332,0.508,1,"Trappc9","CGE","PTZvsSAL_24hr","Down"
"mt-Cytb",0.000310022713394791,0.899061570017805,0.486,0.317,1,"mt-Cytb","CGE","PTZvsSAL_24hr","Up"
"Rsrc2",0.000346161672143471,-0.632764555976052,0.341,0.513,1,"Rsrc2","CGE","PTZvsSAL_24hr","Down"
"Csnk2a2",0.000351304705677089,-0.972413825430455,0.22,0.382,1,"Csnk2a2","CGE","PTZvsSAL_24hr","Down"
"Slc25a36",0.000354933768563506,-0.637316297645222,0.374,0.568,1,"Slc25a36","CGE","PTZvsSAL_24hr","Down"
"Lgi1",0.00040504807207538,-0.361851527906626,0.341,0.528,1,"Lgi1","CGE","PTZvsSAL_24hr","Down"
