"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",7.4161121153688e-106,-0.835151401523384,0.993,1,1.85751360153642e-101,"Gm42418","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Meg3",1.18880476373195e-66,0.497082224568544,0.998,1,2.97759929171943e-62,"Meg3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Cwc22",3.12625171916913e-49,-1.37323159951725,0.63,0.895,7.83032268100292e-45,"Cwc22","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Dalrd3",2.5250092330319e-44,1.46638965974889,0.835,0.617,6.324390625975e-40,"Dalrd3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Prpf4b",1.47871509169155e-39,1.00266330855724,0.896,0.824,3.70373769015982e-35,"Prpf4b","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Cpt1c",2.37320265992657e-39,1.32400463814018,0.804,0.598,5.94416070231809e-35,"Cpt1c","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"AY036118",1.36662313296688e-38,-0.751101686691455,0.872,0.964,3.42298096114214e-34,"AY036118","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ahi1",8.64480066753615e-35,0.590722139400818,0.985,0.986,2.16526322319778e-30,"Ahi1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Akt3",1.29721208893762e-28,-0.465534985599843,0.971,0.997,3.24912711916205e-24,"Akt3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ddx5",1.69926569856592e-28,0.664690773958893,0.967,0.942,4.25615079519807e-24,"Ddx5","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Hsp90aa1",1.64776826964755e-27,-0.924780469498825,0.496,0.784,4.12716518498623e-23,"Hsp90aa1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Nbea",1.92308399865491e-27,-0.385948630352511,0.993,0.997,4.81674849143096e-23,"Nbea","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Pabpn1",5.07859335203161e-26,0.811135177809432,0.903,0.827,1.27203527688336e-21,"Pabpn1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Ppia",1.83030769844992e-25,-0.858479946054929,0.502,0.791,4.5843716923075e-21,"Ppia","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Malat1",2.4672205973208e-25,0.473024600215656,1,1,6.1796474301094e-21,"Malat1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Gphn",3.5037371123164e-23,-0.371858230580346,0.965,0.99,8.77581034521888e-19,"Gphn","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Gm20754",1.07446479687261e-22,-0.596443192246356,0.938,0.981,2.69121197672683e-18,"Gm20754","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Atp6v0c",1.34432702406612e-22,-0.770196200449754,0.526,0.798,3.3671358971784e-18,"Atp6v0c","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Snrnp70",1.95684046897035e-22,0.717492435610309,0.907,0.893,4.90129832263003e-18,"Snrnp70","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Leng9",1.24215533147785e-21,1.44656935043692,0.529,0.304,3.11122645875257e-17,"Leng9","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Nlgn1",1.37747217945836e-21,-0.262795412597141,1,0.999,3.45015456788934e-17,"Nlgn1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Aldoa",4.22706314717423e-21,-0.895311681831177,0.315,0.596,1.05875250647273e-16,"Aldoa","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
