"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"AY036118",1.48282551796745e-33,-0.620868030342431,0.964,0.952,3.71403307485308e-29,"AY036118","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Gm42418",3.22333146999494e-29,-0.338111306455763,1,0.996,8.07347833289632e-25,"Gm42418","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Fhit",8.37271463976327e-23,0.856963328668942,0.716,0.399,2.09711383582151e-18,"Fhit","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Meg3",2.72935347024136e-18,-0.25671296233578,1,1,6.83621163691354e-14,"Meg3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Nr4a3",7.45699632184203e-17,0.891008100921363,0.646,0.383,1.86775386873177e-12,"Nr4a3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Snrnp70",1.00323263117135e-16,-0.616138409842434,0.893,0.848,2.51279677129489e-12,"Snrnp70","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Stxbp5l",5.74794939024922e-15,0.469143777447385,0.953,0.866,1.43968888377572e-10,"Stxbp5l","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ttr",1.59061289859752e-14,-3.12097075283124,0.11,0.261,3.98400812711721e-10,"Ttr","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Magi2",4.39497350972864e-14,0.262499330354859,0.997,0.994,1.10080901498173e-09,"Magi2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dalrd3",7.77076105551147e-14,-0.987119252379023,0.617,0.649,1.94634252157396e-09,"Dalrd3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Ifrd1",8.35904520956508e-14,0.844866414230493,0.454,0.22,2.09369005363977e-09,"Ifrd1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Nav3",2.5708379047936e-13,0.293378809206043,0.997,0.994,6.43917770013653e-09,"Nav3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Homer1",3.67861792762705e-13,0.633323885321296,0.847,0.623,9.21383432332746e-09,"Homer1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"1700016P03Rik",5.39337273338759e-13,1.10524568294969,0.275,0.098,1.35087806853159e-08,"1700016P03Rik","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rbfox1",9.8984091410259e-13,0.287692912143936,0.995,0.984,2.47925453755276e-08,"Rbfox1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Mib1",2.26062222452726e-12,0.497083872939972,0.816,0.573,5.66218048577344e-08,"Mib1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Colec12",2.49681302351554e-12,0.590944351156243,0.336,0.136,6.25376757999937e-08,"Colec12","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Snhg11",2.91628993863546e-12,-0.302967488169247,0.986,0.974,7.30443140930025e-08,"Snhg11","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Trhde",2.98228156875452e-12,0.497363888507556,0.856,0.695,7.46972064525945e-08,"Trhde","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Asap1",3.16788218192884e-12,0.502665689757835,0.592,0.337,7.93459450107717e-08,"Asap1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Nlgn1",4.22632767419389e-12,0.173396437107277,0.999,1,1.05856829255534e-07,"Nlgn1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Chp1",5.09827102727239e-12,0.848848779593526,0.285,0.108,1.27696394420092e-07,"Chp1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Gm20754",5.76732013367128e-12,0.379184008293691,0.981,0.938,1.44454067388065e-07,"Gm20754","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Pwwp2a",1.68185343861056e-11,0.452930800816586,0.552,0.295,4.21253830768786e-07,"Pwwp2a","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Lsamp",1.93137011202507e-11,0.192081271064008,1,0.998,4.83750271958919e-07,"Lsamp","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Zbtb11",2.57388916851988e-11,0.515489940695663,0.475,0.246,6.44682020039174e-07,"Zbtb11","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ano3",3.52968736220166e-11,0.594707585067218,0.719,0.519,8.84080793610651e-07,"Ano3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Klf9",4.67714047439942e-11,0.747524405874531,0.376,0.176,1.17148337462282e-06,"Klf9","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Malat1",5.36001396662641e-11,-0.229919010168757,1,1,1.34252269822092e-06,"Malat1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Slc6a6",6.23207669910567e-11,0.378871727814288,0.534,0.283,1.560948250825e-06,"Slc6a6","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rasgrp1",7.39632206274675e-11,0.563542669644507,0.492,0.279,1.85255678705618e-06,"Rasgrp1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Mctp1",8.09574368833031e-11,0.332914282727941,0.958,0.87,2.02774092161609e-06,"Mctp1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rnf182",8.82996456276768e-11,0.412926414789624,0.814,0.571,2.21164122403642e-06,"Rnf182","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Cwc22",1.37680068190247e-10,0.493420966401489,0.895,0.868,3.44847266796111e-06,"Cwc22","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Tmod3",1.57210473022465e-10,0.619710030857677,0.584,0.361,3.93765071779368e-06,"Tmod3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"D5Ertd579e",1.72206311211926e-10,0.5080021596554,0.551,0.313,4.3132514769251e-06,"D5Ertd579e","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Snx30",2.05300183350502e-10,0.463141031253212,0.368,0.176,5.14215369238003e-06,"Snx30","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Grik4",2.19845641431739e-10,0.343931243377443,0.928,0.802,5.50647378094077e-06,"Grik4","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Fam160a2",2.44706604647241e-10,0.481955439256108,0.284,0.114,6.12916632659944e-06,"Fam160a2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Cpt1c",2.77879428464491e-10,-0.879159578687937,0.598,0.619,6.9600460447501e-06,"Cpt1c","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Mbd2",4.07474395019443e-10,0.566009524524908,0.421,0.214,1.0206011172052e-05,"Mbd2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Gria2",4.13488880048296e-10,-0.197876908519827,0.999,1,1.03566559785697e-05,"Gria2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Nptx1",4.15089722567143e-10,0.45015384981593,0.542,0.311,1.03967522811392e-05,"Nptx1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ccdc50",4.42270628827396e-10,0.306551851688297,0.549,0.305,1.10775524402398e-05,"Ccdc50","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Azin1",4.44322355746366e-10,0.493339714930273,0.448,0.23,1.11289420443792e-05,"Azin1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Exoc2",6.17418740475147e-10,0.402733517342494,0.54,0.293,1.5464487192681e-05,"Exoc2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Kcnh1",6.21545200562556e-10,0.39907246738905,0.65,0.395,1.55678426384903e-05,"Kcnh1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ddx5",6.79497065892934e-10,-0.408875022785843,0.942,0.928,1.70193630094203e-05,"Ddx5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Grin2a",7.80402179040715e-10,0.248172035416898,0.977,0.944,1.95467333784328e-05,"Grin2a","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
