"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",1.6175935176912e-22,-0.925889843846742,0.968,0.982,4.05158648376115e-18,"Gm42418","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Tuba1a",1.31979988017097e-14,-1.31762190668364,0.529,0.764,3.30570275986423e-10,"Tuba1a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Tubb2b",1.2129201778002e-11,-1.96039493556056,0.236,0.473,3.03800116933616e-07,"Tubb2b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Chl1",1.26735869986748e-09,1.60904765593112,0.458,0.127,3.17435333555808e-05,"Chl1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Gm47283",9.32327059568736e-09,-1.5892021355772,0.313,0.509,0.000233519958610181,"Gm47283","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Cwc22",1.89023583554188e-08,0.922628055962946,0.779,0.482,0.000473447369728175,"Cwc22","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Malat1",1.23818235288431e-07,-0.253398283749693,1,1,0.00310127533926933,"Malat1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Actg1",3.3594197764167e-07,-1.69124158755059,0.181,0.355,0.00841433871399091,"Actg1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Gm4258",1.88860330420104e-06,1.40359114957634,0.407,0.155,0.0473038469603235,"Gm4258","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"AY036118",2.29816307888768e-06,-1.0153190709671,0.466,0.582,0.0575620906368997,"AY036118","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Slc16a7",2.41836673378309e-06,1.65904263799001,0.268,0.055,0.060572831581065,"Slc16a7","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Tspan5",3.39860403740064e-06,0.825229248773187,0.554,0.264,0.0851248353247738,"Tspan5","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"H3f3b",7.89435640994651e-06,-1.55643288193387,0.149,0.3,0.19772994499993,"H3f3b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Sncaip",8.16591594077108e-06,1.12616440976256,0.38,0.136,0.204531696568493,"Sncaip","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Tubb2a",1.14442333845486e-05,-1.42641522449933,0.148,0.291,0.28664371358279,"Tubb2a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Fus",1.25142143311812e-05,0.849698183316972,0.446,0.191,0.313443526353094,"Fus","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Tubb3",1.30830947076916e-05,-1.63908649644501,0.179,0.318,0.327692273143552,"Tubb3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"mt-Co2",1.63847866397226e-05,-0.600987423072346,0.42,0.6,0.410389750965131,"mt-Co2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Rfx3",2.69603282149353e-05,-0.5680413524105,0.83,0.845,0.675275340799485,"Rfx3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"mt-Co3",3.11774782137714e-05,-0.735923358703767,0.534,0.645,0.780902296820332,"mt-Co3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Slf2",4.32715357490664e-05,1.19032176720278,0.304,0.1,1,"Slf2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Kansl1l",5.33939231564246e-05,1.30016629324301,0.297,0.1,1,"Kansl1l","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Pcca",5.93135892921097e-05,1.44353187630874,0.268,0.082,1,"Pcca","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Abl2",6.50273847278087e-05,0.970397826855314,0.287,0.091,1,"Abl2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Rbfox3",9.42464784107205e-05,0.840739127376277,0.614,0.355,1,"Rbfox3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Hivep3",0.000124436825669138,1.03874989443273,0.424,0.209,1,"Hivep3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Sh3gl2",0.000156973267005139,1.07642222422235,0.36,0.155,1,"Sh3gl2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Cdk14",0.000163190856484283,1.15654402367652,0.325,0.136,1,"Cdk14","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Chchd3",0.000185477382574519,0.605393520450212,0.306,0.109,1,"Chchd3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Xkr6",0.000193751181113491,0.815753105080554,0.379,0.173,1,"Xkr6","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Tulp4",0.000221449603695811,0.788677861904774,0.451,0.227,1,"Tulp4","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Elmo1",0.000287107979298976,0.792937100774546,0.314,0.136,1,"Elmo1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Actb",0.000291422832596898,-1.28242178955502,0.266,0.373,1,"Actb","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Clk1",0.000297980741080281,0.735699280596198,0.291,0.109,1,"Clk1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Klhl29",0.000324502716484403,1.23649646763926,0.253,0.091,1,"Klhl29","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Hsp90ab1",0.000372997704105122,-1.27346965439265,0.216,0.336,1,"Hsp90ab1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Pabpc1",0.000388519767854043,1.22623882682632,0.265,0.1,1,"Pabpc1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Zfr",0.000417507693401548,0.943401245654199,0.406,0.227,1,"Zfr","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Pafah1b1",0.000427932708865126,0.662290710707545,0.401,0.2,1,"Pafah1b1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Gria4",0.00047745365153126,1.51541254245961,0.307,0.145,1,"Gria4","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Jmjd1c",0.000544405241476883,0.697002890810495,0.52,0.3,1,"Jmjd1c","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Nexmif",0.000634875939088011,0.460530940930261,0.439,0.227,1,"Nexmif","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Zbtb20",0.000639200523309059,-0.242480434571445,0.983,0.991,1,"Zbtb20","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Agtpbp1",0.00065160921940197,0.781027642562588,0.292,0.118,1,"Agtpbp1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Myt1l",0.000660463090679646,0.391071747471166,0.768,0.564,1,"Myt1l","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Ppm1l",0.000752158237591742,0.351381872156206,0.545,0.3,1,"Ppm1l","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Arpp21",0.000999742744630251,0.809285407327018,0.578,0.391,1,"Arpp21","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Frmd4b",0.0010016823674172,0.592110978269762,0.688,0.482,1,"Frmd4b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Rbfox2",0.00103924640939437,0.508323837141786,0.607,0.373,1,"Rbfox2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Pde10a",0.00103985978471191,0.495158309725714,0.564,0.336,1,"Pde10a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Rps6ka3",0.00111792646028991,0.935646156127418,0.287,0.127,1,"Rps6ka3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Mir124a-1hg",0.00112529342691385,0.591886659314324,0.399,0.2,1,"Mir124a-1hg","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Ewsr1",0.00121013628711372,0.776886574883541,0.379,0.2,1,"Ewsr1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Ralgps1",0.00121701939286287,0.761961072702595,0.33,0.155,1,"Ralgps1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Crebbp",0.0013101489999236,0.762624414985849,0.41,0.218,1,"Crebbp","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Pabpc4",0.0013131495330755,0.684468004936312,0.293,0.127,1,"Pabpc4","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Carmil1",0.00139075512313039,0.557590969060364,0.327,0.155,1,"Carmil1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Fmnl2",0.00171049541372379,0.389088778931552,0.774,0.573,1,"Fmnl2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Sez6l",0.00173818763265228,0.896053714043272,0.255,0.109,1,"Sez6l","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Fto",0.00176283064330453,0.688969134782532,0.358,0.191,1,"Fto","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Mbtd1",0.00179710186488149,0.681840296448431,0.312,0.145,1,"Mbtd1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Psap",0.00181319334859914,-0.791333798745172,0.348,0.445,1,"Psap","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Btrc",0.0018507666776732,0.896843007380585,0.306,0.145,1,"Btrc","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Mcu",0.00185555567134245,0.580407836873995,0.342,0.164,1,"Mcu","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Zfp608",0.00192309807307753,0.599779049756032,0.547,0.345,1,"Zfp608","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Naa15",0.00192447204096931,0.896496051504069,0.273,0.118,1,"Naa15","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Epb41",0.00192652218151169,0.587087051355945,0.283,0.127,1,"Epb41","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Camk4",0.00209310726805308,0.902931114040624,0.33,0.173,1,"Camk4","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"5330438D12Rik",0.0022188433343114,0.701003150196595,0.359,0.182,1,"5330438D12Rik","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Raph1",0.00231598267977229,0.706202507372653,0.281,0.127,1,"Raph1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"mt-Co1",0.00242624334991417,-0.59547004712694,0.396,0.509,1,"mt-Co1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Rnf130",0.00243456943942417,0.500317959733784,0.353,0.173,1,"Rnf130","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Itm2b",0.00260935093042124,0.665760152558764,0.357,0.182,1,"Itm2b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Ddx5",0.00264880245414048,-0.278392995837653,0.78,0.809,1,"Ddx5","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Pik3r3",0.00265172831816719,0.686521886681945,0.261,0.118,1,"Pik3r3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Rapgef6",0.00271008802043033,0.769399173585916,0.289,0.136,1,"Rapgef6","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Ubn2",0.00279152059847635,0.597869505187513,0.396,0.209,1,"Ubn2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Nr2c2",0.00290652632563512,0.631087194529289,0.299,0.145,1,"Nr2c2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Kcnn2",0.00291823862967663,0.460782926950552,0.452,0.255,1,"Kcnn2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Cacna1a",0.00307321618251309,0.459351432786922,0.568,0.336,1,"Cacna1a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Ksr2",0.00315323746399154,0.637437438769572,0.291,0.136,1,"Ksr2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Sdccag8",0.0031557821338152,0.979999158029274,0.256,0.118,1,"Sdccag8","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Mbnl2",0.0031610381868494,0.828081279166454,0.256,0.118,1,"Mbnl2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Maml3",0.00317031434184891,0.600265826510894,0.503,0.309,1,"Maml3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Dock3",0.00331899142815822,0.614709323413839,0.514,0.3,1,"Dock3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Pum1",0.00333765463763434,0.459599974383936,0.507,0.309,1,"Pum1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Lncppara",0.00339351103400773,0.811085785893693,0.329,0.173,1,"Lncppara","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Tnrc6b",0.00341122735403594,0.756340610814683,0.425,0.245,1,"Tnrc6b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Zeb1",0.00341816159963545,0.522605470282333,0.324,0.173,1,"Zeb1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Atp2b1",0.00341996514144583,-0.385579863078163,0.657,0.682,1,"Atp2b1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Down"
"Chd9",0.00346352269865417,0.548441693749056,0.381,0.209,1,"Chd9","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
"Kcnj6",0.00357379194232928,0.854979100710193,0.292,0.145,1,"Kcnj6","ExcitatoryNeuronsImmatureDG","24hrvs1hr_SAL","Up"
