"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",3.5699801139395e-14,1.5383477526861,0.811,0.482,8.94172919138426e-10,"Cwc22","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ddx5",3.09938256767814e-05,-0.559493554048112,0.692,0.809,0.776302351726343,"Ddx5","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Ewsr1",0.000108071679748091,1.21570833042642,0.404,0.2,1,"Ewsr1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Abl2",0.000274107168523542,1.25866282442286,0.263,0.091,1,"Abl2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Igfbpl1",0.000382343166400212,0.710241451474842,0.65,0.427,1,"Igfbpl1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Malat1",0.000437399393282797,-0.187756469013774,1,1,1,"Malat1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Cdh11",0.00059016992562553,-1.41889529508195,0.15,0.282,1,"Cdh11","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"App",0.000606370540961561,1.03376962333341,0.383,0.2,1,"App","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ank2",0.000769380908669224,-0.439293802812285,0.85,0.9,1,"Ank2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Tbc1d5",0.00125505602932013,0.591646099630367,0.431,0.236,1,"Tbc1d5","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Nnat",0.00127957273690251,0.751487120531565,0.772,0.664,1,"Nnat","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Gab2",0.00144678010571891,1.147567286274,0.287,0.127,1,"Gab2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Sncaip",0.0014722393583647,0.883147591011656,0.305,0.136,1,"Sncaip","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ephb1",0.00164909505836909,0.863322172888815,0.374,0.209,1,"Ephb1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Lrp1b",0.00176621146367734,-0.376539001398033,0.746,0.864,1,"Lrp1b","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Grin2a",0.00188259819716036,-0.723212450832255,0.213,0.364,1,"Grin2a","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Dok6",0.00228163523212481,0.651551931018071,0.68,0.545,1,"Dok6","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Tjp1",0.00234054078587524,-0.907686704741622,0.195,0.318,1,"Tjp1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Tmem131l",0.0024454790786979,-0.848405931582072,0.29,0.418,1,"Tmem131l","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Itm2b",0.00258853833539891,1.01082234510827,0.338,0.182,1,"Itm2b","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Prkg1",0.00260317530269514,-0.511308580370599,0.698,0.809,1,"Prkg1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Rbm39",0.00321598601472165,0.765114559811062,0.593,0.436,1,"Rbm39","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Kcnn2",0.00329901420362713,0.711984133034459,0.44,0.255,1,"Kcnn2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Dpp6",0.00354355800967972,-0.532632568228818,0.56,0.664,1,"Dpp6","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Hnrnph1",0.00366014342238573,0.598855748409884,0.608,0.427,1,"Hnrnph1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ptprk",0.00396273542911446,-0.447018668906492,0.509,0.609,1,"Ptprk","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Xpo1",0.00400769217877051,0.547058910227221,0.431,0.255,1,"Xpo1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Nell1",0.00431185317019471,0.574371338084949,0.539,0.364,1,"Nell1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Tenm2",0.00457927030183067,-0.373855035003491,0.856,0.9,1,"Tenm2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Rgs6",0.00534472864024217,-0.435402760075874,0.65,0.736,1,"Rgs6","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Fus",0.00542623240988872,0.588495890300504,0.347,0.191,1,"Fus","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Nfib",0.0061066467729736,0.327690324956409,0.976,0.936,1,"Nfib","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ncam2",0.00723060983026444,-0.34506388358248,0.608,0.736,1,"Ncam2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Psme4",0.00808212085699792,0.640342777748512,0.425,0.273,1,"Psme4","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Atp9a",0.00809093710325891,0.971907918426301,0.251,0.127,1,"Atp9a","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ccser1",0.00817450771724667,0.314161754121102,0.949,0.864,1,"Ccser1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Smarca4",0.00845724613075332,0.809319528723131,0.257,0.127,1,"Smarca4","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Arid2",0.00868463450298467,0.874485162548361,0.326,0.191,1,"Arid2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Sema3c",0.00911995432219137,0.415618555004276,0.784,0.664,1,"Sema3c","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Shisa9",0.00912322183051195,-0.8900207442255,0.254,0.364,1,"Shisa9","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Phf21a",0.00916627279531377,-0.819373260895945,0.234,0.336,1,"Phf21a","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Ppp3ca",0.00985134661502849,-0.317884017790236,0.707,0.791,1,"Ppp3ca","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Hdac9",0.00993168034771588,0.539534252501767,0.425,0.264,1,"Hdac9","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Fam49a",0.0100561845807518,0.797306549349821,0.269,0.136,1,"Fam49a","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Tubb3",0.0104182463001615,-0.851449646983484,0.216,0.318,1,"Tubb3","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Rfx3",0.0122063714917021,-0.330819303807564,0.841,0.845,1,"Rfx3","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Kmt2e",0.0124660445443592,0.343287721754581,0.5,0.318,1,"Kmt2e","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Csmd1",0.0125410806009508,-0.356428807290903,0.638,0.718,1,"Csmd1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Paxbp1",0.012894309484418,0.621629915856446,0.329,0.191,1,"Paxbp1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Myt1l",0.0129760702085086,0.278593819445627,0.734,0.564,1,"Myt1l","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Rian",0.0130379734603796,-0.927818471236844,0.204,0.3,1,"Rian","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Ppm1l",0.0146137797950824,0.434149319899005,0.464,0.3,1,"Ppm1l","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Plppr5",0.0148660295126327,-0.945472381226058,0.18,0.273,1,"Plppr5","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Srsf11",0.0151047464837444,0.534146251337589,0.428,0.273,1,"Srsf11","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Fgf14",0.0153428500108452,-0.37672602141263,0.74,0.791,1,"Fgf14","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Miat",0.0156754253769737,0.51281256697989,0.413,0.255,1,"Miat","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Canx",0.016270510874534,-0.731633134763804,0.243,0.336,1,"Canx","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Trim33",0.0163567667482967,0.696043762434057,0.257,0.145,1,"Trim33","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Slc35f3",0.0163641239223057,-0.91969374831012,0.243,0.327,1,"Slc35f3","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Mir99ahg",0.0172035545847428,0.339984034419031,0.928,0.891,1,"Mir99ahg","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"C2cd5",0.0182477331634557,0.754324119823009,0.278,0.164,1,"C2cd5","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Jmjd1c",0.0192551234084086,0.558473104190109,0.434,0.3,1,"Jmjd1c","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Tmem108",0.0194141075415032,-0.497401477930854,0.332,0.427,1,"Tmem108","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Dhx30",0.0194339297495701,0.759856218986664,0.29,0.173,1,"Dhx30","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Dcx",0.0200764402432117,0.384523030014986,0.536,0.364,1,"Dcx","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Thoc2",0.0201035616321568,0.385696197992501,0.44,0.291,1,"Thoc2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Frmd4b",0.0206381055333366,0.466245007616354,0.629,0.482,1,"Frmd4b","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Scaper",0.021561517319979,-0.541213934065833,0.407,0.5,1,"Scaper","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Bptf",0.022027988341802,0.481828289301947,0.347,0.218,1,"Bptf","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Dock3",0.0221292788614219,0.636521674889768,0.458,0.3,1,"Dock3","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Map2k4",0.0221338515987727,0.43180060283924,0.269,0.145,1,"Map2k4","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Thra",0.0221621435868695,0.558333283828475,0.311,0.182,1,"Thra","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ahcyl1",0.022504294307182,0.587131604472333,0.311,0.191,1,"Ahcyl1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"AI480526",0.0235167040966731,-0.757298423043128,0.228,0.309,1,"AI480526","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Tasor",0.024035144159804,0.392285801338103,0.326,0.191,1,"Tasor","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Islr2",0.0243702602662958,0.520712167753091,0.413,0.273,1,"Islr2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Rsrc1",0.0249950106103134,0.560020318491756,0.287,0.173,1,"Rsrc1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ppp2r5e",0.0253657780063159,0.54298302987895,0.323,0.2,1,"Ppp2r5e","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Crebbp",0.0256911478588378,0.786835930477068,0.338,0.218,1,"Crebbp","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Slc4a10",0.02809953521054,-0.530556652231005,0.296,0.382,1,"Slc4a10","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"mt-Co3",0.0291001869174098,0.343753679177908,0.751,0.645,1,"mt-Co3","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Acvr1",0.0292928144121371,-0.796175143021904,0.225,0.309,1,"Acvr1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Usp47",0.0302710911690992,0.689723138977096,0.284,0.173,1,"Usp47","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Far1",0.0304088133507554,0.909020997166006,0.284,0.182,1,"Far1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Rbm25",0.0318811664501003,0.383991165855051,0.533,0.4,1,"Rbm25","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Slit2",0.0322828027544829,-0.665027917730151,0.287,0.382,1,"Slit2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Rims2",0.0331405010194687,0.477130915286173,0.542,0.391,1,"Rims2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Olfm1",0.0337845424645621,0.682788014333738,0.299,0.191,1,"Olfm1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ptprg",0.0344739200853903,0.271026964068299,0.749,0.664,1,"Ptprg","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Nlgn1",0.0347454898759496,-0.228083845536853,0.916,0.891,1,"Nlgn1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Cntnap5b",0.0348173470774755,-0.35448212643621,0.653,0.664,1,"Cntnap5b","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Yeats2",0.0348352344214936,0.723502499491849,0.278,0.173,1,"Yeats2","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Smg6",0.0358632226942134,0.490569236050497,0.377,0.264,1,"Smg6","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Top1",0.0359245223656635,0.430110309933912,0.374,0.255,1,"Top1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ralgps1",0.0362848442121958,0.633779028893628,0.26,0.155,1,"Ralgps1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Epha7",0.0371086621582588,-0.48634678124716,0.578,0.609,1,"Epha7","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Spon1",0.0376155634705016,0.444206816871854,0.338,0.218,1,"Spon1","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Ubr5",0.038480625748865,0.456612970667844,0.413,0.3,1,"Ubr5","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
"Pcdh9",0.0392875108191687,-0.482965699028905,0.488,0.573,1,"Pcdh9","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Down"
"Abcc5",0.0395946960134208,0.653660244104274,0.305,0.2,1,"Abcc5","ExcitatoryNeuronsImmatureDG","PTZvsSAL_1hr","Up"
