"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",1.78151331367487e-21,0.891753467096531,0.84,0.682,4.46215639676144e-17,"Cwc22","MGE","PTZvsSAL_1hr","Up"
"AY036118",1.27831639390421e-20,-0.593848033962455,0.912,0.912,3.20179907181186e-16,"AY036118","MGE","PTZvsSAL_1hr","Down"
"Oxr1",1.48961753922482e-19,0.804927463114376,0.927,0.77,3.73104505049642e-15,"Oxr1","MGE","PTZvsSAL_1hr","Up"
"Lncpint",2.14406756893778e-18,1.20520658739636,0.622,0.351,5.37024603991847e-14,"Lncpint","MGE","PTZvsSAL_1hr","Up"
"Tuba1a",3.05573322643356e-18,-0.837798367439218,0.845,0.888,7.65369501224815e-14,"Tuba1a","MGE","PTZvsSAL_1hr","Down"
"Gm47283",2.91289164154097e-17,-1.21203060000799,0.702,0.748,7.29591969456768e-13,"Gm47283","MGE","PTZvsSAL_1hr","Down"
"Gm42418",2.36726673273673e-15,-0.302062581719786,0.998,0.998,5.9292929854857e-11,"Gm42418","MGE","PTZvsSAL_1hr","Down"
"Zbtb16",1.24790499004113e-14,1.20929279823022,0.402,0.17,3.12562762855602e-10,"Zbtb16","MGE","PTZvsSAL_1hr","Up"
"Bdp1",2.20474044784798e-14,0.662129908021788,0.522,0.237,5.52221339972483e-10,"Bdp1","MGE","PTZvsSAL_1hr","Up"
"Immp2l",8.52517171241228e-14,0.727210116926387,0.672,0.417,2.1352997588079e-09,"Immp2l","MGE","PTZvsSAL_1hr","Up"
"Unc80",1.30759558924312e-13,0.578020432062447,0.773,0.469,3.27513467237725e-09,"Unc80","MGE","PTZvsSAL_1hr","Up"
"Tcf4",3.31479838694156e-13,-0.292823660697654,0.998,0.998,8.30257551977252e-09,"Tcf4","MGE","PTZvsSAL_1hr","Down"
"Slc24a2",3.88173751386299e-13,0.772034759692552,0.7,0.454,9.72258795097262e-09,"Slc24a2","MGE","PTZvsSAL_1hr","Up"
"Ttll5",5.49422758508708e-13,0.690939625500952,0.497,0.245,1.37613918323676e-08,"Ttll5","MGE","PTZvsSAL_1hr","Up"
"Mbnl2",5.96871578448807e-13,0.867036675346423,0.488,0.245,1.49498424254073e-08,"Mbnl2","MGE","PTZvsSAL_1hr","Up"
"Homer1",6.9703325965463e-13,0.873034820738883,0.643,0.366,1.74585920545695e-08,"Homer1","MGE","PTZvsSAL_1hr","Up"
"Cpeb4",1.12895781717685e-12,0.704166758022663,0.687,0.415,2.82770064468287e-08,"Cpeb4","MGE","PTZvsSAL_1hr","Up"
"Ifrd1",1.23754685020738e-12,1.32909036712307,0.28,0.097,3.09968359571442e-08,"Ifrd1","MGE","PTZvsSAL_1hr","Up"
"Fhit",1.36547663030838e-12,0.590172948943349,0.645,0.383,3.42010931593341e-08,"Fhit","MGE","PTZvsSAL_1hr","Up"
"Nap1l5",1.38800834482993e-12,0.985493195505322,0.35,0.142,3.47654450129553e-08,"Nap1l5","MGE","PTZvsSAL_1hr","Up"
"Lrrtm3",2.92096403805969e-12,0.768742551237379,0.522,0.28,7.31613862612811e-08,"Lrrtm3","MGE","PTZvsSAL_1hr","Up"
"Gm1604a",5.55143657405966e-12,0.93516550774527,0.297,0.11,1.39046831870472e-07,"Gm1604a","MGE","PTZvsSAL_1hr","Up"
"Casc4",5.82131569549491e-12,0.543391684921256,0.575,0.301,1.45806494225061e-07,"Casc4","MGE","PTZvsSAL_1hr","Up"
"Fmn1",1.24616970678868e-11,0.991594064282938,0.418,0.209,3.12128126459361e-07,"Fmn1","MGE","PTZvsSAL_1hr","Up"
