"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",1.31749966782059e-12,1.23192983848042,0.71,0.505,3.29994141799023e-08,"Cwc22","OPCs","PTZvsSAL_1hr","Up"
"Malat1",1.12609497810374e-09,-0.287108864370891,1,1,2.82053009165644e-05,"Malat1","OPCs","PTZvsSAL_1hr","Down"
"Gm2164",1.56137830800836e-05,1.02936955977943,0.307,0.13,0.391078424806855,"Gm2164","OPCs","PTZvsSAL_1hr","Up"
"Plppr1",4.45886137913904e-05,-0.398100878655579,0.657,0.776,1,"Plppr1","OPCs","PTZvsSAL_1hr","Down"
"Ptprz1",5.25509400959571e-05,0.280781356452658,0.995,0.974,1,"Ptprz1","OPCs","PTZvsSAL_1hr","Up"
"Scn8a",0.000130138460663636,0.739843398324479,0.299,0.146,1,"Scn8a","OPCs","PTZvsSAL_1hr","Up"
"Vcan",0.000238803292036628,0.798143997992476,0.623,0.453,1,"Vcan","OPCs","PTZvsSAL_1hr","Up"
"Gnas",0.000272101762565789,0.721251155978439,0.258,0.115,1,"Gnas","OPCs","PTZvsSAL_1hr","Up"
"Ubr1",0.000275699654926024,0.731270102433533,0.294,0.146,1,"Ubr1","OPCs","PTZvsSAL_1hr","Up"
"Lamc1",0.000463512116921103,0.913304800734269,0.282,0.146,1,"Lamc1","OPCs","PTZvsSAL_1hr","Up"
"Sema6d",0.000513561458552121,-0.302904194555735,0.905,0.932,1,"Sema6d","OPCs","PTZvsSAL_1hr","Down"
"Adamts6",0.000574958609516328,0.683198290414716,0.455,0.302,1,"Adamts6","OPCs","PTZvsSAL_1hr","Up"
"Peli1",0.000741481462622902,0.757012087608854,0.401,0.271,1,"Peli1","OPCs","PTZvsSAL_1hr","Up"
"Gpcpd1",0.000772907877392771,0.634065455032137,0.377,0.224,1,"Gpcpd1","OPCs","PTZvsSAL_1hr","Up"
"Pcsk2",0.000858911317099048,0.621483365844001,0.277,0.146,1,"Pcsk2","OPCs","PTZvsSAL_1hr","Up"
"Zswim6",0.000919003734073686,0.663972153991195,0.479,0.323,1,"Zswim6","OPCs","PTZvsSAL_1hr","Up"
"Bcan",0.00108728892222353,0.357213417700793,0.766,0.677,1,"Bcan","OPCs","PTZvsSAL_1hr","Up"
"Il1rapl1",0.00124065883883704,0.221352552456126,0.993,0.984,1,"Il1rapl1","OPCs","PTZvsSAL_1hr","Up"
"Gpc6",0.00136617934665032,-0.352191732015351,0.771,0.828,1,"Gpc6","OPCs","PTZvsSAL_1hr","Down"
"Itgav",0.00137099870013107,0.442882186553874,0.44,0.276,1,"Itgav","OPCs","PTZvsSAL_1hr","Up"
"Zfp521",0.00138611802295304,0.625200909051238,0.326,0.188,1,"Zfp521","OPCs","PTZvsSAL_1hr","Up"
"Dock9",0.00139736487845774,0.539278059406598,0.504,0.339,1,"Dock9","OPCs","PTZvsSAL_1hr","Up"
"Hsp90b1",0.00146406671633594,0.684642641345345,0.304,0.177,1,"Hsp90b1","OPCs","PTZvsSAL_1hr","Up"
"Sgk1",0.00149945329638886,0.566913031162241,0.314,0.172,1,"Sgk1","OPCs","PTZvsSAL_1hr","Up"
"Tnr",0.00165317354949338,0.414805925399635,0.9,0.885,1,"Tnr","OPCs","PTZvsSAL_1hr","Up"
"Luc7l2",0.00182923172342941,0.426511376186109,0.606,0.438,1,"Luc7l2","OPCs","PTZvsSAL_1hr","Up"
"Nrxn2",0.00191659386306176,0.493034188239454,0.494,0.323,1,"Nrxn2","OPCs","PTZvsSAL_1hr","Up"
"Tmem178b",0.00195050220630509,0.456210774110035,0.56,0.391,1,"Tmem178b","OPCs","PTZvsSAL_1hr","Up"
"Nav1",0.00211758872529888,0.475992112040154,0.411,0.26,1,"Nav1","OPCs","PTZvsSAL_1hr","Up"
"Inpp4b",0.00242248776388882,-0.738160531363009,0.324,0.411,1,"Inpp4b","OPCs","PTZvsSAL_1hr","Down"
"C1ql1",0.00249297320241834,0.52179296819892,0.336,0.203,1,"C1ql1","OPCs","PTZvsSAL_1hr","Up"
"Olig1",0.00263482507320849,0.734566213055604,0.28,0.161,1,"Olig1","OPCs","PTZvsSAL_1hr","Up"
"Rab28",0.00270849216894045,0.437248770728921,0.353,0.208,1,"Rab28","OPCs","PTZvsSAL_1hr","Up"
"Scd2",0.00290732740530431,0.489831060234252,0.479,0.328,1,"Scd2","OPCs","PTZvsSAL_1hr","Up"
"Bcas1",0.00300994625767874,0.605347745063613,0.358,0.224,1,"Bcas1","OPCs","PTZvsSAL_1hr","Up"
"Dhx15",0.00331607913433035,0.424911260150765,0.319,0.188,1,"Dhx15","OPCs","PTZvsSAL_1hr","Up"
"Fhit",0.00341308380653301,0.524837621561245,0.538,0.396,1,"Fhit","OPCs","PTZvsSAL_1hr","Up"
"AY036118",0.0034856908314539,-0.509536632596054,0.543,0.599,1,"AY036118","OPCs","PTZvsSAL_1hr","Down"
"Pspc1",0.00360374311748389,0.618186084510579,0.287,0.167,1,"Pspc1","OPCs","PTZvsSAL_1hr","Up"
"Ttc14",0.00370991985840482,0.510342522736074,0.372,0.229,1,"Ttc14","OPCs","PTZvsSAL_1hr","Up"
"Gtdc1",0.00448950606804543,0.36434779668058,0.37,0.24,1,"Gtdc1","OPCs","PTZvsSAL_1hr","Up"
"Acap3",0.00475696416402502,0.628979497772505,0.273,0.156,1,"Acap3","OPCs","PTZvsSAL_1hr","Up"
"Luzp2",0.00480202639447826,-0.312685403143128,0.898,0.953,1,"Luzp2","OPCs","PTZvsSAL_1hr","Down"
"Hsp90ab1",0.00483012691927697,-0.790735428974956,0.192,0.276,1,"Hsp90ab1","OPCs","PTZvsSAL_1hr","Down"
"Glce",0.00490655512505152,-0.834171399097853,0.217,0.297,1,"Glce","OPCs","PTZvsSAL_1hr","Down"
"Chl1",0.00508473427465606,0.377056108854086,0.586,0.443,1,"Chl1","OPCs","PTZvsSAL_1hr","Up"
"Setd5",0.00516890902846225,0.384498995323141,0.613,0.464,1,"Setd5","OPCs","PTZvsSAL_1hr","Up"
"Trio",0.00537566818807999,0.401660175856808,0.633,0.505,1,"Trio","OPCs","PTZvsSAL_1hr","Up"
"Notch1",0.00582701262692042,0.539581595988656,0.268,0.156,1,"Notch1","OPCs","PTZvsSAL_1hr","Up"
"Abhd17b",0.00587365800823107,0.7034419914547,0.268,0.161,1,"Abhd17b","OPCs","PTZvsSAL_1hr","Up"
"Ppp3cb",0.0059080940457445,0.461504546023074,0.392,0.255,1,"Ppp3cb","OPCs","PTZvsSAL_1hr","Up"
"Cspg5",0.00593391740876602,0.304598001407506,0.771,0.656,1,"Cspg5","OPCs","PTZvsSAL_1hr","Up"
"Tmem63b",0.00605696270039761,0.687242940277614,0.253,0.151,1,"Tmem63b","OPCs","PTZvsSAL_1hr","Up"
"Nova1",0.00621490771516718,-0.284393027801841,0.779,0.833,1,"Nova1","OPCs","PTZvsSAL_1hr","Down"
"Cplane1",0.00629551968845113,-0.787465621393811,0.263,0.349,1,"Cplane1","OPCs","PTZvsSAL_1hr","Down"
