"","gene","cell_type","24hrvs1hr_PTZ","24hrvs1hr_SAL","PTZvsSAL_1hr","PTZvsSAL_24hr","pattern"
"1","Gm42418","Astrocytes",-1.25993741900617,-0.907229068041141,NA,-0.364440895202421,"Late Downregulation"
"2","Cwc22","Astrocytes",-1.44513010865983,NA,NA,-1.17538540940352,"Late Downregulation"
"3","AY036118","Astrocytes",-0.984425187250955,-1.01161277622326,NA,NA,"Decrease in PTZ"
"4","Cst3","Astrocytes",-1.00096566999972,NA,0.451930853610974,NA,"Increase then Baseline"
"5","Slc1a3","Astrocytes",-0.69503642788376,NA,0.439392231194079,NA,"Increase then Baseline"
"6","Sparcl1","Astrocytes",-0.941515088805939,NA,NA,NA,"Decrease in PTZ"
"7","Azin1","Astrocytes",-1.94106731491775,NA,NA,NA,"Decrease in PTZ"
"8","Gpm6a","Astrocytes",-0.557924240713522,NA,NA,NA,"Decrease in PTZ"
"9","Cpe","Astrocytes",-0.634024582318466,NA,NA,NA,"Decrease in PTZ"
"10","Kcnn2","Astrocytes",-0.876310673107776,NA,NA,NA,"Decrease in PTZ"
"11","Atp1b1","Astrocytes",-0.69813718265029,-0.885604160418674,NA,NA,"Decrease in PTZ"
"12","Tnfaip8","Astrocytes",1.42662855264134,1.53852725009072,NA,NA,"Increase in PTZ"
"13","Mt1","Astrocytes",-2.16002497239185,NA,NA,NA,"Decrease in PTZ"
"14","Frmpd4","Astrocytes",-0.242960481990069,-0.945647758184985,NA,NA,"Decrease in PTZ"
"15","Apoe","Astrocytes",-0.635248348784605,NA,NA,NA,"Decrease in PTZ"
"16","Unc5d","Astrocytes",-0.743665049640086,-1.45145485393596,NA,NA,"Decrease in PTZ"
"17","Slc4a10","Astrocytes",-0.53078846950386,-0.93195613346836,NA,NA,"Decrease in PTZ"
"18","Tuba1a","Astrocytes",-0.624137700475979,-1.22100682703345,NA,NA,"Decrease in PTZ"
"19","Cnksr2","Astrocytes",-0.402718638954518,-0.819232875307853,NA,NA,"Decrease in PTZ"
"20","Scd2","Astrocytes",-0.928790051289823,NA,NA,NA,"Decrease in PTZ"
"21","Dpf3","Astrocytes",1.18793691313407,NA,NA,NA,"Increase in PTZ"
"22","Dpp10","Astrocytes",-0.256114928626034,-0.84640785242,NA,NA,"Decrease in PTZ"
"23","Gja1","Astrocytes",-1.05057520693866,NA,NA,NA,"Decrease in PTZ"
"24","Hcn1","Astrocytes",-0.275843716133303,-0.914066222181807,NA,NA,"Decrease in PTZ"
"25","Snap25","Astrocytes",-0.480047394156451,-0.935982118909226,NA,NA,"Decrease in PTZ"
"26","Snhg11","Astrocytes",-0.141976484508817,-1.11233593603187,NA,NA,"Decrease in PTZ"
"27","Slco1c1","Astrocytes",-0.644285764570186,NA,NA,NA,"Decrease in PTZ"
"28","Asic2","Astrocytes",-0.419758943184038,-0.851487499322889,NA,NA,"Decrease in PTZ"
"29","Cdr1os","Astrocytes",-0.418185498611369,-0.955138107923438,NA,NA,"Decrease in PTZ"
"30","Pik3r3","Astrocytes",1.42956554308691,NA,NA,NA,"Increase in PTZ"
"31","Cntn4","Astrocytes",-0.304277648155166,-1.27005030834258,NA,NA,"Decrease in PTZ"
"32","A230006K03Rik","Astrocytes",-0.539716052263104,-1.26708236855739,NA,NA,"Decrease in PTZ"
"33","Cacna2d1","Astrocytes",-0.34087336520241,-0.625579390332425,NA,NA,"Decrease in PTZ"
"34","Ptbp2","Astrocytes",-0.542157120470985,NA,NA,NA,"Decrease in PTZ"
"35","Mbtd1","Astrocytes",0.920438115384983,NA,NA,NA,"Increase in PTZ"
"36","Scn2a","Astrocytes",-0.421555810144697,-0.863714292873144,NA,NA,"Decrease in PTZ"
"37","Clu","Astrocytes",-0.969577923229746,NA,NA,NA,"Decrease in PTZ"
"38","Kctd16","Astrocytes",-0.410410454320258,-0.903856130779339,NA,NA,"Decrease in PTZ"
"39","Ntrk2","Astrocytes",-0.595974231763901,NA,NA,NA,"Decrease in PTZ"
"40","Celf4","Astrocytes",-0.40478927969437,-0.824386118478815,NA,NA,"Decrease in PTZ"
"41","Mlc1","Astrocytes",-0.856542108245974,NA,NA,NA,"Decrease in PTZ"
"42","Pde1a","Astrocytes",-0.287046438390105,-1.01712696393523,NA,NA,"Decrease in PTZ"
"43","Pou2f1","Astrocytes",0.702287805119743,1.06034093323509,NA,NA,"Increase in PTZ"
"44","Fam222b","Astrocytes",1.04214773427083,NA,NA,NA,"Increase in PTZ"
"45","Grin2a","Astrocytes",-0.241271836117037,-1.02696702903378,NA,NA,"Decrease in PTZ"
"46","Grm3","Astrocytes",0.64619272131492,0.588315639422445,NA,NA,"Increase in PTZ"
"47","Ppia","Astrocytes",-1.48264700384895,-1.84226367965483,NA,NA,"Decrease in PTZ"
"48","Samd4","Astrocytes",0.952104803694142,NA,NA,NA,"Increase in PTZ"
"49","Brinp1","Astrocytes",-0.424435778538808,-0.5755491107554,NA,NA,"Decrease in PTZ"
"50","Tcf7l1","Astrocytes",1.36177668176346,NA,NA,NA,"Increase in PTZ"
"51","Pitpnc1","Astrocytes",0.548904564427018,0.977204783935876,NA,NA,"Increase in PTZ"
"52","Klf7","Astrocytes",0.711098357630881,1.03221822751864,NA,NA,"Increase in PTZ"
"53","Zfp608","Astrocytes",0.669257890812015,NA,NA,NA,"Increase in PTZ"
"54","Ago3","Astrocytes",0.732871453318941,NA,NA,NA,"Increase in PTZ"
"55","Htra1","Astrocytes",-1.15877144507218,NA,NA,NA,"Decrease in PTZ"
"56","Pde10a","Astrocytes",-0.843089275373926,-0.825865524270314,NA,NA,"Decrease in PTZ"
"57","Serinc1","Astrocytes",-1.23844714809181,NA,NA,NA,"Decrease in PTZ"
"58","Ttyh3","Astrocytes",-0.958319211507918,NA,NA,NA,"Decrease in PTZ"
"59","Dalrd3","Astrocytes",0.984172064548139,NA,NA,NA,"Increase in PTZ"
"60","Cd81","Astrocytes",-0.868552077014432,NA,NA,NA,"Decrease in PTZ"
"61","Snrnp70","Astrocytes",0.511337036049388,NA,NA,NA,"Increase in PTZ"
"62","Gm3764","Astrocytes",0.353677385921416,0.548557362826996,NA,NA,"Increase in PTZ"
"63","Cacna1e","Astrocytes",-0.18335772893205,-0.919266671763104,NA,NA,"Decrease in PTZ"
