"","venn_group","gene","comparison","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell_type","Regulation"
"1","Shared","Gm42418","PTZvsSAL_1hr",4.44582873695577e-71,-0.48306769541633,1,1,1.04223563080454e-66,"ExcitatoryNeuronsCA1","Down"
"2","Shared","Gm42418","PTZvsSAL_1hr",4.9074329523167e-37,-0.410720998148956,1,1,1.1504495070116e-32,"ExcitatoryNeuronsCA3","Down"
"3","Shared","Gm42418","PTZvsSAL_1hr",8.82474658484364e-23,-0.410873017927217,1,1,2.06878534188489e-18,"ExcitatoryNeuronsMatureDG","Down"
"4","Shared","AY036118","PTZvsSAL_1hr",6.76339204833392e-58,-0.721792188448518,0.925,0.943,1.58554199789092e-53,"ExcitatoryNeuronsCA1","Down"
"5","Shared","AY036118","PTZvsSAL_1hr",1.08075389406024e-38,-0.697344496239929,0.933,0.962,2.53361135384542e-34,"ExcitatoryNeuronsCA3","Down"
"6","Shared","AY036118","PTZvsSAL_1hr",3.18093186962319e-23,-0.660768404771215,0.857,0.953,7.45705858195764e-19,"ExcitatoryNeuronsMatureDG","Down"
"7","Shared","Ddx5","PTZvsSAL_1hr",1.28550288092248e-35,-0.650245964279953,0.839,0.886,3.01360440374656e-31,"ExcitatoryNeuronsCA1","Down"
"8","Shared","Ddx5","PTZvsSAL_1hr",3.2921664813418e-14,-0.541810783266923,0.878,0.922,7.71782588220958e-10,"ExcitatoryNeuronsCA3","Down"
"9","Shared","Ddx5","PTZvsSAL_1hr",5.99936580689686e-20,-0.641782807156547,0.893,0.938,1.40643132611083e-15,"ExcitatoryNeuronsMatureDG","Down"
"10","Shared","Snhg11","PTZvsSAL_1hr",6.42556853580598e-35,-0.43393755721414,0.994,0.996,1.506346031849e-30,"ExcitatoryNeuronsCA1","Down"
"11","Shared","Snhg11","PTZvsSAL_1hr",3.92114173201861e-14,-0.347861145718362,0.987,0.986,9.19233256237122e-10,"ExcitatoryNeuronsCA3","Down"
"12","Shared","Snhg11","PTZvsSAL_1hr",4.82997552971811e-19,-0.80439991710854,0.5,0.753,1.13229116343182e-14,"ExcitatoryNeuronsMatureDG","Down"
"13","Shared","Snrnp70","PTZvsSAL_1hr",2.82272700655417e-32,-0.796816344267975,0.661,0.749,6.61731892146494e-28,"ExcitatoryNeuronsCA1","Down"
"14","Shared","Snrnp70","PTZvsSAL_1hr",1.10783597209843e-21,-0.761074530018229,0.733,0.818,2.59709986939036e-17,"ExcitatoryNeuronsCA3","Down"
"15","Shared","Snrnp70","PTZvsSAL_1hr",7.45687935077896e-08,-0.514149943556542,0.681,0.727,0.00174811622620311,"ExcitatoryNeuronsMatureDG","Down"
"16","Shared","Tuba1a","PTZvsSAL_1hr",3.74348271163959e-30,-0.702254751852363,0.795,0.902,8.77584652089669e-26,"ExcitatoryNeuronsCA1","Down"
"17","Shared","Tuba1a","PTZvsSAL_1hr",7.97453146459765e-11,-0.507175034563056,0.838,0.908,1.86946941124563e-06,"ExcitatoryNeuronsCA3","Down"
"18","Shared","Tuba1a","PTZvsSAL_1hr",6.78009574375061e-21,-0.793780047358816,0.694,0.857,1.58945784520746e-16,"ExcitatoryNeuronsMatureDG","Down"
"19","Shared","Meg3","PTZvsSAL_1hr",5.40830688642516e-26,-0.266312712963454,1,1,1.26786938338465e-21,"ExcitatoryNeuronsCA1","Down"
"20","Shared","Meg3","PTZvsSAL_1hr",2.46237302287173e-23,-0.316862161532516,1,1,5.77254107751821e-19,"ExcitatoryNeuronsCA3","Down"
"21","Shared","Meg3","PTZvsSAL_1hr",2.23383713444023e-16,-0.614026669718638,0.979,0.982,5.23678439426823e-12,"ExcitatoryNeuronsMatureDG","Down"
"22","Shared","Actb","PTZvsSAL_1hr",8.17693120968728e-26,-0.835446105348661,0.673,0.731,1.91691798348699e-21,"ExcitatoryNeuronsCA1","Down"
"23","Shared","Actb","PTZvsSAL_1hr",8.09798652926941e-12,-0.78896341566147,0.641,0.711,1.89841098205663e-07,"ExcitatoryNeuronsCA3","Down"
"24","Shared","Actb","PTZvsSAL_1hr",1.99412527876751e-07,-0.709265232309274,0.569,0.604,0.00467482789101466,"ExcitatoryNeuronsMatureDG","Down"
"25","Shared","Fhit","PTZvsSAL_1hr",1.54469216854463e-21,0.959731810436197,0.456,0.25,3.62122185071918e-17,"ExcitatoryNeuronsCA1","Up"
"26","Shared","Fhit","PTZvsSAL_1hr",3.21936162765975e-16,0.928235791867003,0.584,0.353,7.54714946372275e-12,"ExcitatoryNeuronsCA3","Up"
"27","Shared","Fhit","PTZvsSAL_1hr",9.0916108162195e-14,1.22380819001768,0.382,0.164,2.13134632364634e-09,"ExcitatoryNeuronsMatureDG","Up"
"28","Shared","Ptprs","PTZvsSAL_1hr",2.2416422524631e-15,-0.43153044971357,0.839,0.831,5.25508193244925e-11,"ExcitatoryNeuronsCA1","Down"
"29","Shared","Ptprs","PTZvsSAL_1hr",4.95925766815634e-10,-0.479340793848026,0.84,0.85,1.16259877514589e-05,"ExcitatoryNeuronsCA3","Down"
"30","Shared","Ptprs","PTZvsSAL_1hr",1.2657285504693e-10,-0.586565208393267,0.636,0.729,2.96724744086519e-06,"ExcitatoryNeuronsMatureDG","Down"
"31","Shared","Son","PTZvsSAL_1hr",1.07025463822837e-12,-0.383262355313903,0.773,0.764,2.50899794839877e-08,"ExcitatoryNeuronsCA1","Down"
"32","Shared","Son","PTZvsSAL_1hr",4.69315850143679e-07,-0.412418732541411,0.801,0.786,0.0110021714749183,"ExcitatoryNeuronsCA3","Down"
"33","Shared","Son","PTZvsSAL_1hr",7.01647560302306e-07,-0.367209297156518,0.765,0.799,0.016448723756167,"ExcitatoryNeuronsMatureDG","Down"
"34","Shared","Pde4d","PTZvsSAL_1hr",1.82527733085594e-07,0.386249979487343,0.889,0.821,0.00427899764672559,"ExcitatoryNeuronsCA1","Up"
"35","Shared","Pde4d","PTZvsSAL_1hr",3.54481917479588e-08,0.341317200124832,0.983,0.986,0.00083101195914739,"ExcitatoryNeuronsCA3","Up"
"36","Shared","Pde4d","PTZvsSAL_1hr",4.57390416038952e-11,-0.489712664467782,0.614,0.779,1.07226035232011e-06,"ExcitatoryNeuronsMatureDG","Down"
"37","Shared","Rian","PTZvsSAL_1hr",3.06533168456923e-07,-0.228006773291498,0.986,0.972,0.00718605706813564,"ExcitatoryNeuronsCA1","Down"
"38","Shared","Rian","PTZvsSAL_1hr",1.9992578295135e-09,-0.247439982571372,0.996,0.996,4.6868601297285e-05,"ExcitatoryNeuronsCA3","Down"
"39","Shared","Rian","PTZvsSAL_1hr",2.00340396346403e-18,-0.679177835536865,0.752,0.896,4.69657991154873e-14,"ExcitatoryNeuronsMatureDG","Down"
"40","Shared","Robo2","PTZvsSAL_1hr",3.77319910116888e-07,0.296663524749242,0.809,0.75,0.00884551065287022,"ExcitatoryNeuronsCA1","Up"
"41","Shared","Robo2","PTZvsSAL_1hr",2.78484268031838e-07,0.343714338198263,0.897,0.858,0.00652850669547038,"ExcitatoryNeuronsCA3","Up"
"42","Shared","Robo2","PTZvsSAL_1hr",3.38210806108437e-07,0.463930653254157,0.876,0.831,0.00792867592760009,"ExcitatoryNeuronsMatureDG","Up"
"43","Shared","Rtl4","PTZvsSAL_1hr",4.91097777340247e-07,0.292980645250251,0.723,0.582,0.0115128051941874,"ExcitatoryNeuronsCA1","Up"
"44","Shared","Rtl4","PTZvsSAL_1hr",1.05045307160998e-08,0.453366235946042,0.755,0.599,0.00024625771357752,"ExcitatoryNeuronsCA3","Up"
"45","Shared","Rtl4","PTZvsSAL_1hr",1.84113978669657e-07,0.646447249912357,0.459,0.271,0.00431618400195277,"ExcitatoryNeuronsMatureDG","Up"
"46","CA3_DG","Ano3","PTZvsSAL_1hr",7.5809003421762e-11,0.763746955195416,0.656,0.501,1.77719046721637e-06,"ExcitatoryNeuronsCA3","Up"
"47","CA3_DG","Ano3","PTZvsSAL_1hr",1.5110611714599e-15,0.88924147269632,0.685,0.445,3.54238070425344e-11,"ExcitatoryNeuronsMatureDG","Up"
"48","CA3_DG","Grin2a","PTZvsSAL_1hr",1.32597108341006e-08,0.234401350452711,0.981,0.968,0.00031084740108382,"ExcitatoryNeuronsCA3","Up"
"49","CA3_DG","Grin2a","PTZvsSAL_1hr",3.9946595447695e-11,0.339000719211028,0.979,0.958,9.36468037080315e-07,"ExcitatoryNeuronsMatureDG","Up"
"50","CA3_DG","Nptx1","PTZvsSAL_1hr",3.66417500596506e-08,0.643711622435889,0.46,0.293,0.00085899254664838,"ExcitatoryNeuronsCA3","Up"
"51","CA3_DG","Nptx1","PTZvsSAL_1hr",2.11793584076069e-07,0.580487603652004,0.373,0.203,0.00496507699149529,"ExcitatoryNeuronsMatureDG","Up"
"52","CA3_DG","Cdk14","PTZvsSAL_1hr",5.88493765895067e-08,0.313559832851345,0.927,0.84,0.00137960593538781,"ExcitatoryNeuronsCA3","Up"
"53","CA3_DG","Cdk14","PTZvsSAL_1hr",1.55001905149644e-10,0.614694905730752,0.723,0.508,3.63370966242311e-06,"ExcitatoryNeuronsMatureDG","Up"
"54","CA3_DG","Slit1","PTZvsSAL_1hr",6.21692072008372e-08,0.500471871066491,0.638,0.483,0.00145743272440923,"ExcitatoryNeuronsCA3","Up"
"55","CA3_DG","Slit1","PTZvsSAL_1hr",2.11954736880666e-13,0.964294379742818,0.469,0.224,4.96885489669345e-09,"ExcitatoryNeuronsMatureDG","Up"
"56","CA3_DG","Cwc22","PTZvsSAL_1hr",7.99933029951536e-08,0.448765641227561,0.829,0.846,0.00187528300211539,"ExcitatoryNeuronsCA3","Up"
"57","CA3_DG","Cwc22","PTZvsSAL_1hr",4.46923010389313e-14,1.16428704097433,0.985,0.927,1.04772161325567e-09,"ExcitatoryNeuronsImmatureDG","Up"
"58","CA3_DG","Cwc22","PTZvsSAL_1hr",5.61211698320955e-13,-0.417809347131403,0.624,0.833,1.31564858437382e-08,"ExcitatoryNeuronsMatureDG","Down"
"59","CA3_DG","Ptprn2","PTZvsSAL_1hr",9.16266574142456e-08,-0.392566333879506,0.882,0.874,0.00214800372976216,"ExcitatoryNeuronsCA3","Down"
"60","CA3_DG","Ptprn2","PTZvsSAL_1hr",4.68040681634021e-10,-0.512300461297889,0.703,0.799,1.09722776995464e-05,"ExcitatoryNeuronsMatureDG","Down"
"61","CA3_DG","Mgat4c","PTZvsSAL_1hr",1.84450897772853e-06,0.225414498874877,0.995,0.994,0.0432408239648898,"ExcitatoryNeuronsCA3","Up"
"62","CA3_DG","Mgat4c","PTZvsSAL_1hr",7.6340667308733e-16,-1.09375457284365,0.237,0.453,1.78965426371863e-11,"ExcitatoryNeuronsMatureDG","Down"
"63","CA1_DG","Kcnh7","PTZvsSAL_1hr",3.21312860987551e-26,0.636481786191429,0.927,0.875,7.53253740013115e-22,"ExcitatoryNeuronsCA1","Up"
"64","CA1_DG","Kcnh7","PTZvsSAL_1hr",5.39125732007871e-12,-0.559079215424528,0.734,0.867,1.26387245354605e-07,"ExcitatoryNeuronsMatureDG","Down"
"65","CA1_DG","Cnksr2","PTZvsSAL_1hr",1.72503609022158e-21,0.48309078278563,0.969,0.921,4.04400210630646e-17,"ExcitatoryNeuronsCA1","Up"
"66","CA1_DG","Cnksr2","PTZvsSAL_1hr",2.1200465865037e-09,0.357438473186089,0.977,0.927,4.97002521274062e-05,"ExcitatoryNeuronsMatureDG","Up"
"67","CA1_DG","Wipf3","PTZvsSAL_1hr",2.92800554397881e-21,0.972976180213505,0.507,0.3,6.86412339674952e-17,"ExcitatoryNeuronsCA1","Up"
"68","CA1_DG","Wipf3","PTZvsSAL_1hr",1.52799436800462e-15,0.944126151935054,0.603,0.344,3.58207719691324e-11,"ExcitatoryNeuronsMatureDG","Up"
"69","CA1_DG","Cacna1c","PTZvsSAL_1hr",1.87372815343965e-20,-0.525968449046111,0.725,0.814,4.39258091010857e-16,"ExcitatoryNeuronsCA1","Down"
"70","CA1_DG","Cacna1c","PTZvsSAL_1hr",2.56809598482099e-08,-0.336537812793733,0.964,0.982,0.00060203874172158,"ExcitatoryNeuronsMatureDG","Down"
"71","CA1_DG","Negr1","PTZvsSAL_1hr",7.51073600891505e-18,-0.633517039875755,0.717,0.818,1.76074184256995e-13,"ExcitatoryNeuronsCA1","Down"
"72","CA1_DG","Negr1","PTZvsSAL_1hr",6.10155765255484e-15,-0.412650299090234,0.993,1,1.43038816048843e-10,"ExcitatoryNeuronsMatureDG","Down"
"73","CA1_DG","Cadm1","PTZvsSAL_1hr",3.85050550035673e-16,-0.434487393848822,0.947,0.971,9.02674004448628e-12,"ExcitatoryNeuronsCA1","Down"
"74","CA1_DG","Cadm1","PTZvsSAL_1hr",9.22781497729318e-11,-0.523255123096281,0.963,0.969,2.16327666512684e-06,"ExcitatoryNeuronsMatureDG","Down"
"75","CA1_DG","Kcnip4","PTZvsSAL_1hr",1.26774509924928e-15,0.38486161363072,0.966,0.957,2.97197483617008e-11,"ExcitatoryNeuronsCA1","Up"
"76","CA1_DG","Kcnip4","PTZvsSAL_1hr",4.43378730079428e-07,0.190362929919183,1,1,0.010394127569252,"ExcitatoryNeuronsMatureDG","Up"
