"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",1.3652617473934e-32,-0.927219574995325,0.99,0.989,3.41957109869626e-28,"Gm42418","Astrocytes","24hrvs1hr_SAL","Down"
"Ubb",7.93713533386376e-20,-3.45481907410871,0.039,0.277,1.98801428707286e-15,"Ubb","Astrocytes","24hrvs1hr_SAL","Down"
"AY036118",1.26942117164804e-14,-1.17774195853982,0.605,0.757,3.17951920862685e-10,"AY036118","Astrocytes","24hrvs1hr_SAL","Down"
"Gm47283",2.36593498435746e-13,-2.01851603613115,0.221,0.458,5.92595735532014e-09,"Gm47283","Astrocytes","24hrvs1hr_SAL","Down"
"Hsp90aa1",6.35346999364867e-13,-2.51382829082467,0.084,0.294,1.59135362930918e-08,"Hsp90aa1","Astrocytes","24hrvs1hr_SAL","Down"
"Wdr17",1.04030071947343e-12,0.760048815030514,0.935,0.802,2.60564121206509e-08,"Wdr17","Astrocytes","24hrvs1hr_SAL","Up"
"Tubb2a",3.24951964853195e-11,-1.920657299541,0.172,0.384,8.13907186367798e-07,"Tubb2a","Astrocytes","24hrvs1hr_SAL","Down"
"Ckb",4.94937923442553e-11,-1.50266513292971,0.284,0.508,1.23967101684656e-06,"Ckb","Astrocytes","24hrvs1hr_SAL","Down"
"Tuba1a",6.13750353765948e-11,-1.56231015409491,0.333,0.52,1.53726051107757e-06,"Tuba1a","Astrocytes","24hrvs1hr_SAL","Down"
"Hspa8",7.53546437232444e-11,-1.81128535701217,0.17,0.384,1.8874077613361e-06,"Hspa8","Astrocytes","24hrvs1hr_SAL","Down"
"Tubb2b",5.4287790838126e-10,-2.05926251175038,0.168,0.362,1.35974629712254e-05,"Tubb2b","Astrocytes","24hrvs1hr_SAL","Down"
"Mir9-3hg",1.04824681679393e-09,0.838551757908711,0.728,0.463,2.62554380202375e-05,"Mir9-3hg","Astrocytes","24hrvs1hr_SAL","Up"
"Gm3764",2.96636026291516e-09,0.491740216615707,0.965,0.91,7.42984255052361e-05,"Gm3764","Astrocytes","24hrvs1hr_SAL","Up"
"Pitpnc1",3.30268412826308e-09,0.903701005174526,0.703,0.452,8.27223293606053e-05,"Pitpnc1","Astrocytes","24hrvs1hr_SAL","Up"
"Mir100hg",5.16462906645989e-09,0.528423943395384,0.963,0.859,0.000129358464227621,"Mir100hg","Astrocytes","24hrvs1hr_SAL","Up"
"Nckap5",1.52682854679186e-08,0.502680783170835,0.941,0.797,0.000382424746114958,"Nckap5","Astrocytes","24hrvs1hr_SAL","Up"
"Msi2",1.55419315213444e-08,0.59266233767623,0.928,0.734,0.000389278758815112,"Msi2","Astrocytes","24hrvs1hr_SAL","Up"
"Rora",1.8652854581355e-08,0.499817536592538,0.951,0.87,0.000467198048699198,"Rora","Astrocytes","24hrvs1hr_SAL","Up"
"Gm11266",1.96187629930401e-08,1.29216238710568,0.395,0.147,0.000491391156686676,"Gm11266","Astrocytes","24hrvs1hr_SAL","Up"
"Stox2",2.10149509395372e-08,0.636545820236774,0.861,0.638,0.000526361476182587,"Stox2","Astrocytes","24hrvs1hr_SAL","Up"
"Rgs20",2.78001455680108e-08,0.678538348438625,0.771,0.492,0.000696310246041968,"Rgs20","Astrocytes","24hrvs1hr_SAL","Up"
"Actg1",2.81873755503988e-08,-1.84984096198685,0.155,0.328,0.000706009195410839,"Actg1","Astrocytes","24hrvs1hr_SAL","Down"
