"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",5.93415398236871e-34,-1.58129067484818,0.382,0.757,1.48632754796389e-29,"Cwc22","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Co3",6.20991024735561e-15,1.07265046745093,0.698,0.466,1.55539621965516e-10,"mt-Co3","Astrocytes","PTZvsSAL_24hr","Up"
"Gm42418",4.84989802677599e-12,-0.413704579007668,0.967,0.99,1.21475395876658e-07,"Gm42418","Astrocytes","PTZvsSAL_24hr","Down"
"Gm47283",6.96973520272692e-11,1.30895000326417,0.413,0.221,1.74570957622701e-06,"Gm47283","Astrocytes","PTZvsSAL_24hr","Up"
"mt-Co2",8.92102013934987e-11,1.1291552031756,0.593,0.403,2.23444791430296e-06,"mt-Co2","Astrocytes","PTZvsSAL_24hr","Up"
"Wdr17",2.92529861063611e-10,-0.436544043150667,0.853,0.935,7.32699543006027e-06,"Wdr17","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Atp6",3.53220814416369e-10,0.997604000764849,0.596,0.407,8.8471217386868e-06,"mt-Atp6","Astrocytes","PTZvsSAL_24hr","Up"
"Camk1d",5.96622416340128e-09,-0.669163345750717,0.532,0.691,0.000149436016620712,"Camk1d","Astrocytes","PTZvsSAL_24hr","Down"
"mt-Nd2",1.49282153125922e-08,1.10216616093672,0.418,0.247,0.000373907008934496,"mt-Nd2","Astrocytes","PTZvsSAL_24hr","Up"
"mt-Nd1",5.96150722926989e-08,1.08452906424692,0.482,0.325,0.00149317871571523,"mt-Nd1","Astrocytes","PTZvsSAL_24hr","Up"
"mt-Co1",1.12776463765565e-07,1.0062153762545,0.526,0.382,0.0028247120879361,"mt-Co1","Astrocytes","PTZvsSAL_24hr","Up"
"Sema6d",3.25828159931563e-07,-0.450321986112011,0.875,0.898,0.00816101792180587,"Sema6d","Astrocytes","PTZvsSAL_24hr","Down"
