"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",2.73779502949975e-68,-1.27165951008376,0.908,0.985,6.85735521038803e-64,"Gm42418","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Cwc22",9.50541579776908e-46,-1.88802286368077,0.469,0.811,2.38082149486722e-41,"Cwc22","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"AY036118",3.92198784017641e-20,-1.35393210773599,0.334,0.584,9.82340294328985e-16,"AY036118","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Tuba1a",7.25507383424393e-12,-0.816982783329259,0.6,0.74,1.81717834326308e-07,"Tuba1a","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Arpp21",1.35382145778775e-10,0.865491593797661,0.552,0.326,3.39091660532098e-06,"Arpp21","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Sh3gl2",2.39768021476286e-10,1.4495088563026,0.325,0.132,6.00546963391654e-06,"Sh3gl2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Mef2c",5.00446509730844e-10,1.08058037035464,0.393,0.186,1.25346837292284e-05,"Mef2c","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"9330159F19Rik",5.45770810897548e-10,1.08215541249967,0.389,0.18,1.36699215005509e-05,"9330159F19Rik","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Zeb2",8.91926466980892e-09,0.465265553576529,0.895,0.769,0.000223400822184704,"Zeb2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Shisa9",1.14183286807194e-08,0.992482676035602,0.448,0.254,0.000285994878465979,"Shisa9","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Gm4258",2.01676133664233e-08,1.05782247205055,0.338,0.15,0.000505138211988804,"Gm4258","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Chl1",4.32106531758211e-08,0.700408901902574,0.448,0.249,0.00108229723009479,"Chl1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Jakmip2",4.39594905854399e-08,0.743067090379722,0.544,0.344,0.00110105336069351,"Jakmip2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Ptbp2",5.9610151832884e-08,-0.593636515946364,0.71,0.76,0.00149305547295825,"Ptbp2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Igfbpl1",6.96854330574846e-08,-0.702286558879068,0.533,0.65,0.00174541104179082,"Igfbpl1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Rufy3",8.74104193775748e-08,1.05721974078522,0.345,0.171,0.00218936877415012,"Rufy3","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Cpt1c",8.87108676833923e-08,0.999196717939389,0.349,0.171,0.00222194110286593,"Cpt1c","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Nr3c2",1.51868287045317e-07,0.553191576001854,0.668,0.506,0.00380384498562405,"Nr3c2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Tubb2b",1.78609708913194e-07,-1.05523088181895,0.345,0.464,0.00447363737914878,"Tubb2b","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Actg1",1.98590844425445e-07,-1.17688971278159,0.19,0.326,0.00497410488032413,"Actg1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Fat4",2.59140615389979e-07,0.765493974627451,0.393,0.219,0.00649069499367279,"Fat4","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Cdh11",4.0929512535701e-07,1.13892556343423,0.304,0.15,0.010251615004817,"Cdh11","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Tafa2",6.4760569837278e-07,0.80779051753509,0.533,0.377,0.016220579927143,"Tafa2","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Hnrnph1",6.61128098286995e-07,-0.709570383350076,0.494,0.608,0.0165592754777944,"Hnrnph1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Down"
"Epc1",9.95655512829948e-07,0.728831395865589,0.367,0.192,0.0249381836298517,"Epc1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Pabpn1",1.45475401086057e-06,0.550717486618957,0.561,0.353,0.0364372237100247,"Pabpn1","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
"Btbd9",1.71279224321244e-06,0.680127968950105,0.493,0.32,0.0429003073157421,"Btbd9","ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ","Up"
