"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",1.50713336650896e-78,-1.00500736762536,0.997,0.997,3.77491694309499e-74,"Gm42418","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down"
"AY036118",1.67204145916394e-45,-1.38055197440165,0.725,0.859,4.18796224276791e-41,"AY036118","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down"
"Sema6d",6.1013498713112e-26,0.804445674544814,0.952,0.664,1.52820510226732e-21,"Sema6d","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Rbfox1",5.86050489063272e-24,0.47994792742904,0.995,0.987,1.46788065995678e-19,"Rbfox1","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Ctnna2",8.13052570987523e-23,0.562416498593225,0.998,0.924,2.03645277455245e-18,"Ctnna2","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Tuba1a",5.54339394362405e-21,-1.32722444601585,0.644,0.74,1.38845388105952e-16,"Tuba1a","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down"
"Zfp385b",8.13358578233841e-21,1.11688805469197,0.615,0.263,2.0372192309023e-16,"Zfp385b","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Gm4258",3.46971436772849e-20,1.3424402117781,0.479,0.167,8.69059357684954e-16,"Gm4258","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Eps8",1.18847632413382e-19,1.0254792275774,0.557,0.211,2.97677664905798e-15,"Eps8","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Lin7a",1.60277896552387e-19,1.0779890604023,0.533,0.211,4.01448047494764e-15,"Lin7a","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Lsamp",1.84388174095351e-19,0.277109059236288,1,1,4.61837059656624e-15,"Lsamp","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"mt-Co3",1.10011425404073e-18,-0.941435733960973,0.505,0.688,2.75545617209582e-14,"mt-Co3","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down"
"Dab1",3.78011828687701e-18,0.308234901968996,1,1,9.46806227314085e-14,"Dab1","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Gm47283",4.05096425060088e-18,-1.75795017934929,0.426,0.555,1.014645015848e-13,"Gm47283","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down"
"Actb",8.77298825432859e-18,-1.37796692718219,0.469,0.607,2.19737036806168e-13,"Actb","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Down"
"Zfp536",3.94503652440873e-17,0.685349048041404,0.836,0.521,9.88113298268654e-13,"Zfp536","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Chrm3",4.18764172415947e-17,0.812372707491396,0.643,0.302,1.04887862265022e-12,"Chrm3","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Pcdh15",5.45192343161965e-17,0.703751490276323,0.885,0.576,1.36554326191777e-12,"Pcdh15","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Plppr1",9.50116460212454e-17,0.683247711268982,0.846,0.549,2.37975669789413e-12,"Plppr1","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Robo1",1.94441778322153e-16,0.651495508120417,0.939,0.719,4.87018322163495e-12,"Robo1","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Ptpro",2.50760961229949e-16,0.589656822048629,0.852,0.552,6.28080979592652e-12,"Ptpro","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Pak7",3.29887022650615e-16,0.624597179459233,0.851,0.549,8.26268025632994e-12,"Pak7","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Sorcs2",3.71298016384253e-16,0.686629006884951,0.707,0.352,9.29990141637639e-12,"Sorcs2","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Usp29",4.29305181504646e-16,0.67543377044959,0.687,0.336,1.07528068811469e-11,"Usp29","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Foxn3",1.48719566858934e-15,0.588908894589632,0.769,0.411,3.72497899111571e-11,"Foxn3","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Bach2",1.49638323852034e-15,0.921671842424888,0.49,0.201,3.7479910975219e-11,"Bach2","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Elovl6",3.50998697757964e-15,1.35359760269549,0.37,0.122,8.79146438274374e-11,"Elovl6","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
