"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",3.36796345124752e-98,-2.13168729697089,0.576,0.96,8.43573805633966e-94,"Cwc22","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Gm42418",3.3350360746677e-81,-0.984916046084632,0.991,1,8.35326485622018e-77,"Gm42418","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Malat1",3.32937138688754e-27,0.541332820595731,1,1,8.33907651273722e-23,"Malat1","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Cpt1c",1.32134302737501e-25,1.47191773393501,0.712,0.421,3.30956788066618e-21,"Cpt1c","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"AY036118",2.55637669590372e-24,-0.696079051628509,0.831,0.94,6.40295671023004e-20,"AY036118","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Meg3",4.74116190137141e-23,0.341708574036252,1,1,1.1875188214365e-18,"Meg3","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ntm",1.36560978887396e-22,0.64696505784521,0.974,0.932,3.4204428381926e-18,"Ntm","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Tubb2b",2.32685747045916e-22,-0.980318391983157,0.614,0.863,5.82807990625905e-18,"Tubb2b","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Tuba1a",9.70615352550939e-20,-0.715687392217456,0.869,0.968,2.43110027353434e-15,"Tuba1a","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Nrxn1",1.04062836629118e-18,-0.256618870819743,1,1,2.60646186904952e-14,"Nrxn1","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Dalrd3",7.68491441508016e-17,1.20587638317348,0.63,0.404,1.92484051354513e-12,"Dalrd3","L45ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
