"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",5.37690418311566e-97,-0.966860787438374,0.998,1,1.34675319074498e-92,"Gm42418","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Gm47283",9.19918236565732e-91,-2.46918441947029,0.701,0.874,2.30411920712619e-86,"Gm47283","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Tuba1a",9.67195774680339e-90,-2.0529527450958,0.886,0.959,2.42253525684184e-85,"Tuba1a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Tubb2b",2.07923897957626e-64,-2.40083656799489,0.486,0.79,5.20786987214466e-60,"Tubb2b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"AY036118",7.67512183789779e-62,-1.29320494477739,0.905,0.924,1.92238776673826e-57,"AY036118","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Ntm",1.58947741830809e-60,1.04438994419651,0.997,0.879,3.98116408963627e-56,"Ntm","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tubb5",7.81518221520002e-52,-1.86156813057777,0.642,0.801,1.95746868944115e-47,"Tubb5","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Tubb2a",5.97628051094463e-49,-1.81118729279731,0.62,0.792,1.4968789795763e-44,"Tubb2a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Cwc22",4.81632757659788e-44,0.9933571715305,0.957,0.669,1.20634556811047e-39,"Cwc22","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Actb",9.3275564245703e-42,-1.94921445094924,0.515,0.71,2.33627305766212e-37,"Actb","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"mt-Co3",1.39772718898853e-39,-1.32884461467759,0.648,0.799,3.50088729025956e-35,"mt-Co3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Ubb",2.9359518663858e-39,-3.12634044340804,0.155,0.463,7.35367863973651e-35,"Ubb","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Grm3",8.06537441675567e-38,1.50279260674916,0.71,0.312,2.02013433016479e-33,"Grm3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Actg1",2.08336520306881e-32,-1.88420977235296,0.451,0.647,5.21820482412645e-28,"Actg1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Dpp10",7.26087135311644e-32,0.899420043650104,0.988,0.909,1.81863044781507e-27,"Dpp10","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Upp2",1.99801713370801e-31,1.58802333585941,0.535,0.16,5.00443351479845e-27,"Upp2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Phactr1",5.12643398918951e-30,0.586270875801082,0.995,0.913,1.2840179212723e-25,"Phactr1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"mt-Co1",1.67367578313517e-29,-1.52561677139439,0.489,0.669,4.19205573401866e-25,"mt-Co1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Hspa8",2.45463889343306e-29,-1.54797007871053,0.559,0.71,6.14813403638179e-25,"Hspa8","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Dleu2",4.26817950008483e-29,1.23203429430612,0.532,0.169,1.06905091938625e-24,"Dleu2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
