"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cwc22",4.46602409917402e-53,-1.20064471512896,0.576,0.957,1.11860505612012e-48,"Cwc22","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"mt-Co3",4.42927056177505e-36,1.44034509081247,0.838,0.648,1.1093993976078e-31,"mt-Co3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"mt-Nd1",2.0793533209401e-33,1.87776098249475,0.684,0.428,5.20815626295868e-29,"mt-Nd1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"mt-Co2",1.97798000718082e-23,1.37843993083242,0.735,0.584,4.95424652398581e-19,"mt-Co2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"mt-Atp6",6.63153962624717e-22,1.28751517345732,0.719,0.566,1.66100173018613e-17,"mt-Atp6","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"mt-Cytb",1.65566932552525e-19,1.39363376446898,0.546,0.335,4.1469549596431e-15,"mt-Cytb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Gm42418",3.69025632101662e-19,-0.345865746196822,0.991,0.998,9.24298500725032e-15,"Gm42418","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"mt-Co1",6.06925637255701e-19,1.29122211595787,0.656,0.489,1.52016664363435e-14,"mt-Co1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Fat3",1.07384197096942e-16,-0.774529169087489,0.562,0.803,2.68965198468711e-12,"Fat3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Pcdh17",1.45521730173773e-16,-1.20305943086236,0.333,0.582,3.64488277566249e-12,"Pcdh17","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Tuba1a",1.63636123017575e-15,1.0052616748332,0.869,0.886,4.09859397322121e-11,"Tuba1a","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Mkx",1.86380305537083e-15,-1.4876049598314,0.143,0.361,4.66826751278732e-11,"Mkx","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Klhl29",5.11983048766335e-15,-1.02155643556001,0.445,0.668,1.28236394224504e-10,"Klhl29","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Dab1",6.30111892771666e-13,0.314502883895882,1,0.966,1.57824125782519e-08,"Dab1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Slc35f4",9.33381644417086e-13,-0.774712358329601,0.382,0.622,2.33784100477148e-08,"Slc35f4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Nlgn1",9.53064623937806e-13,-0.332687951944858,0.974,0.998,2.38714096357702e-08,"Nlgn1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Egfem1",1.45083032129204e-12,0.488213712222634,0.948,0.896,3.63389470574017e-08,"Egfem1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Pbx3",1.46272262260167e-12,1.27092284803351,0.445,0.259,3.6636813528304e-08,"Pbx3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Pex5l",1.82375023823297e-12,-0.801754077803791,0.457,0.7,4.56794722170211e-08,"Pex5l","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Edil3",2.90722954713311e-12,0.778690581248751,0.78,0.727,7.2817378467043e-08,"Edil3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Snhg11",3.52709632415932e-12,-0.360605676199752,0.803,0.973,8.83431816312185e-08,"Snhg11","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
