"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",1.26118195693604e-53,-1.1390754154839,0.93,0.993,3.15888244753769e-49,"Gm42418","OPCs","24hrvs1hr_PTZ","Down"
"Cwc22",6.02186854209157e-35,-2.07460025730974,0.353,0.71,1.50829741373768e-30,"Cwc22","OPCs","24hrvs1hr_PTZ","Down"
"Ptprz1",1.01386833695761e-15,-0.466009433031786,0.997,0.995,2.53943602357773e-11,"Ptprz1","OPCs","24hrvs1hr_PTZ","Down"
"C430049B03Rik",6.76881152894952e-12,1.60626273092396,0.362,0.146,1.69538422365599e-07,"C430049B03Rik","OPCs","24hrvs1hr_PTZ","Up"
"Usp24",4.21972305072602e-10,-0.572739570370534,0.76,0.893,1.05691403251535e-05,"Usp24","OPCs","24hrvs1hr_PTZ","Down"
"Tcf4",2.76729551784624e-09,0.412381888128881,0.957,0.929,6.93124508354948e-05,"Tcf4","OPCs","24hrvs1hr_PTZ","Up"
"Cpt1c",4.48470598812504e-09,1.20138124385163,0.337,0.151,0.000112328430884568,"Cpt1c","OPCs","24hrvs1hr_PTZ","Up"
"Zeb2",5.49425775157625e-09,0.709364137864945,0.669,0.455,0.00013761467390373,"Zeb2","OPCs","24hrvs1hr_PTZ","Up"
"Pitpnc1",1.5369051419773e-08,0.856786356898052,0.538,0.331,0.000384948630911053,"Pitpnc1","OPCs","24hrvs1hr_PTZ","Up"
"Slc22a17",1.63371660152963e-08,-0.931302892049186,0.356,0.518,0.000409196997185127,"Slc22a17","OPCs","24hrvs1hr_PTZ","Down"
"Gpc5",2.10575602976048e-08,-0.406209541764743,0.921,0.932,0.000527428712774108,"Gpc5","OPCs","24hrvs1hr_PTZ","Down"
"Scd2",4.53330914251322e-08,-0.899220867689176,0.304,0.479,0.00113545794092529,"Scd2","OPCs","24hrvs1hr_PTZ","Down"
"Sulf2",8.90192564985778e-08,-0.782473663505413,0.371,0.543,0.00222966531751988,"Sulf2","OPCs","24hrvs1hr_PTZ","Down"
"Znrf1",1.00341958900835e-07,1.17090591347574,0.274,0.117,0.00251326504458921,"Znrf1","OPCs","24hrvs1hr_PTZ","Up"
"Pid1",1.78439062573499e-07,0.557007189521369,0.796,0.676,0.00446936320027842,"Pid1","OPCs","24hrvs1hr_PTZ","Up"
"Zfp536",5.17197006057288e-07,0.832575785610453,0.395,0.221,0.0129542334107169,"Zfp536","OPCs","24hrvs1hr_PTZ","Up"
"Usp29",6.31359884461487e-07,1.14161181538818,0.264,0.119,0.0158136710261069,"Usp29","OPCs","24hrvs1hr_PTZ","Up"
"Cspg4",7.12817233626841e-07,-0.704718903410738,0.435,0.579,0.0178539332506515,"Cspg4","OPCs","24hrvs1hr_PTZ","Down"
"Samd4",7.36205611228792e-07,0.910748862439312,0.359,0.19,0.0184397419444476,"Samd4","OPCs","24hrvs1hr_PTZ","Up"
"Mllt3",7.46634060657719e-07,0.744008770928496,0.477,0.297,0.0187009433172939,"Mllt3","OPCs","24hrvs1hr_PTZ","Up"
