"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",1.08574429501754e-24,-0.781192747880773,0.979,0.99,2.71946373573042e-20,"Gm42418","OPCs","24hrvs1hr_SAL","Down"
"mt-Co3",1.54679661376886e-14,-1.14921368778862,0.453,0.714,3.87426147850687e-10,"mt-Co3","OPCs","24hrvs1hr_SAL","Down"
"Pcsk2",1.14057409658324e-09,1.23179654314733,0.415,0.146,2.85679593971205e-05,"Pcsk2","OPCs","24hrvs1hr_SAL","Up"
"mt-Co1",6.34722275682463e-09,-1.17995215427073,0.345,0.542,0.000158978888390186,"mt-Co1","OPCs","24hrvs1hr_SAL","Down"
"Gm47283",8.33415949811613e-09,-1.61937470799121,0.28,0.448,0.000208745692949315,"Gm47283","OPCs","24hrvs1hr_SAL","Down"
"Camk1d",9.04108066792644e-09,0.807126020419905,0.658,0.359,0.000226451947489554,"Camk1d","OPCs","24hrvs1hr_SAL","Up"
"Gm4258",2.17329515744719e-08,0.887579051904804,0.611,0.312,0.000544345238085797,"Gm4258","OPCs","24hrvs1hr_SAL","Up"
"Hsp90ab1",6.77130279491351e-08,-1.7959240969516,0.111,0.276,0.00169600821104199,"Hsp90ab1","OPCs","24hrvs1hr_SAL","Down"
"AY036118",1.07904270964437e-07,-1.02177215136711,0.49,0.599,0.00270267827484624,"AY036118","OPCs","24hrvs1hr_SAL","Down"
"Qk",1.20005970131239e-07,-0.443798520754581,0.987,0.984,0.00300578953387715,"Qk","OPCs","24hrvs1hr_SAL","Down"
"Brinp3",1.271049392695e-07,-0.529733489924674,0.951,0.948,0.00318359741388315,"Brinp3","OPCs","24hrvs1hr_SAL","Down"
"Tuba1a",2.2537571178119e-07,-1.31777618153688,0.313,0.464,0.00564498545298346,"Tuba1a","OPCs","24hrvs1hr_SAL","Down"
"Cwc22",3.91017467809921e-07,0.700675227238722,0.72,0.505,0.00979381451623509,"Cwc22","OPCs","24hrvs1hr_SAL","Up"
"Pacs1",8.73599708702576e-07,1.36193884562374,0.313,0.115,0.0218810519038734,"Pacs1","OPCs","24hrvs1hr_SAL","Up"
"Eml6",9.92948296916888e-07,0.988213197764911,0.342,0.135,0.0248703759928773,"Eml6","OPCs","24hrvs1hr_SAL","Up"
"Ubr1",9.96357382425918e-07,0.872991882986701,0.365,0.146,0.024955763357622,"Ubr1","OPCs","24hrvs1hr_SAL","Up"
"Dpysl3",1.23745805784051e-06,1.19686672818376,0.352,0.146,0.0309946119747311,"Dpysl3","OPCs","24hrvs1hr_SAL","Up"
"Trim24",1.34795773441512e-06,1.01101116887563,0.368,0.156,0.0337622973738956,"Trim24","OPCs","24hrvs1hr_SAL","Up"
"Cdc14a",1.48002389287246e-06,1.28928522110766,0.293,0.104,0.0370701584447765,"Cdc14a","OPCs","24hrvs1hr_SAL","Up"
"Scn8a",1.67092522864537e-06,0.776466626374199,0.358,0.146,0.0418516642018805,"Scn8a","OPCs","24hrvs1hr_SAL","Up"
