"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","5/28","100/17643",4.68661176039968e-07,0.000279322060919821,0.000237290553342342,"Ddx5/Snrnp70/Son/Malat1/Khdrbs3",5
"GO:0050684","GO:0050684","regulation of mRNA processing","5/28","124/17643",1.36538430100596e-06,0.000361201963074743,0.000306849424653747,"Ddx5/Snrnp70/Son/Malat1/Khdrbs3",5
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","6/28","264/17643",3.03021781102973e-06,0.000361201963074743,0.000306849424653747,"Ddx5/Snrnp70/Son/Malat1/Srrm2/Khdrbs3",6
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","6/28","264/17643",3.03021781102973e-06,0.000361201963074743,0.000306849424653747,"Ddx5/Snrnp70/Son/Malat1/Srrm2/Khdrbs3",6
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","6/28","264/17643",3.03021781102973e-06,0.000361201963074743,0.000306849424653747,"Ddx5/Snrnp70/Son/Malat1/Srrm2/Khdrbs3",6
"GO:0043484","GO:0043484","regulation of RNA splicing","5/28","171/17643",6.61779410422147e-06,0.000657367547685999,0.000558448941075531,"Ddx5/Snrnp70/Son/Malat1/Khdrbs3",5
"GO:0021987","GO:0021987","cerebral cortex development","4/28","117/17643",3.32565706703553e-05,0.0026142711631294,0.00222088383868817,"Tuba1a/Tubb2b/Tubb2a/Ptprs",4
"GO:0008380","GO:0008380","RNA splicing","6/28","406/17643",3.50908880956966e-05,0.0026142711631294,0.00222088383868817,"Ddx5/Snrnp70/Son/Malat1/Srrm2/Khdrbs3",6
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","5/28","275/17643",6.49915738415519e-05,0.00389748196317614,0.00331100110259223,"Ddx5/Snrnp70/Son/Malat1/Khdrbs3",5
"GO:0006397","GO:0006397","mRNA processing","6/28","454/17643",6.53939926707406e-05,0.00389748196317614,0.00331100110259223,"Ddx5/Snrnp70/Son/Malat1/Srrm2/Khdrbs3",6
"GO:0000381","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","3/28","56/17643",9.37956123719848e-05,0.00471696163533545,0.00400716804414757,"Ddx5/Malat1/Khdrbs3",3
"GO:0050807","GO:0050807","regulation of synapse organization","5/28","298/17643",9.49723819195058e-05,0.00471696163533545,0.00400716804414757,"Malat1/Tuba1a/Ptprs/Tubb5/Camkv",5
"GO:0050803","GO:0050803","regulation of synapse structure or activity","5/28","306/17643",0.000107575299078097,0.00493191371158045,0.00418977480619957,"Malat1/Tuba1a/Ptprs/Tubb5/Camkv",5
"GO:0021543","GO:0021543","pallium development","4/28","175/17643",0.000158985424038646,0.00676823662335951,0.00574977360620969,"Tuba1a/Tubb2b/Tubb2a/Ptprs",4
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","3/28","74/17643",0.000215191464998691,0.00813670040440483,0.00691231524994476,"Ddx5/Malat1/Khdrbs3",3
"GO:0045176","GO:0045176","apical protein localization","2/28","14/17643",0.000218434910185365,0.00813670040440483,0.00691231524994476,"Actb/Hcn1",2
"GO:0150105","GO:0150105","protein localization to cell-cell junction","2/28","24/17643",0.000656033676108798,0.0229997688800496,0.0195388358023735,"Actg1/Actb",2
"GO:0021537","GO:0021537","telencephalon development","4/28","260/17643",0.000714197222407159,0.0236478635863704,0.0200894072501663,"Tuba1a/Tubb2b/Tubb2a/Ptprs",4
"GO:1900242","GO:1900242","regulation of synaptic vesicle endocytosis","2/28","28/17643",0.000894961559650848,0.0280735310290477,0.0238491141380642,"Actg1/Actb",2
"GO:0070633","GO:0070633","transepithelial transport","2/28","29/17643",0.000960312507608544,0.0286173127267346,0.0243110692715637,"Actg1/Actb",2
"GO:1903421","GO:1903421","regulation of synaptic vesicle recycling","2/28","37/17643",0.00156298134855493,0.0443588992256541,0.0376839112107729,"Actg1/Actb",2
