"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","GO:0007409","axonogenesis","42/326","456/17643",6.61094355418702e-18,2.35878466013393e-14,1.90255996601551e-14,"Slit3/Chl1/Zeb2/Plxna4/Rufy3/Dpysl5/Cacna1a/Foxp1/Ephb2/Flrt2/Dab1/D130043K22Rik/Map1b/Dnm2/Kif5a/Bcl11b/Ablim1/Lrp1/Dscaml1/Ulk2/Trim46/Ntng2/Lmo4/Sema6d/Myo5b/Ntrk3/Macf1/Ptpro/Dscam/L1cam/Sema4d/Epha4/Sema3e/Fgf13/Mapt/Apc/Cntn5/Mef2c/Nrp2/Alcam/Gsk3b/Nfix",42
"GO:0048588","GO:0048588","developmental cell growth","30/326","270/17643",3.06373701604246e-15,5.46570683661975e-12,4.40855631676847e-12,"Slit3/Zeb2/Plxna4/Rufy3/Nr3c1/Foxp1/Rasal1/D130043K22Rik/Map1b/Tmem108/Dnm2/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Fgf13/Mapt/Akap13/Nrp2/Sorbs2/Gsk3b/Nfix/Unc13a",30
"GO:0031345","GO:0031345","negative regulation of cell projection organization","25/326","213/17643",1.94873166693489e-13,1.95690466269736e-10,1.57840964946146e-10,"Grin2b/Rufy3/Dpysl5/Xylt1/Ephb2/Dab1/Rap1gap2/Ntm/Mylip/D130043K22Rik/Dnm2/Dpysl3/Dtnbp1/Lrp1/Ulk2/Ube3a/Trim46/Sema6d/Sema4d/Epha4/Sema3e/Fgf13/Dnm3/Gsk3b/Map4k4",25
"GO:0010977","GO:0010977","negative regulation of neuron projection development","22/326","160/17643",2.19383930795668e-13,1.95690466269736e-10,1.57840964946146e-10,"Rufy3/Xylt1/Ephb2/Dab1/Rap1gap2/Ntm/Mylip/D130043K22Rik/Dpysl3/Dtnbp1/Lrp1/Ulk2/Ube3a/Trim46/Sema6d/Sema4d/Epha4/Sema3e/Fgf13/Dnm3/Gsk3b/Map4k4",22
"GO:0050770","GO:0050770","regulation of axonogenesis","23/326","181/17643",3.40313995547188e-13,2.42848067222473e-10,1.95877571331792e-10,"Zeb2/Plxna4/Rufy3/Cacna1a/Ephb2/Dab1/D130043K22Rik/Map1b/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Epha4/Sema3e/Fgf13/Mapt/Gsk3b",23
"GO:0048675","GO:0048675","axon extension","20/326","135/17643",6.65825585827402e-13,3.95944281705362e-10,3.19362658184582e-10,"Slit3/Plxna4/Rufy3/D130043K22Rik/Map1b/Dnm2/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Mapt/Nrp2/Gsk3b",20
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","27/326","273/17643",1.31642609865402e-12,6.06921751453063e-10,4.89533888503857e-10,"Slit3/Zeb2/Plxna4/Rufy3/Rasal1/D130043K22Rik/Map1b/Tmem108/Dnm2/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Kif26b/Fgf13/Mapt/Nrp2/Gsk3b/Nfix/Unc13a",27
"GO:0048638","GO:0048638","regulation of developmental growth","31/326","363/17643",1.3608111019127e-12,6.06921751453063e-10,4.89533888503857e-10,"Nrg1/Plxna4/Rufy3/Nr3c1/Foxp1/Rasal1/D130043K22Rik/Map1b/Dnm2/Wwc1/Vgll4/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Fgfr1/Fgf13/Mapt/Tgfbr1/Apc/Mef2c/Gsk3b/Unc13a/Prox1",31
"GO:0061387","GO:0061387","regulation of extent of cell growth","19/326","125/17643",1.58509367826647e-12,6.28401582672752e-10,5.06859194898308e-10,"Plxna4/Rufy3/D130043K22Rik/Map1b/Dnm2/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Fgf13/Mapt/Gsk3b",19
"GO:0016049","GO:0016049","cell growth","36/326","494/17643",2.16180759307042e-12,7.71332949207525e-10,6.22145469416265e-10,"Slit3/Nrg1/Bcl6/Zeb2/Plxna4/Rufy3/Nr3c1/Foxp1/Fhl1/Rasal1/D130043K22Rik/Map1b/Tmem108/Dnm2/Vgll4/Lrp1/Ulk2/Trim46/Sbf1/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Fgf13/Mapt/Tgfbr1/Akap13/Nrp2/Sorbs2/Gsk3b/Nfix/Unc13a",36
