"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099173","GO:0099173","postsynapse organization","20/228","248/17643",7.90045926363193e-11,2.12364345006426e-07,1.92771206032619e-07,"Tanc1/Cnksr2/Homer1/Frmpd4/Arhgap39/Epha7/Epha5/Dgkz/Sptbn2/Nrxn3/Nlgn1/Nptx1/Magi2/Grin2a/Dock10/Il1rap/Ppfia2/Lrrtm4/Glrb/Frrs1l",20
"GO:0042391","GO:0042391","regulation of membrane potential","23/228","455/17643",2.6729380177175e-08,3.59242869581232e-05,3.26098438161535e-05,"Dmd/Kcnh7/Pkp2/Kcnn2/Parp1/Rgs7bp/Pex5l/Trpc5/Kcnk2/Atxn1/Trpc4/Pid1/Kcnd2/Dgki/Nlgn1/Grik2/Grin2a/Kcnc2/Cacna2d1/Gabra4/Scn3b/Cnih3/Glrb",23
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","11/228","119/17643",4.08945538667313e-07,0.000366415202645913,0.000332609038116082,"Homer1/Shc3/Dgkz/Dgki/Nlgn1/Grik2/Grik4/Grin2a/Grm1/Cnih3/Frrs1l",11
"GO:0001508","GO:0001508","action potential","11/228","146/17643",3.12831287340498e-06,0.00210222625092815,0.00190827085277704,"Dmd/Kcnh7/Pkp2/Kcnn2/Trpc4/Kcnd2/Grik2/Grin2a/Kcnc2/Cacna2d1/Scn3b",11
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","14/228","254/17643",5.83839639200201e-06,0.00313872190034028,0.00284913743929698,"Dmd/Homer1/Chrm3/Vmp1/Pde4d/Nlgn1/Grin2a/Kcnc2/Cacna2d1/Rasgrf1/Trpc6/Plcb1/Scn3b/Cnih3",14
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","14/228","262/17643",8.32257270891119e-06,0.00353449891663727,0.00320839931420943,"Dmd/Homer1/Chrm3/Vmp1/Pde4d/Nlgn1/Grin2a/Kcnc2/Cacna2d1/Rasgrf1/Trpc6/Plcb1/Scn3b/Cnih3",14
"GO:0051966","GO:0051966","regulation of synaptic transmission, glutamatergic","8/228","81/17643",9.83418469688054e-06,0.00353449891663727,0.00320839931420943,"Homer1/Dgkz/Dgki/Nlgn1/Grik2/Grin2a/Grm1/Frrs1l",8
"GO:0050890","GO:0050890","cognition","16/228","343/17643",1.05193420138014e-05,0.00353449891663727,0.00320839931420943,"Tanc1/Brinp1/Adcy8/Shc3/Atxn1/Nrxn3/Pde4d/Dgki/Rtl4/Cyp7b1/Grin2a/Clstn2/Btbd9/Pde8b/Ptprz1/Plcb1",16
"GO:0007611","GO:0007611","learning or memory","15/228","308/17643",1.20214703543787e-05,0.00356227542750325,0.00323361311127528,"Tanc1/Brinp1/Adcy8/Shc3/Atxn1/Nrxn3/Pde4d/Dgki/Cyp7b1/Grin2a/Clstn2/Btbd9/Pde8b/Ptprz1/Plcb1",15
"GO:0032409","GO:0032409","regulation of transporter activity","14/228","273/17643",1.32525127511282e-05,0.00356227542750325,0.00323361311127528,"Dmd/Homer1/Chrm3/Vmp1/Pde4d/Nlgn1/Grin2a/Kcnc2/Cacna2d1/Rasgrf1/Trpc6/Plcb1/Scn3b/Cnih3",14
"GO:0099068","GO:0099068","postsynapse assembly","6/228","49/17643",3.83336159669296e-05,0.00936734179264608,0.00850309299630076,"Sptbn2/Nrxn3/Nlgn1/Nptx1/Magi2/Il1rap",6
"GO:0034329","GO:0034329","cell junction assembly","17/228","431/17643",4.76588058728376e-05,0.0106755725155156,0.00969062386081032,"Pkp2/Vcl/Fmn1/Syndig1/Epha7/Cdh10/Vmp1/Sptbn2/Nrxn3/Nlgn1/Nptx1/Peak1/Magi2/Clstn2/Il1rap/Lrrtm4/Cdh12",17
"GO:0043954","GO:0043954","cellular component maintenance","7/228","79/17643",7.22410091496621e-05,0.0147933061275197,0.0134284475264688,"Tanc1/Pkp2/Homer1/Dgkz/Nlgn1/Erc2/Sort1",7
"GO:0086001","GO:0086001","cardiac muscle cell action potential","6/228","56/17643",8.25519315151768e-05,0.0147933061275197,0.0134284475264688,"Dmd/Pkp2/Kcnn2/Kcnd2/Cacna2d1/Scn3b",6
"GO:0099084","GO:0099084","postsynaptic specialization organization","6/228","56/17643",8.25519315151768e-05,0.0147933061275197,0.0134284475264688,"Dgkz/Sptbn2/Nrxn3/Nlgn1/Nptx1/Il1rap",6
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","5/228","36/17643",9.37953516688381e-05,0.0148307003109316,0.0134623916512921,"Pkp2/Kcnn2/Pde4d/Cacna2d1/Scn3b",5
"GO:0099560","GO:0099560","synaptic membrane adhesion","5/228","36/17643",9.37953516688381e-05,0.0148307003109316,0.0134623916512921,"Cdh10/Nlgn1/Magi2/Ntng1/Il1rap",5
"GO:0098698","GO:0098698","postsynaptic specialization assembly","5/228","38/17643",0.00012228706135995,0.0182615344964192,0.0165766905399044,"Sptbn2/Nrxn3/Nlgn1/Nptx1/Il1rap",5
"GO:0072578","GO:0072578","neurotransmitter-gated ion channel clustering","4/228","22/17643",0.000165486563152032,0.0234119937764559,0.0212519586363662,"Nlgn1/Lrrtm4/Glrb/Frrs1l",4
"GO:0003012","GO:0003012","muscle system process","15/228","393/17643",0.000190816116414783,0.0256456860461468,0.0232795662026035,"Dmd/Pkp2/Kcnn2/Homer1/Parp1/Chrm3/Mlip/Kcnd2/Pde4d/Dock4/Nr4a3/Tmod3/Ryr3/Cacna2d1/Scn3b",15
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","6/228","68/17643",0.000244663245991404,0.0301727404070459,0.0273889459052054,"Trpc5/Adcy8/Trpc4/Grm1/Erc2/Trpc6",6
"GO:0097106","GO:0097106","postsynaptic density organization","5/228","45/17643",0.000276583124396691,0.0301727404070459,0.0273889459052054,"Dgkz/Nrxn3/Nlgn1/Nptx1/Il1rap",5
"GO:0086019","GO:0086019","cell-cell signaling involved in cardiac conduction","4/228","25/17643",0.000277609240738993,0.0301727404070459,0.0273889459052054,"Pkp2/Kcnn2/Cacna2d1/Scn3b",4
