"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051145","GO:0051145","smooth muscle cell differentiation","2/5","71/17643",0.000158429232850115,0.020754229503365,0.00950575397100689,"Itga8/Mrtfa",2
"GO:0000255","GO:0000255","allantoin metabolic process","1/5","10/17643",0.0028310949671706,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0046054","GO:0046054","dGMP metabolic process","1/5","10/17643",0.0028310949671706,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009169","GO:0009169","purine ribonucleoside monophosphate catabolic process","1/5","11/17643",0.00311385141957032,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0046085","GO:0046085","adenosine metabolic process","1/5","11/17643",0.00311385141957032,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009128","GO:0009128","purine nucleoside monophosphate catabolic process","1/5","12/17643",0.00339654372576925,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009155","GO:0009155","purine deoxyribonucleotide catabolic process","1/5","13/17643",0.00367917189668276,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009170","GO:0009170","purine deoxyribonucleoside monophosphate metabolic process","1/5","13/17643",0.00367917189668276,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009159","GO:0009159","deoxyribonucleoside monophosphate catabolic process","1/5","17/17643",0.00480904344572941,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0042692","GO:0042692","muscle cell differentiation","2/5","401/17643",0.00492409384118891,0.0381883422290533,0.0174908437690321,"Itga8/Mrtfa",2
"GO:0009158","GO:0009158","ribonucleoside monophosphate catabolic process","1/5","18/17643",0.00509135110389192,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0006144","GO:0006144","purine nucleobase metabolic process","1/5","19/17643",0.0053735946922312,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0043605","GO:0043605","amide catabolic process","1/5","19/17643",0.0053735946922312,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0046040","GO:0046040","IMP metabolic process","1/5","19/17643",0.0053735946922312,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009125","GO:0009125","nucleoside monophosphate catabolic process","1/5","20/17643",0.00565577422165331,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009151","GO:0009151","purine deoxyribonucleotide metabolic process","1/5","20/17643",0.00565577422165331,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0046037","GO:0046037","GMP metabolic process","1/5","21/17643",0.00593788970306375,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0046128","GO:0046128","purine ribonucleoside metabolic process","1/5","22/17643",0.00621994114736524,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0046386","GO:0046386","deoxyribose phosphate catabolic process","1/5","23/17643",0.00650192856546106,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009264","GO:0009264","deoxyribonucleotide catabolic process","1/5","24/17643",0.00678385196825204,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0009119","GO:0009119","ribonucleoside metabolic process","1/5","27/17643",0.0076292381937878,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0048745","GO:0048745","smooth muscle tissue development","1/5","27/17643",0.0076292381937878,0.0381883422290533,0.0174908437690321,"Itga8",1
"GO:0009162","GO:0009162","deoxyribonucleoside monophosphate metabolic process","1/5","28/17643",0.00791090564434582,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0030511","GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","1/5","28/17643",0.00791090564434582,0.0381883422290533,0.0174908437690321,"Itga8",1
"GO:0042278","GO:0042278","purine nucleoside metabolic process","1/5","28/17643",0.00791090564434582,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:1903846","GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus","1/5","28/17643",0.00791090564434582,0.0381883422290533,0.0174908437690321,"Itga8",1
"GO:0009112","GO:0009112","nucleobase metabolic process","1/5","30/17643",0.00847404867390267,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0044319","GO:0044319","wound healing, spreading of cells","1/5","31/17643",0.00875552427468818,0.0381883422290533,0.0174908437690321,"Mrtfa",1
"GO:0090505","GO:0090505","epiboly involved in wound healing","1/5","31/17643",0.00875552427468818,0.0381883422290533,0.0174908437690321,"Mrtfa",1
"GO:0009167","GO:0009167","purine ribonucleoside monophosphate metabolic process","1/5","32/17643",0.00903693594733324,0.0381883422290533,0.0174908437690321,"Nt5c2",1
"GO:0090504","GO:0090504","epiboly","1/5","32/17643",0.00903693594733324,0.0381883422290533,0.0174908437690321,"Mrtfa",1
"GO:0009126","GO:0009126","purine nucleoside monophosphate metabolic process","1/5","35/17643",0.00988078750532217,0.0392237322180971,0.0179650681914949,"Nt5c2",1
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process","1/5","35/17643",0.00988078750532217,0.0392237322180971,0.0179650681914949,"Nt5c2",1
"GO:0050691","GO:0050691","regulation of defense response to virus by host","1/5","38/17643",0.0107240641020179,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0009116","GO:0009116","nucleoside metabolic process","1/5","40/17643",0.011285929221996,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0009394","GO:0009394","2'-deoxyribonucleotide metabolic process","1/5","42/17643",0.011847539021276,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0019692","GO:0019692","deoxyribose phosphate metabolic process","1/5","42/17643",0.011847539021276,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0009261","GO:0009261","ribonucleotide catabolic process","1/5","44/17643",0.0124088935868837,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0009262","GO:0009262","deoxyribonucleotide metabolic process","1/5","44/17643",0.0124088935868837,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0006195","GO:0006195","purine nucleotide catabolic process","1/5","45/17643",0.0126894751842509,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0050687","GO:0050687","negative regulation of defense response to virus","1/5","45/17643",0.0126894751842509,0.0405444207106553,0.0185699636842696,"Nt5c2",1
"GO:0009161","GO:0009161","ribonucleoside monophosphate metabolic process","1/5","47/17643",0.0132504470624817,0.04132877536155,0.0189292100892596,"Nt5c2",1
"GO:1902895","GO:1902895","positive regulation of miRNA transcription","1/5","49/17643",0.0138111639245196,0.041954020556024,0.0192155819340568,"Mrtfa",1
"GO:0072523","GO:0072523","purine-containing compound catabolic process","1/5","50/17643",0.0140914267516417,0.041954020556024,0.0192155819340568,"Nt5c2",1
"GO:0002011","GO:0002011","morphogenesis of an epithelial sheet","1/5","55/17643",0.0154917852829496,0.044117910262313,0.0202066764560212,"Mrtfa",1
"GO:2000630","GO:2000630","positive regulation of miRNA metabolic process","1/5","55/17643",0.0154917852829496,0.044117910262313,0.0202066764560212,"Mrtfa",1
"GO:0009123","GO:0009123","nucleoside monophosphate metabolic process","1/5","58/17643",0.0163312363093789,0.0445706657610134,0.0204140453867237,"Nt5c2",1
"GO:1901657","GO:1901657","glycosyl compound metabolic process","1/5","58/17643",0.0163312363093789,0.0445706657610134,0.0204140453867237,"Nt5c2",1
"GO:0009166","GO:0009166","nucleotide catabolic process","1/5","62/17643",0.0174496135116655,0.0466510075515956,0.0213668736877537,"Nt5c2",1
"GO:0043154","GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","1/5","66/17643",0.0185669732559475,0.0476916371868455,0.0218434979481735,"Mrtfa",1
"GO:1902893","GO:1902893","regulation of miRNA transcription","1/5","66/17643",0.0185669732559475,0.0476916371868455,0.0218434979481735,"Mrtfa",1
"GO:0061614","GO:0061614","miRNA transcription","1/5","68/17643",0.0191252717983463,0.047961635406318,0.0219671612548021,"Mrtfa",1
"GO:1901292","GO:1901292","nucleoside phosphate catabolic process","1/5","69/17643",0.0194043257750752,0.047961635406318,0.0219671612548021,"Nt5c2",1
"GO:0001656","GO:0001656","metanephros development","1/5","71/17643",0.019962243193813,0.0484269233035093,0.0221802702153478,"Itga8",1
"GO:2000117","GO:2000117","negative regulation of cysteine-type endopeptidase activity","1/5","73/17643",0.0205199066385389,0.0488746867208835,0.0223853526965879,"Mrtfa",1
