gene,frequency,go_terms,Source_File
Kcnn2,7,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03); regulation of membrane potential (GO:0042391, p=1.31e-02); heart contraction (GO:0060047, p=2.87e-02); action potential (GO:0001508, p=2.96e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Atp1b1,6,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03); regulation of membrane potential (GO:0042391, p=1.31e-02); heart contraction (GO:0060047, p=2.87e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Hcn1,5,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03); regulation of membrane potential (GO:0042391, p=1.31e-02); action potential (GO:0001508, p=2.96e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Cacna2d1,5,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); regulation of membrane potential (GO:0042391, p=1.31e-02); heart contraction (GO:0060047, p=2.87e-02); action potential (GO:0001508, p=2.96e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Kcnq3,5,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03); regulation of membrane potential (GO:0042391, p=1.31e-02); action potential (GO:0001508, p=2.96e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Scn2a,4,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); regulation of membrane potential (GO:0042391, p=1.31e-02); action potential (GO:0001508, p=2.96e-02); memory (GO:0007613, p=4.93e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Grin2a,4,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); regulation of membrane potential (GO:0042391, p=1.31e-02); action potential (GO:0001508, p=2.96e-02); memory (GO:0007613, p=4.93e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Nedd4,4,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03); regulation of membrane potential (GO:0042391, p=1.31e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Dpp10,3,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Cacna1e,3,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); heart contraction (GO:0060047, p=2.87e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
