condition,gene,go_term_count
Astrocytes_24hrvs1hr_PTZ,Apoe,1
Astrocytes_24hrvs1hr_PTZ,Asic2,2
Astrocytes_24hrvs1hr_PTZ,Atp1b1,6
Astrocytes_24hrvs1hr_PTZ,Brinp1,1
Astrocytes_24hrvs1hr_PTZ,Cacna1b,3
Astrocytes_24hrvs1hr_PTZ,Cacna1e,3
Astrocytes_24hrvs1hr_PTZ,Cacna2d1,5
Astrocytes_24hrvs1hr_PTZ,Celf4,1
Astrocytes_24hrvs1hr_PTZ,Dpp10,3
Astrocytes_24hrvs1hr_PTZ,Gja1,3
Astrocytes_24hrvs1hr_PTZ,Grin2a,4
Astrocytes_24hrvs1hr_PTZ,Hcn1,5
Astrocytes_24hrvs1hr_PTZ,Kcnj3,3
Astrocytes_24hrvs1hr_PTZ,Kcnn2,7
Astrocytes_24hrvs1hr_PTZ,Kcnq3,5
Astrocytes_24hrvs1hr_PTZ,Kcnq5,3
Astrocytes_24hrvs1hr_PTZ,Nedd4,4
Astrocytes_24hrvs1hr_PTZ,Ntrk2,3
Astrocytes_24hrvs1hr_PTZ,Scn2a,4
Astrocytes_24hrvs1hr_PTZ,Sgcd,2
Astrocytes_24hrvs1hr_PTZ,Sgcz,2
Astrocytes_24hrvs1hr_PTZ,Slc1a3,2
Astrocytes_24hrvs1hr_PTZ,Snap25,1
Astrocytes_24hrvs1hr_PTZ,Tuba1a,1
Astrocytes_24hrvs1hr_SAL,Actb,3
Astrocytes_24hrvs1hr_SAL,Actg1,2
Astrocytes_24hrvs1hr_SAL,Adam22,1
Astrocytes_24hrvs1hr_SAL,Akap6,5
Astrocytes_24hrvs1hr_SAL,Ank3,7
Astrocytes_24hrvs1hr_SAL,Asic2,6
Astrocytes_24hrvs1hr_SAL,Atp1b1,4
Astrocytes_24hrvs1hr_SAL,Atp2b1,2
Astrocytes_24hrvs1hr_SAL,Atp2c1,3
Astrocytes_24hrvs1hr_SAL,Bcl11a,2
Astrocytes_24hrvs1hr_SAL,Brinp1,1
Astrocytes_24hrvs1hr_SAL,Cacna1a,11
Astrocytes_24hrvs1hr_SAL,Cacna1b,4
Astrocytes_24hrvs1hr_SAL,Cacna1c,7
Astrocytes_24hrvs1hr_SAL,Cacna1d,5
Astrocytes_24hrvs1hr_SAL,Cacna1e,6
Astrocytes_24hrvs1hr_SAL,Cacna2d1,5
Astrocytes_24hrvs1hr_SAL,Cacna2d3,2
Astrocytes_24hrvs1hr_SAL,Cacnb2,5
Astrocytes_24hrvs1hr_SAL,Cacnb4,8
Astrocytes_24hrvs1hr_SAL,Cdh11,3
Astrocytes_24hrvs1hr_SAL,Cdh12,2
Astrocytes_24hrvs1hr_SAL,Cdh8,5
Astrocytes_24hrvs1hr_SAL,Cdkl5,6
Astrocytes_24hrvs1hr_SAL,Celf4,1
Astrocytes_24hrvs1hr_SAL,Chl1,5
Astrocytes_24hrvs1hr_SAL,Clstn2,6
Astrocytes_24hrvs1hr_SAL,Cnksr2,1
Astrocytes_24hrvs1hr_SAL,Cntn1,4
Astrocytes_24hrvs1hr_SAL,Cntn5,6
Astrocytes_24hrvs1hr_SAL,Cntnap2,10
Astrocytes_24hrvs1hr_SAL,Dlg2,1
Astrocytes_24hrvs1hr_SAL,Dpp10,1
Astrocytes_24hrvs1hr_SAL,Dpp6,4
Astrocytes_24hrvs1hr_SAL,Dscam,7
Astrocytes_24hrvs1hr_SAL,Dscaml1,4
Astrocytes_24hrvs1hr_SAL,Epha3,5
Astrocytes_24hrvs1hr_SAL,Epha5,5
Astrocytes_24hrvs1hr_SAL,Epha6,3
Astrocytes_24hrvs1hr_SAL,Epha7,9
Astrocytes_24hrvs1hr_SAL,Fgf14,5
Astrocytes_24hrvs1hr_SAL,Foxp1,6
Astrocytes_24hrvs1hr_SAL,Frmpd4,3
