gene,frequency,go_terms
Nlgn1,15,"vesicle-mediated transport in synapse (GO:0099003, p=3.12e-07); synaptic vesicle cycle (GO:0099504, p=1.04e-06); regulation of transporter activity (GO:0032409, p=4.41e-06); regulation of transmembrane transporter activity (GO:0022898, p=1.48e-05); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.59e-04); positive regulation of cell projection organization (GO:0031346, p=4.44e-04); regulation of endocytosis (GO:0030100, p=5.43e-04); regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); postsynapse organization (GO:0099173, p=1.51e-03); synaptic vesicle recycling (GO:0036465, p=3.83e-03); regulation of neurotransmitter secretion (GO:0046928, p=1.24e-02); cellular component maintenance (GO:0043954, p=1.76e-02); regulation of synaptic vesicle exocytosis (GO:2000300, p=1.86e-02); negative regulation of cell projection organization (GO:0031345, p=4.33e-02)"
Nrxn1,11,"vesicle-mediated transport in synapse (GO:0099003, p=3.12e-07); synaptic vesicle cycle (GO:0099504, p=1.04e-06); regulation of transporter activity (GO:0032409, p=4.41e-06); regulation of transmembrane transporter activity (GO:0022898, p=1.48e-05); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.59e-04); positive regulation of cell projection organization (GO:0031346, p=4.44e-04); regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); postsynapse organization (GO:0099173, p=1.51e-03); cellular component maintenance (GO:0043954, p=1.76e-02); negative regulation of cell projection organization (GO:0031345, p=4.33e-02)"
Cfl1,10,"regulation of transporter activity (GO:0032409, p=4.41e-06); regulation of transmembrane transporter activity (GO:0022898, p=1.48e-05); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.59e-04); positive regulation of cell projection organization (GO:0031346, p=4.44e-04); regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); postsynapse organization (GO:0099173, p=1.51e-03); cellular component maintenance (GO:0043954, p=1.76e-02); positive regulation of monoatomic ion transport (GO:0043270, p=2.22e-02); negative regulation of cell projection organization (GO:0031345, p=4.33e-02)"
Hspa8,9,"regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); postsynapse organization (GO:0099173, p=1.51e-03); regulation of RNA splicing (GO:0043484, p=4.53e-03); RNA splicing, via transesterification reactions (GO:0000375, p=1.69e-02); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.69e-02); mRNA splicing, via spliceosome (GO:0000398, p=1.69e-02); RNA splicing (GO:0008380, p=3.97e-02); mRNA processing (GO:0006397, p=4.61e-02)"
Magi2,8,"vesicle-mediated transport in synapse (GO:0099003, p=3.12e-07); synaptic vesicle cycle (GO:0099504, p=1.04e-06); positive regulation of cell projection organization (GO:0031346, p=4.44e-04); regulation of endocytosis (GO:0030100, p=5.43e-04); regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); postsynapse organization (GO:0099173, p=1.51e-03); receptor internalization (GO:0031623, p=2.91e-02)"
Actb,8,"vesicle-mediated transport in synapse (GO:0099003, p=3.12e-07); synaptic vesicle cycle (GO:0099504, p=1.04e-06); regulation of transporter activity (GO:0032409, p=4.41e-06); regulation of transmembrane transporter activity (GO:0022898, p=1.48e-05); regulation of endocytosis (GO:0030100, p=5.43e-04); axonogenesis (GO:0007409, p=8.03e-04); postsynapse organization (GO:0099173, p=1.51e-03); synaptic vesicle recycling (GO:0036465, p=3.83e-03)"
Homer1,8,"regulation of transporter activity (GO:0032409, p=4.41e-06); regulation of transmembrane transporter activity (GO:0022898, p=1.48e-05); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.59e-04); regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); postsynapse organization (GO:0099173, p=1.51e-03); cellular component maintenance (GO:0043954, p=1.76e-02); positive regulation of monoatomic ion transport (GO:0043270, p=2.22e-02)"
Malat1,8,"regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); regulation of RNA splicing (GO:0043484, p=4.53e-03); RNA splicing, via transesterification reactions (GO:0000375, p=1.69e-02); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.69e-02); mRNA splicing, via spliceosome (GO:0000398, p=1.69e-02); RNA splicing (GO:0008380, p=3.97e-02); mRNA processing (GO:0006397, p=4.61e-02)"
Rab3a,7,"vesicle-mediated transport in synapse (GO:0099003, p=3.12e-07); synaptic vesicle cycle (GO:0099504, p=1.04e-06); axonogenesis (GO:0007409, p=8.03e-04); synaptic vesicle recycling (GO:0036465, p=3.83e-03); regulation of neurotransmitter secretion (GO:0046928, p=1.24e-02); cellular component maintenance (GO:0043954, p=1.76e-02); regulation of synaptic vesicle exocytosis (GO:2000300, p=1.86e-02)"
Ppfia2,7,"vesicle-mediated transport in synapse (GO:0099003, p=3.12e-07); synaptic vesicle cycle (GO:0099504, p=1.04e-06); regulation of synapse organization (GO:0050807, p=5.97e-04); regulation of synapse structure or activity (GO:0050803, p=8.69e-04); postsynapse organization (GO:0099173, p=1.51e-03); regulation of neurotransmitter secretion (GO:0046928, p=1.24e-02); regulation of synaptic vesicle exocytosis (GO:2000300, p=1.86e-02)"
