gene,frequency,go_terms
Sema4d,27,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04); dendrite development (GO:0016358, p=3.26e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); regulation of cellular component size (GO:0032535, p=4.39e-03); negative chemotaxis (GO:0050919, p=5.03e-03); synapse assembly (GO:0007416, p=5.46e-03); positive regulation of cell projection organization (GO:0031346, p=1.16e-02); axon extension involved in axon guidance (GO:0048846, p=2.85e-02); neuron projection extension involved in neuron projection guidance (GO:1902284, p=2.85e-02); cell junction assembly (GO:0034329, p=3.16e-02)"
Sema3e,23,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); neuron migration (GO:0001764, p=1.39e-03); regulation of cellular component size (GO:0032535, p=4.39e-03); negative chemotaxis (GO:0050919, p=5.03e-03); forebrain development (GO:0030900, p=2.05e-02); axon extension involved in axon guidance (GO:0048846, p=2.85e-02); neuron projection extension involved in neuron projection guidance (GO:1902284, p=2.85e-02)"
Sema5a,22,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); regulation of cellular component size (GO:0032535, p=4.39e-03); positive regulation of cell projection organization (GO:0031346, p=1.16e-02); forebrain development (GO:0030900, p=2.05e-02); axon extension involved in axon guidance (GO:0048846, p=2.85e-02); neuron projection extension involved in neuron projection guidance (GO:1902284, p=2.85e-02)"
Sema6d,21,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); regulation of cellular component size (GO:0032535, p=4.39e-03); negative chemotaxis (GO:0050919, p=5.03e-03); axon extension involved in axon guidance (GO:0048846, p=2.85e-02); neuron projection extension involved in neuron projection guidance (GO:1902284, p=2.85e-02)"
Sema3c,21,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); regulation of cellular component size (GO:0032535, p=4.39e-03); negative chemotaxis (GO:0050919, p=5.03e-03); axon extension involved in axon guidance (GO:0048846, p=2.85e-02); neuron projection extension involved in neuron projection guidance (GO:1902284, p=2.85e-02)"
App,18,"axonogenesis (GO:0007409, p=1.13e-14); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); locomotory behavior (GO:0007626, p=7.05e-06); cell growth (GO:0016049, p=2.02e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); adult locomotory behavior (GO:0008344, p=6.18e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04); dendrite development (GO:0016358, p=3.26e-04); adult behavior (GO:0030534, p=7.16e-04); synapse assembly (GO:0007416, p=5.46e-03); forebrain development (GO:0030900, p=2.05e-02); cell junction assembly (GO:0034329, p=3.16e-02); postsynapse organization (GO:0099173, p=3.18e-02)"
Myo5b,17,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04); dendrite development (GO:0016358, p=3.26e-04); regulation of cellular component size (GO:0032535, p=4.39e-03); positive regulation of cell projection organization (GO:0031346, p=1.16e-02); postsynapse organization (GO:0099173, p=3.18e-02)"
D130043K22Rik,17,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); dendrite development (GO:0016358, p=3.26e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); regulation of cellular component size (GO:0032535, p=4.39e-03)"
Map2,17,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); dendrite development (GO:0016358, p=3.26e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); regulation of cellular component size (GO:0032535, p=4.39e-03)"
Ttc3,16,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); negative regulation of axon extension (GO:0030517, p=8.93e-04); regulation of cellular component size (GO:0032535, p=4.39e-03)"
