gene,frequency,go_terms
App,22,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); dendrite development (GO:0016358, p=1.03e-03); synapse assembly (GO:0007416, p=1.59e-03); cell junction assembly (GO:0034329, p=3.00e-03); neuromuscular process (GO:0050905, p=8.54e-03); locomotory behavior (GO:0007626, p=9.52e-03); regulation of synapse organization (GO:0050807, p=1.30e-02); regulation of synapse structure or activity (GO:0050803, p=1.76e-02); neuron recognition (GO:0008038, p=2.67e-02); glutamate receptor signaling pathway (GO:0007215, p=3.43e-02); adult locomotory behavior (GO:0008344, p=4.42e-02); regulation of cation channel activity (GO:2001257, p=4.49e-02)"
Nrxn1,19,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=7.56e-06); regulation of membrane potential (GO:0042391, p=6.64e-05); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); protein localization to cell periphery (GO:1990778, p=2.28e-03); cell junction assembly (GO:0034329, p=3.00e-03); startle response (GO:0001964, p=6.07e-03); synaptic membrane adhesion (GO:0099560, p=6.07e-03); postsynaptic specialization organization (GO:0099084, p=6.35e-03); neuromuscular process (GO:0050905, p=8.54e-03); regulation of synapse organization (GO:0050807, p=1.30e-02); regulation of synapse structure or activity (GO:0050803, p=1.76e-02); maintenance of synapse structure (GO:0099558, p=3.11e-02)"
Cntnap2,17,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); dendrite development (GO:0016358, p=1.03e-03); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); cell junction assembly (GO:0034329, p=3.00e-03); postsynaptic specialization organization (GO:0099084, p=6.35e-03); neuromuscular process (GO:0050905, p=8.54e-03); locomotory behavior (GO:0007626, p=9.52e-03); dendrite morphogenesis (GO:0048813, p=1.71e-02); neuron recognition (GO:0008038, p=2.67e-02); maintenance of synapse structure (GO:0099558, p=3.11e-02)"
Grin2a,15,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); protein localization to cell periphery (GO:1990778, p=2.28e-03); startle response (GO:0001964, p=6.07e-03); neuromuscular process (GO:0050905, p=8.54e-03); locomotory behavior (GO:0007626, p=9.52e-03); glutamate receptor signaling pathway (GO:0007215, p=3.43e-02)"
Ank3,14,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); axonogenesis (GO:0007409, p=3.35e-04); protein localization to cell periphery (GO:1990778, p=2.28e-03); regulation of metal ion transport (GO:0010959, p=6.04e-03); potassium ion transport (GO:0006813, p=1.76e-02); potassium ion transmembrane transport (GO:0071805, p=2.43e-02); positive regulation of monoatomic ion transport (GO:0043270, p=2.63e-02); regulation of cation channel activity (GO:2001257, p=4.49e-02)"
Grip1,13,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); dendrite development (GO:0016358, p=1.03e-03); protein localization to cell periphery (GO:1990778, p=2.28e-03); regulation of metal ion transport (GO:0010959, p=6.04e-03); dendrite morphogenesis (GO:0048813, p=1.71e-02); potassium ion transport (GO:0006813, p=1.76e-02); potassium ion transmembrane transport (GO:0071805, p=2.43e-02); glutamate receptor signaling pathway (GO:0007215, p=3.43e-02); regulation of cation channel activity (GO:2001257, p=4.49e-02)"
Ptprs,12,"postsynapse organization (GO:0099173, p=7.38e-08); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=7.56e-06); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); dendrite development (GO:0016358, p=1.03e-03); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); cell junction assembly (GO:0034329, p=3.00e-03); synaptic membrane adhesion (GO:0099560, p=6.07e-03); postsynaptic specialization organization (GO:0099084, p=6.35e-03); regulation of synapse organization (GO:0050807, p=1.30e-02); regulation of synapse structure or activity (GO:0050803, p=1.76e-02)"
Cdh2,12,"postsynapse organization (GO:0099173, p=7.38e-08); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=7.56e-06); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); protein localization to cell periphery (GO:1990778, p=2.28e-03); cell junction assembly (GO:0034329, p=3.00e-03); postsynaptic specialization organization (GO:0099084, p=6.35e-03); regulation of synapse organization (GO:0050807, p=1.30e-02); regulation of synapse structure or activity (GO:0050803, p=1.76e-02); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.11e-02)"
Asic2,12,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); synapse assembly (GO:0007416, p=1.59e-03); cell junction assembly (GO:0034329, p=3.00e-03); regulation of synapse organization (GO:0050807, p=1.30e-02); regulation of synapse structure or activity (GO:0050803, p=1.76e-02); positive regulation of monoatomic ion transport (GO:0043270, p=2.63e-02); regulation of cation channel activity (GO:2001257, p=4.49e-02)"
Dmd,12,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); regulation of metal ion transport (GO:0010959, p=6.04e-03); neuromuscular process (GO:0050905, p=8.54e-03); locomotory behavior (GO:0007626, p=9.52e-03); positive regulation of monoatomic ion transport (GO:0043270, p=2.63e-02); regulation of cation channel activity (GO:2001257, p=4.49e-02)"
